TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Milwaukee Bucks,23,23,33.3,296,667,44.4,52.6,16.5,186,330,56.4,16.8,110,337,32.6
LA Clippers,19,19,35.4,247,573,43.1,54.1,14.0,121,226,53.5,21.4,126,347,36.3
Phoenix Suns,22,22,28.6,218,546,39.9,49.2,12.6,117,241,48.5,16.0,101,305,33.1
Atlanta Hawks,18,18,30.5,206,478,43.1,50.6,17.2,134,269,49.8,13.3,72,209,34.4
Philadelphia 76ers,12,12,31.5,152,332,45.8,51.4,19.8,115,208,55.3,11.8,37,124,29.8
Brooklyn Nets,12,12,30.1,139,322,43.2,53.3,13.6,74,145,51.0,16.6,65,177,36.7
Utah Jazz,11,11,27.7,131,270,48.5,57.2,15.9,84,155,54.2,11.8,47,115,40.9
Denver Nuggets,10,10,30.3,117,265,44.2,54.7,14.1,61,123,49.6,16.2,56,142,39.4
Dallas Mavericks,7,7,33.2,86,186,46.2,57.0,15.2,46,85,54.1,18.0,40,101,39.6
Los Angeles Lakers,6,6,36.0,79,177,44.6,51.7,19.6,54,96,56.3,16.5,25,81,30.9
Portland Trail Blazers,6,6,27.8,71,152,46.7,58.2,11.7,36,64,56.3,16.1,35,88,39.8
Miami Heat,4,4,37.8,57,143,39.9,48.6,15.3,32,58,55.2,22.5,25,85,29.4
Washington Wizards,5,5,30.1,76,135,56.3,63.0,20.1,58,90,64.4,10.0,18,45,40.0
New York Knicks,5,5,30.2,51,128,39.8,48.8,13.2,28,56,50.0,17.0,23,72,31.9
Boston Celtics,5,5,29.6,65,125,52.0,64.4,11.6,34,49,69.4,18.0,31,76,40.8
Memphis Grizzlies,5,5,25.0,48,108,44.4,56.9,9.0,21,39,53.8,16.0,27,69,39.1
