PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%,year
Anthony Davis,LAL,30,F-C,14,14,42.1,59.0,125.0,47.2,64.9,-17.7,2023
Nikola Jokic,DEN,28,C,13,13,38.6,62.0,102.0,60.8,66.5,-5.7,2023
Al Horford,BOS,36,C-F,14,14,36.8,49.0,95.0,51.6,64.1,-12.5,2023
Devin Booker,PHX,26,G,11,11,46.0,45.0,93.0,48.4,61.8,-13.4,2023
LeBron James,LAL,38,F,14,14,45.8,44.0,88.0,50.0,63.8,-13.8,2023
Kevon Looney,GSW,27,F,13,13,35.5,49.0,82.0,59.8,66.5,-6.8,2023
Deandre Ayton,PHX,24,C,10,10,44.1,45.0,78.0,57.7,66.2,-8.5,2023
Austin Reaves,LAL,24,G,14,14,31.1,43.0,75.0,57.3,63.6,-6.3,2023
Kevin Durant,PHX,34,F,11,11,43.7,44.0,73.0,60.3,65.8,-5.6,2023
D'Angelo Russell,LAL,27,G,14,14,37.4,41.0,70.0,58.6,62.0,-3.4,2023
Jaylen Brown,BOS,26,G-F,14,14,38.9,39.0,68.0,57.4,62.2,-4.9,2023
Derrick White,BOS,28,G,14,13,34.8,30.0,63.0,47.6,62.2,-14.6,2023
Joel Embiid,PHI,29,C-F,9,9,38.9,32.0,63.0,50.8,66.8,-16.0,2023
Draymond Green,GSW,33,F,12,12,34.1,34.0,63.0,54.0,66.7,-12.8,2023
Mitchell Robinson,NYK,25,C-F,11,11,41.6,40.0,62.0,64.5,66.4,-1.9,2023
Jamal Murray,DEN,26,G,13,12,29.8,44.0,62.0,71.0,64.8,6.2,2023
Andrew Wiggins,GSW,28,F,13,13,31.1,36.0,60.0,60.0,66.2,-6.2,2023
Jayson Tatum,BOS,25,F-G,14,14,35.7,35.0,60.0,58.3,63.2,-4.9,2023
James Harden,PHI,33,G,11,11,39.5,37.0,58.0,63.8,63.5,0.3,2023
Aaron Gordon,DEN,27,F,13,13,28.8,37.0,57.0,64.9,67.6,-2.6,2023
Rui Hachimura,LAL,25,F,14,14,42.5,24.0,54.0,44.4,62.7,-18.3,2023
Caleb Martin,MIA,27,F,12,12,31.4,35.0,54.0,64.8,65.2,-0.4,2023
Bam Adebayo,MIA,25,C-F,12,11,33.5,36.0,53.0,67.9,69.1,-1.2,2023
Domantas Sabonis,SAC,27,F-C,7,7,52.5,29.0,52.0,55.8,64.5,-8.8,2023
Rudy Gobert,MIN,30,C,5,5,53.1,28.0,52.0,53.8,69.0,-15.2,2023
Michael Porter Jr.,DEN,24,F,13,12,42.7,34.0,50.0,68.0,64.4,3.6,2023
Jimmy Butler,MIA,33,F,11,11,31.1,34.0,50.0,68.0,65.6,2.4,2023
Stephen Curry,GSW,35,G,13,13,31.8,31.0,50.0,62.0,64.3,-2.3,2023
Klay Thompson,GSW,33,G,13,11,37.5,21.0,48.0,43.8,65.4,-21.6,2023
Dennis Schroder,LAL,29,G,14,13,30.6,34.0,48.0,70.8,62.9,8.0,2023
Brook Lopez,MIL,35,C,5,5,34.1,27.0,47.0,57.4,63.5,-6.0,2023
Robert Williams III,BOS,25,C-F,14,14,26.7,29.0,46.0,63.0,63.6,-0.5,2023
Kentavious Caldwell-Pope,DEN,30,G,13,12,32.6,35.0,46.0,76.1,66.2,9.9,2023
De'Andre Hunter,ATL,25,F-G,6,6,43.7,34.0,45.0,75.6,65.4,10.1,2023
Jalen Brunson,NYK,26,G,11,11,25.7,32.0,44.0,72.7,63.9,8.8,2023
Marcus Smart,BOS,29,G,14,13,28.0,26.0,44.0,59.1,62.5,-3.4,2023
Jarred Vanderbilt,LAL,24,F,14,14,45.4,27.0,44.0,61.4,63.6,-2.2,2023
Max Strus,MIA,27,G-F,12,12,29.3,29.0,44.0,65.9,66.3,-0.4,2023
De'Aaron Fox,SAC,25,G,7,7,37.7,27.0,43.0,62.8,64.5,-1.8,2023
Jaren Jackson Jr.,MEM,23,F-C,6,6,42.6,25.0,43.0,58.1,68.8,-10.6,2023
De'Anthony Melton,PHI,24,G,11,10,34.1,25.0,42.0,59.5,65.5,-6.0,2023
Xavier Tillman,MEM,24,F,6,6,46.6,19.0,41.0,46.3,69.0,-22.7,2023
Tobias Harris,PHI,30,F,11,11,32.3,25.0,41.0,61.0,63.2,-2.2,2023
RJ Barrett,NYK,22,F-G,11,10,31.0,21.0,40.0,52.5,63.6,-11.1,2023
Josh Hart,NYK,28,G,11,10,30.1,26.0,40.0,65.0,63.8,1.2,2023
Kevin Love,MIA,34,F-C,12,11,42.6,23.0,40.0,57.5,66.0,-8.5,2023
Jordan Poole,GSW,23,G,13,13,41.7,27.0,40.0,67.5,64.5,3.0,2023
Donte DiVincenzo,GSW,26,G,13,11,41.5,18.0,39.0,46.2,65.3,-19.2,2023
Isaiah Hartenstein,NYK,25,C-F,11,11,36.4,21.0,39.0,53.8,66.9,-13.1,2023
Jeff Green,DEN,36,F,13,10,33.6,24.0,38.0,63.2,63.8,-0.7,2023
Harrison Barnes,SAC,30,F,7,7,36.3,22.0,37.0,59.5,66.4,-6.9,2023
Bruce Brown,DEN,26,G-F,13,11,26.2,24.0,37.0,64.9,64.9,0.0,2023
Tyrese Maxey,PHI,22,G,11,11,29.5,22.0,36.0,61.1,63.6,-2.5,2023
Gabe Vincent,MIA,26,G,12,11,23.8,27.0,36.0,75.0,65.5,9.5,2023
Evan Mobley,CLE,21,C,5,5,35.4,22.0,35.0,62.9,64.5,-1.6,2023
Kyle Lowry,MIA,37,G,12,11,34.7,18.0,35.0,51.4,63.3,-11.9,2023
John Collins,ATL,25,F-C,6,6,48.6,17.0,35.0,48.6,66.7,-18.2,2023
Kevin Huerter,SAC,24,G-F,7,7,41.2,21.0,35.0,60.0,64.4,-4.4,2023
Torrey Craig,PHX,32,F,10,9,45.3,20.0,34.0,58.8,62.7,-3.8,2023
Malcolm Brogdon,BOS,30,G,14,11,25.2,22.0,34.0,64.7,62.2,2.5,2023
Dillon Brooks,MEM,27,G-F,6,6,37.1,24.0,33.0,72.7,69.5,3.2,2023
Jarrett Allen,CLE,25,C,5,5,58.9,20.0,33.0,60.6,65.3,-4.6,2023
Julius Randle,NYK,28,F-C,10,10,31.4,24.0,33.0,72.7,66.2,6.6,2023
Paul Reed,PHI,23,F,10,8,42.3,19.0,33.0,57.6,62.9,-5.3,2023
Moses Moody,GSW,20,G,12,12,43.7,20.0,31.0,64.5,65.7,-1.1,2023
P.J. Tucker,PHI,38,F,11,8,32.0,23.0,31.0,74.2,67.3,6.9,2023
Nic Claxton,BKN,24,C,4,4,51.7,17.0,30.0,56.7,63.3,-6.7,2023
Onyeka Okongwu,ATL,22,F-C,6,6,48.4,20.0,30.0,66.7,67.5,-0.8,2023
Clint Capela,ATL,29,C,6,6,43.3,13.0,29.0,44.8,64.7,-19.9,2023
Trae Young,ATL,24,G,6,6,34.5,20.0,29.0,69.0,62.5,6.5,2023
Karl-Anthony Towns,MIN,27,C-F,5,5,31.8,21.0,28.0,75.0,67.9,7.2,2023
Quentin Grimes,NYK,23,G,9,6,34.6,15.0,27.0,55.6,63.2,-7.6,2023
Spencer Dinwiddie,BKN,30,G,4,4,45.0,11.0,27.0,40.7,61.3,-20.6,2023
Landry Shamet,PHX,26,G,10,8,36.6,16.0,26.0,61.5,62.1,-0.6,2023
Troy Brown Jr.,LAL,23,G-F,10,10,41.3,10.0,26.0,38.5,62.1,-23.6,2023
Keegan Murray,SAC,22,F,7,6,39.4,16.0,26.0,61.5,64.7,-3.2,2023
Jrue Holiday,MIL,32,G,5,5,32.1,18.0,26.0,69.2,63.4,5.8,2023
Jock Landale,PHX,27,C,6,6,43.9,10.0,25.0,40.0,67.4,-27.4,2023
