TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,year
Phoenix Suns,22,22,35.0,296,655,45.2,52.4,19.3,201,361,55.7,15.7,95,294,32.3,open,2021
Milwaukee Bucks,23,23,31.1,266,652,40.8,48.8,14.9,161,312,51.6,16.2,105,340,30.9,open,2021
Atlanta Hawks,18,18,33.2,217,519,41.8,50.0,15.9,132,249,53.0,17.3,85,270,31.5,open,2021
LA Clippers,19,19,31.8,233,495,47.1,57.6,14.9,129,232,55.6,16.9,104,263,39.5,open,2021
Philadelphia 76ers,12,12,31.3,169,322,52.5,59.6,20.6,123,212,58.0,10.7,46,110,41.8,open,2021
Brooklyn Nets,12,12,29.1,147,301,48.8,59.1,12.9,85,133,63.9,16.2,62,168,36.9,open,2021
Utah Jazz,11,11,30.4,124,281,44.1,58.0,9.0,46,83,55.4,21.4,78,198,39.4,open,2021
Denver Nuggets,10,10,29.8,118,275,42.9,54.0,12.0,57,111,51.4,17.8,61,164,37.2,open,2021
Dallas Mavericks,7,7,35.0,95,210,45.2,56.9,14.2,46,85,54.1,20.8,49,125,39.2,open,2021
Portland Trail Blazers,6,6,31.9,69,169,40.8,51.5,12.8,33,68,48.5,19.1,36,101,35.6,open,2021
Washington Wizards,5,5,30.0,65,133,48.9,51.9,22.8,57,101,56.4,7.2,8,32,25.0,open,2021
Los Angeles Lakers,6,6,25.5,40,127,31.5,39.4,10.8,20,54,37.0,14.7,20,73,27.4,open,2021
Boston Celtics,5,5,28.3,64,125,51.2,65.2,11.1,29,49,59.2,17.2,35,76,46.1,open,2021
New York Knicks,5,5,28.0,42,121,34.7,42.1,15.0,24,65,36.9,13.0,18,56,32.1,open,2021
Memphis Grizzlies,5,5,24.4,52,115,45.2,51.3,15.3,38,72,52.8,9.1,14,43,32.6,open,2021
Miami Heat,4,4,30.0,42,107,39.3,49.5,13.2,20,47,42.6,16.8,22,60,36.7,open,2021
Milwaukee Bucks,23,23,40.0,455,837,54.4,56.2,35.3,425,739,57.5,4.7,30,98,30.6,tight,2021
Phoenix Suns,22,22,38.7,369,724,51.0,53.2,34.0,337,636,53.0,4.7,32,88,36.4,tight,2021
Atlanta Hawks,18,18,38.3,283,598,47.3,48.8,34.3,265,536,49.4,4.0,18,62,29.0,tight,2021
LA Clippers,19,19,37.7,299,587,50.9,53.7,31.0,266,482,55.2,6.7,33,105,31.4,tight,2021
Brooklyn Nets,12,12,45.7,225,473,47.6,51.2,36.2,191,374,51.1,9.6,34,99,34.3,tight,2021
Philadelphia 76ers,12,12,42.1,225,433,52.0,54.2,36.8,206,379,54.4,5.2,19,54,35.2,tight,2021
