,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%
13853,F,LeBron James,Cleveland Cavaliers,21,23.3,127,119,0.937,61.0,47,108,43.5,46.8,7.9,10.2,10.2,44.1,2016,iso,,,,,,,
13854,G,Kyrie Irving,Cleveland Cavaliers,21,22.6,114,96,0.842,66.0,38,104,36.5,40.9,3.5,6.1,6.1,38.6,2016,iso,,,,,,,
13855,G,Russell Westbrook,Oklahoma City Thunder,18,21.1,113,105,0.929,54.0,43,97,44.3,49.0,7.1,5.3,7.1,43.4,2016,iso,,,,,,,
13856,F,Kevin Durant,Oklahoma City Thunder,18,18.0,95,71,0.747,51.0,24,75,32.0,34.7,8.4,12.6,10.5,36.8,2016,iso,,,,,,,
13857,G,Stephen Curry,Golden State Warriors,18,18.4,81,92,1.136,38.0,33,71,46.5,60.6,9.9,4.9,3.7,43.2,2016,iso,,,,,,,
13858,G,Damian Lillard,Portland Trail Blazers,11,22.9,70,57,0.814,40.0,13,53,24.5,29.2,5.7,18.6,14.3,37.1,2016,iso,,,,,,,
13859,G,DeMar DeRozan,Toronto Raptors,20,11.5,57,35,0.614,30.0,15,45,33.3,33.3,12.3,8.8,8.8,31.6,2016,iso,,,,,,,
13860,G,Klay Thompson,Golden State Warriors,24,8.1,44,38,0.864,22.0,13,35,37.1,41.4,9.1,13.6,11.4,40.9,2016,iso,,,,,,,
13861,G,Dwyane Wade,Miami Heat,14,13.4,43,40,0.93,19.0,17,36,47.2,48.6,7.0,11.6,9.3,46.5,2016,iso,,,,,,,
13862,G,Kyle Lowry,Toronto Raptors,20,9.3,41,37,0.902,23.0,12,35,34.3,38.6,4.9,17.1,17.1,39.0,2016,iso,,,,,,,
13863,F,Harrison Barnes,Golden State Warriors,24,15.0,37,36,0.973,17.0,16,33,48.5,50.0,8.1,5.4,5.4,45.9,2016,iso,,,,,,,
13864,G,CJ McCollum,Portland Trail Blazers,11,15.1,36,38,1.056,14.0,14,28,50.0,51.8,8.3,16.7,16.7,52.8,2016,iso,,,,,,,
13865,G,Jeff Teague,Atlanta Hawks,10,19.9,34,27,0.794,18.0,11,29,37.9,39.7,8.8,5.9,5.9,38.2,2016,iso,,,,,,,
13866,F,Draymond Green,Golden State Warriors,23,8.4,32,35,1.094,11.0,14,25,56.0,58.0,6.3,18.8,21.9,56.3,2016,iso,,,,,,,
13867,G,James Harden,Houston Rockets,5,22.2,32,37,1.156,10.0,10,20,50.0,55.0,9.4,28.1,28.1,59.4,2016,iso,,,,,,,
