PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Theo Pinson,DAL,27,G-F,4,2,33.3,2.0,2.0,100.0,44.5,55.6
Luka Garza,MIN,23,C,1,1,20.0,1.0,1.0,100.0,49.3,50.7
Tyler Dorsey,DAL,26,G,1,1,100.0,2.0,2.0,100.0,53.7,46.3
Kenneth Lofton Jr.,MEM,20,F,3,1,25.0,2.0,2.0,100.0,57.6,42.4
Jordan Hall,SAS,20,G,8,6,30.0,9.0,9.0,100.0,59.3,40.7
Julian Champagnie,PHI,21,F,2,1,66.7,2.0,2.0,100.0,60.3,39.7
Jaylin Williams,OKC,20,F,6,4,27.3,6.0,6.0,100.0,61.6,38.4
Jaxson Hayes,NOP,22,C-F,9,5,36.4,8.0,8.0,100.0,62.6,37.4
Devon Dotson,WAS,23,G,3,2,27.3,3.0,3.0,100.0,62.7,37.3
Saben Lee,PHI,23,G,1,1,50.0,1.0,1.0,100.0,63.4,36.6
Patrick Baldwin Jr.,GSW,20,F,3,3,80.0,8.0,8.0,100.0,63.7,36.3
Facundo Campazzo,DAL,31,G,5,2,14.3,2.0,2.0,100.0,64.1,36.0
Mfiondu Kabengele,BOS,25,C,1,1,100.0,1.0,1.0,100.0,65.1,34.9
Isaiah Mobley,CLE,23,F,6,3,27.3,3.0,3.0,100.0,67.0,33.0
TyTy Washington Jr.,HOU,21,G,2,1,50.0,2.0,2.0,100.0,69.8,30.2
Chima Moneke,SAC,26,F,1,1,25.0,1.0,1.0,100.0,73.7,26.3
Tony Bradley,CHI,24,C-F,6,5,50.0,5.0,5.0,100.0,74.7,25.3
Scotty Pippen Jr.,LAL,22,G,2,1,50.0,1.0,2.0,50.0,25.0,25.0
Isaiah Joe,OKC,23,G,16,14,45.8,24.0,27.0,88.9,65.7,23.2
Ish Smith,DEN,34,G,10,7,28.9,11.0,13.0,84.6,61.4,23.2
Lindy Waters III,OKC,25,F,5,5,34.8,7.0,8.0,87.5,64.5,23.0
Richaun Holmes,SAC,29,F,12,9,38.0,17.0,19.0,89.5,67.3,22.2
Kendall Brown,IND,19,G,4,3,28.6,5.0,6.0,83.3,63.0,20.3
Evan Fournier,NYK,30,G-F,13,10,27.5,18.0,22.0,81.8,62.0,19.8
Furkan Korkmaz,PHI,25,G-F,11,7,29.4,12.0,15.0,80.0,61.5,18.5
Frank Kaminsky,ATL,29,F-C,9,8,40.0,13.0,16.0,81.3,64.4,16.9
Ryan Rollins,GSW,20,G,5,3,25.0,3.0,4.0,75.0,59.1,15.9
Bruno Fernando,HOU,24,F-C,9,8,50.8,26.0,33.0,78.8,63.4,15.4
Nathan Knight,MIN,25,F-C,7,2,12.5,2.0,2.0,100.0,84.8,15.3
Rodney McGruder,DET,31,G,8,6,37.0,8.0,10.0,80.0,64.8,15.2
Victor Oladipo,MIA,30,G,3,3,28.6,6.0,8.0,75.0,60.0,15.0
Khris Middleton,MIL,31,F,5,4,34.0,14.0,18.0,77.8,62.9,14.9
Gorgui Dieng,SAS,32,C,11,10,47.0,24.0,31.0,77.4,63.1,14.3
Markelle Fultz,ORL,24,G,7,7,35.6,12.0,16.0,75.0,60.9,14.1
Aaron Holiday,ATL,26,G,23,20,31.1,35.0,46.0,76.1,62.2,13.8
Ish Wainright,PHX,28,F,8,6,34.3,9.0,12.0,75.0,61.4,13.6
Moritz Wagner,ORL,25,F-C,10,10,37.8,43.0,54.0,79.6,66.1,13.5
Johnny Davis,WAS,20,G,7,4,41.7,4.0,5.0,80.0,66.5,13.5
Jimmy Butler,MIA,33,F,17,16,32.8,48.0,64.0,75.0,62.0,13.0
