PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
A.J. Lawson,DAL,13,5,8,63,35,43,1,1,4,3,2,2.9,5.7,
AJ Green,MIL,32,25,7,302,248,278,19,3,41,52,23,7.7,9.3,
AJ Griffin,ATL,63,29,34,1223,788,914,60,5,106,152,70,7.6,8.9,
Aaron Gordon,DEN,60,41,19,1807,1555,1662,176,22,264,440,210,11.3,13.5,
Aaron Holiday,ATL,54,28,26,732,796,848,66,6,150,178,84,8.3,10.6,
Aaron Nesmith,IND,62,27,35,1542,1482,1233,78,11,124,208,94,5.3,6.3,
Aaron Wiggins,OKC,59,32,27,1087,843,815,72,11,129,191,90,8.5,10.7,
Admiral Schofield,ORL,31,12,19,368,445,285,25,0,42,68,27,5.6,6.1,
Al Horford,BOS,56,39,17,1733,2096,1566,166,18,269,455,199,7.9,9.5,
Alec Burks,DET,50,12,38,1102,1079,1235,111,8,182,265,124,10.3,11.5,
Aleksej Pokusevski,OKC,31,15,16,677,1050,817,62,5,114,154,70,5.9,6.7,
Alex Caruso,CHI,58,26,32,1395,2145,1659,176,23,278,461,223,8.2,10.4,
Alex Len,SAC,18,12,6,58,82,52,6,0,9,15,6,7.3,7.3,
Alize Johnson,SAS,4,1,3,30,35,23,1,0,5,3,1,2.9,2.9,
Alondes Williams,BKN,1,1,0,5,7,5,0,0,0,0,0,0.0,0.0,
Alperen Sengun,HOU,65,14,51,1853,2526,2384,250,21,441,642,305,9.9,12.1,
Amir Coffey,LAC,45,23,22,593,440,490,51,6,93,131,64,11.6,14.5,
Andre Drummond,CHI,57,26,31,727,658,520,31,2,50,70,33,4.7,5.0,
Andre Iguodala,GSW,7,2,5,95,150,103,18,4,24,46,22,12.0,14.7,
Andrew Nembhard,IND,64,29,35,1733,2145,2368,256,21,511,685,318,11.9,14.8,
Andrew Wiggins,GSW,36,18,18,1163,1035,1198,83,22,173,226,113,8.0,10.9,
Anfernee Simons,POR,62,27,35,2171,2816,3562,253,60,441,641,333,9.0,11.8,
Anthony Davis,LAL,46,23,23,1546,2030,1742,116,15,204,282,132,5.7,6.5,
Anthony Edwards,MIN,71,35,36,2558,3193,3800,315,54,561,814,384,9.9,12.0,
Anthony Gill,WAS,48,18,30,478,345,296,23,2,42,64,27,6.7,7.8,
Anthony Lamb,GSW,51,27,24,1020,1360,1004,86,12,185,257,113,6.3,8.3,
Austin Reaves,LAL,54,27,27,1499,1488,1466,154,19,292,386,185,10.3,12.4,
Austin Rivers,MIN,51,24,27,1013,906,943,75,13,123,196,95,8.3,10.5,
Ayo Dosunmu,CHI,67,32,35,1802,2345,2324,178,33,323,434,223,7.6,9.5,
Bam Adebayo,MIA,68,36,32,2389,2817,2929,223,26,391,586,265,7.9,9.4,
Ben Simmons,BKN,42,24,18,1105,2191,1778,256,26,400,651,293,11.7,13.4,
Bennedict Mathurin,IND,67,30,37,1860,1550,2020,94,18,180,263,127,6.1,8.2,
Bismack Biyombo,PHX,51,26,25,691,919,638,45,3,73,108,49,4.9,5.3,
Blake Griffin,BOS,34,21,13,488,555,418,44,3,71,122,49,7.9,8.8,
Blake Wesley,SAS,25,6,19,426,629,672,56,21,121,153,82,8.9,13.0,
Boban Marjanovic,HOU,25,4,21,119,94,95,5,1,9,11,6,5.3,6.4,
Bobby Portis,MIL,60,40,20,1558,2139,1405,96,12,176,258,115,4.5,5.4,
Bogdan Bogdanovic,ATL,45,22,23,1273,1207,1314,127,14,223,322,156,10.5,12.9,
Bojan Bogdanovic,DET,58,15,43,1858,1509,1998,149,24,323,399,189,9.9,12.5,
Bol Bol,ORL,67,26,41,1431,885,845,61,5,107,151,70,6.9,7.9,
Bones Hyland,LAC,47,30,17,891,1483,1764,133,24,243,336,173,9.0,11.7,
Bradley Beal,WAS,49,24,25,1642,2096,2744,264,42,534,709,344,12.6,16.4,
Brandon Boston Jr.,LAC,21,8,13,247,268,300,19,4,44,45,22,7.1,8.2,
Brandon Clarke,MEM,56,32,24,1090,1119,1001,72,10,140,191,91,6.4,8.1,
Brandon Ingram,NOP,34,15,19,1129,1311,1812,170,25,353,459,216,13.0,16.5,
Braxton Key,DET,3,0,3,9,8,5,0,0,1,0,0,0.0,0.0,
Brook Lopez,MIL,69,50,19,2118,1419,1564,91,11,156,240,108,6.4,7.6,
Bruce Brown,DEN,71,48,23,1997,2734,2667,238,40,377,586,287,8.7,10.5,
Bruno Fernando,ATL,34,10,24,371,521,357,31,2,53,84,36,6.0,6.9,
Bryce McGowens,CHA,36,11,25,533,360,358,29,3,47,67,34,8.1,9.4,
Bryn Forbes,MIN,25,9,16,268,187,222,17,2,26,46,21,9.1,11.2,
Buddy Boeheim,DET,6,1,5,65,39,39,3,0,7,9,3,7.7,7.7,
Buddy Hield,IND,71,32,39,2251,3027,2780,194,40,355,509,256,6.4,8.5,
CJ McCollum,NOP,64,30,34,2251,3240,4160,381,40,697,999,477,11.8,14.7,
Cade Cunningham,DET,12,3,9,400,604,789,72,5,151,208,99,11.9,16.4,
Caleb Houstan,ORL,42,15,27,632,365,282,19,2,33,51,21,5.2,5.8,
Caleb Martin,MIA,62,33,29,1845,1753,1595,101,17,220,289,135,5.8,7.7,
Cam Reddish,POR,36,13,23,901,645,761,55,6,101,138,63,8.5,9.8,
Cam Thomas,BKN,52,28,24,861,926,1208,75,13,133,185,90,8.1,9.7,
Cameron Johnson,BKN,32,19,13,895,779,806,52,9,110,150,73,6.7,9.4,
Cameron Payne,PHX,39,21,18,836,1539,1662,183,33,354,451,234,11.9,15.2,
Caris LeVert,CLE,67,40,27,2013,2262,2336,266,28,460,674,324,11.8,14.3,
Carlik Jones,CHI,1,0,1,22,28,25,2,0,4,4,2,7.1,7.1,
Cedi Osman,CLE,68,42,26,1402,1365,1453,103,22,166,259,133,7.5,9.7,
Charles Bassey,SAS,35,9,26,508,676,440,47,3,74,118,55,7.0,8.1,
Chima Moneke,SAC,2,1,1,8,8,8,1,0,0,2,1,12.5,12.5,
Chimezie Metu,SAC,57,36,21,622,643,512,40,6,60,106,48,6.2,7.5,
Chris Boucher,TOR,66,33,33,1309,966,736,27,3,54,65,33,2.8,3.4,
Chris Duarte,IND,45,19,26,892,894,929,63,5,114,155,71,7.0,7.9,
Chris Paul,PHX,50,26,24,1604,2875,3071,458,52,855,1172,564,15.9,19.6,
Chris Silva,DAL,1,1,0,3,3,1,0,0,0,0,0,0.0,0.0,
Christian Braun,DEN,66,44,22,955,798,658,49,6,80,120,56,6.1,7.0,
Christian Koloko,TOR,49,24,25,685,552,414,23,5,34,56,28,4.2,5.1,
Christian Wood,DAL,58,31,27,1549,1798,1681,101,19,185,264,128,5.6,7.1,
Chuma Okeke,ORL,22,6,16,413,371,269,26,5,45,67,32,7.0,8.6,
Clint Capela,ATL,55,29,26,1464,1432,796,48,10,84,121,60,3.4,4.2,
Coby White,CHI,61,29,32,1381,1575,1656,143,25,246,363,181,9.1,11.5,
Cody Martin,CHA,7,2,5,134,106,95,11,0,17,29,11,10.4,10.4,
Cody Zeller,MIA,10,4,6,130,152,113,6,3,13,18,10,3.9,6.6,
Cole Anthony,ORL,52,23,29,1325,2011,2048,203,16,372,531,244,10.1,12.1,
Cole Swider,LAL,6,1,5,40,45,32,4,0,6,10,4,8.9,8.9,
Collin Sexton,UTA,47,24,23,1129,1466,1811,135,13,277,354,159,9.2,10.8,
Corey Kispert,WAS,63,28,35,1733,1375,1246,74,9,135,194,95,5.4,6.9,
Cory Joseph,DET,53,11,42,972,1609,1774,178,14,314,476,208,11.1,12.9,
D'Angelo Russell,LAL,64,33,31,2079,3932,4283,398,45,677,1021,492,10.1,12.5,
Daishen Nix,HOU,47,12,35,784,1439,1383,120,13,229,295,142,8.3,9.9,
Dalano Banton,TOR,27,14,13,251,403,413,29,3,49,72,34,7.2,8.4,
Dalen Terry,CHI,27,13,14,136,142,124,16,1,22,36,14,11.3,9.9,
Damian Jones,UTA,31,10,21,304,232,159,9,3,16,27,13,3.9,5.6,
Damian Lillard,POR,57,26,31,2073,3214,4265,413,57,732,1068,513,12.9,16.0,
Damion Lee,PHX,70,38,32,1451,1442,1365,98,15,195,254,121,6.8,8.4,
Daniel Gafford,WAS,69,30,39,1362,1457,968,72,3,96,179,78,4.9,5.4,
Daniel Theis,IND,7,1,6,109,114,123,9,1,11,24,10,7.9,8.8,
Danny Green,CLE,9,5,4,88,89,74,2,1,10,6,3,2.2,3.4,
Danuel House Jr.,PHI,46,32,14,644,534,480,31,8,58,83,42,5.8,7.9,
Dario Saric,OKC,52,25,27,743,876,724,71,4,115,181,81,8.1,9.2,
Darius Bazley,PHX,39,18,21,579,652,449,34,2,53,89,37,5.2,5.7,
Darius Days,HOU,4,0,4,25,30,22,1,0,3,3,1,3.3,3.3,
Darius Garland,CLE,62,35,27,2182,3258,4250,486,54,809,1173,587,14.9,18.0,
David Duke Jr.,BKN,18,7,11,173,147,174,16,0,32,49,18,10.9,12.2,
David Roddy,MEM,58,36,22,980,702,736,38,7,83,95,50,5.4,7.1,
Davion Mitchell,SAC,69,42,27,1234,1876,2060,150,30,293,417,203,8.0,10.8,
Davis Bertans,DAL,39,19,20,417,345,314,18,3,32,44,22,5.2,6.4,
Davon Reed,LAL,40,26,14,337,486,403,21,4,45,51,26,4.3,5.3,
Day'Ron Sharpe,BKN,37,16,21,409,490,340,29,0,44,71,32,5.9,6.5,
De'Aaron Fox,SAC,63,40,23,2143,3333,4275,388,28,754,1030,459,11.6,13.8,
De'Andre Hunter,ATL,61,33,28,1950,1365,1409,87,7,174,228,103,6.4,7.5,
De'Anthony Melton,PHI,67,46,21,1864,2485,2108,178,29,337,501,234,7.2,9.4,
DeAndre Jordan,DEN,35,22,13,499,491,375,31,1,46,79,34,6.3,6.9,
DeMar DeRozan,CHI,63,31,32,2305,2260,3264,323,74,607,846,421,14.3,18.6,
Dean Wade,CLE,39,27,12,776,671,476,32,6,67,90,39,4.8,5.8,
Deandre Ayton,PHX,61,30,31,1857,2151,1663,111,9,158,275,125,5.2,5.8,
Dejounte Murray,ATL,66,33,33,2403,3226,3828,398,32,686,985,459,12.3,14.2,
Delon Wright,WAS,42,23,19,1006,1584,1499,162,16,293,423,192,10.2,12.1,
Deni Avdija,WAS,69,31,38,1784,2148,1678,175,25,316,460,223,8.1,10.4,
Dennis Schroder,LAL,59,31,28,1770,2359,2659,267,34,501,692,324,11.3,13.7,
Dennis Smith Jr.,CHA,50,16,34,1284,2008,2132,236,19,480,627,291,11.8,14.5,
Deonte Burton,SAC,2,1,1,7,2,3,0,0,0,0,0,0.0,0.0,
Dereon Seabron,NOP,5,2,3,12,8,10,0,0,2,0,0,0.0,0.0,
Derrick Jones Jr.,CHI,52,22,30,704,696,510,30,4,46,86,37,4.3,5.3,
Derrick Rose,NYK,27,12,15,338,515,609,46,4,82,114,53,8.9,10.3,
Derrick White,BOS,72,49,23,2019,2508,2590,278,37,452,717,325,11.1,13.0,
Desmond Bane,MEM,48,30,18,1500,1967,2270,205,40,366,531,266,10.4,13.5,
Devin Booker,PHX,44,27,17,1518,1546,2439,241,42,482,632,303,15.6,19.6,
Devin Vassell,SAS,36,12,24,1122,1201,1418,128,18,238,342,157,10.7,13.1,
Devon Dotson,WAS,6,1,5,53,84,72,8,0,18,20,8,9.5,9.5,
Devonte' Graham,SAS,66,30,36,1178,1711,1778,176,16,316,420,200,10.3,11.7,
Dewayne Dedmon,PHI,33,20,13,364,441,334,18,2,30,44,21,4.1,4.8,
Dillon Brooks,MEM,64,40,24,1952,1563,1986,162,15,284,405,192,10.4,12.3,
Domantas Sabonis,SAC,68,42,26,2360,4411,3450,487,22,856,1307,542,11.0,12.3,
Dominick Barlow,SAS,17,2,15,199,162,124,10,0,19,26,11,6.2,6.8,
Donovan Mitchell,CLE,61,39,22,2165,2483,3504,281,47,544,713,358,11.3,14.4,
Donte DiVincenzo,GSW,61,33,28,1629,2365,2055,209,39,384,545,271,8.8,11.5,
Dorian Finney-Smith,BKN,57,26,31,1781,1646,1355,89,22,182,240,119,5.4,7.2,
Doug McDermott,SAS,58,18,40,1198,1054,1146,86,15,165,212,110,8.2,10.4,
