PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
A.J. Lawson,MIN,1,2,0,0,0,-,-,-,-,-
AJ Green,MIL,11,65,21,7,14,50.0,7,14,50.0,75.0
AJ Griffin,ATL,25,528,104,36,97,37.1,32,91,35.2,53.6
Aaron Gordon,DEN,24,708,52,18,48,37.5,16,43,37.2,54.2
Aaron Holiday,ATL,25,451,42,14,36,38.9,14,36,38.9,58.3
Aaron Nesmith,IND,25,539,96,32,90,35.6,32,89,36.0,53.3
Aaron Wiggins,OKC,20,378,39,13,32,40.6,13,31,41.9,60.9
Admiral Schofield,ORL,18,221,36,12,34,35.3,12,34,35.3,52.9
Al Horford,BOS,20,631,120,40,92,43.5,40,87,46.0,65.2
Alec Burks,DET,17,355,45,15,39,38.5,15,39,38.5,57.7
Aleksej Pokusevski,OKC,25,554,96,33,82,40.2,30,76,39.5,58.5
Alex Caruso,CHI,26,664,64,22,55,40.0,20,51,39.2,58.2
Alex Len,SAC,8,25,0,0,1,0.0,-,-,-,0.0
Alize Johnson,SAS,4,30,0,0,1,0.0,0,1,0.0,0.0
Alondes Williams,BKN,1,5,0,0,0,-,-,-,-,-
Alperen Sengun,HOU,25,670,8,3,20,15.0,2,14,14.3,20.0
Amir Coffey,LAC,25,377,18,6,19,31.6,6,19,31.6,47.4
Andre Drummond,CHI,21,296,0,0,3,0.0,0,2,0.0,0.0
Andrew Nembhard,IND,24,610,72,24,65,36.9,24,65,36.9,55.4
Andrew Wiggins,GSW,22,722,187,63,130,48.5,61,126,48.4,71.9
Anfernee Simons,POR,26,952,161,54,136,39.7,53,134,39.6,59.2
Anthony Davis,LAL,24,818,39,15,49,30.6,9,27,33.3,39.8
Anthony Edwards,MIN,28,1020,85,29,70,41.4,27,65,41.5,60.7
Anthony Gill,WAS,25,282,8,3,11,27.3,2,10,20.0,36.4
Anthony Lamb,GSW,21,376,64,22,56,39.3,20,54,37.0,57.1
Austin Reaves,LAL,27,792,83,28,72,38.9,27,70,38.6,57.6
Austin Rivers,MIN,18,272,15,5,27,18.5,5,27,18.5,27.8
Ayo Dosunmu,CHI,25,689,72,24,72,33.3,24,72,33.3,50.0
Bam Adebayo,MIA,27,944,35,17,46,37.0,1,8,12.5,38.0
Ben Simmons,BKN,19,520,2,1,2,50.0,0,0,-,50.0
Bennedict Mathurin,IND,29,840,106,36,97,37.1,34,92,37.0,54.6
Bismack Biyombo,PHX,23,288,2,1,4,25.0,-,-,-,25.0
Blake Griffin,BOS,13,217,24,8,21,38.1,8,20,40.0,57.1
Blake Wesley,SAS,2,23,6,2,3,66.7,2,3,66.7,100
Boban Marjanovic,HOU,8,30,2,1,2,50.0,0,1,0.0,50.0
Bobby Portis,MIL,28,738,115,42,114,36.8,31,97,32.0,50.4
Bogdan Bogdanovic,ATL,6,170,50,17,44,38.6,16,40,40.0,56.8
Bojan Bogdanovic,DET,29,903,173,59,121,48.8,55,117,47.0,71.5
Bol Bol,ORL,29,779,43,15,35,42.9,13,33,39.4,61.4
Bones Hyland,DEN,19,412,69,23,53,43.4,23,52,44.2,65.1
Bradley Beal,WAS,18,631,72,26,60,43.3,20,49,40.8,60.0
Brandon Boston Jr.,LAC,12,117,12,4,9,44.4,4,9,44.4,66.7
Brandon Clarke,MEM,28,549,23,11,26,42.3,1,6,16.7,44.2
Brandon Ingram,NOP,15,481,71,25,55,45.5,21,45,46.7,64.5
Braxton Key,DET,3,9,0,0,0,-,-,-,-,-
Brook Lopez,MIL,27,827,172,59,146,40.4,54,131,41.2,58.9
Bruce Brown,DEN,27,804,90,30,77,39.0,30,75,40.0,58.4
Bruno Fernando,HOU,11,132,0,0,1,0.0,0,1,0.0,0.0
Bryce McGowens,CHA,12,182,18,6,12,50.0,6,12,50.0,75.0
Bryn Forbes,MIN,14,143,12,4,19,21.1,4,17,23.5,31.6
Buddy Boeheim,DET,1,1,0,0,0,-,-,-,-,-
Buddy Hield,IND,29,935,239,80,201,39.8,79,199,39.7,59.5
CJ McCollum,NOP,24,840,100,34,96,35.4,32,90,35.6,52.1
Cade Cunningham,DET,12,400,29,10,32,31.3,9,27,33.3,45.3
Caleb Houstan,ORL,21,392,64,22,61,36.1,20,56,35.7,52.5
Caleb Martin,MIA,29,954,104,37,94,39.4,30,80,37.5,55.3
Cam Reddish,NYK,20,438,41,14,47,29.8,13,45,28.9,43.6
Cam Thomas,BKN,22,336,19,7,11,63.6,5,9,55.6,86.4
Cameron Johnson,PHX,8,202,59,20,47,42.6,19,45,42.2,62.8
Cameron Payne,PHX,26,645,78,26,74,35.1,26,74,35.1,52.7
Caris LeVert,CLE,25,774,66,22,64,34.4,22,64,34.4,51.6
Cedi Osman,CLE,28,648,86,29,97,29.9,28,96,29.2,44.3
Charles Bassey,SAS,18,292,9,4,10,40.0,1,4,25.0,45.0
Chima Moneke,SAC,2,8,0,0,0,-,-,-,-,-
Chimezie Metu,SAC,23,271,15,5,19,26.3,5,18,27.8,39.5
Chris Boucher,TOR,24,551,66,23,75,30.7,20,67,29.9,44.0
Chris Duarte,IND,9,177,24,8,24,33.3,8,24,33.3,50.0
Chris Paul,PHX,15,468,18,6,18,33.3,6,18,33.3,50.0
Christian Braun,DEN,25,352,23,8,21,38.1,7,18,38.9,54.8
Christian Koloko,TOR,28,463,0,0,9,0.0,0,6,0.0,0.0
Christian Wood,DAL,25,655,99,33,66,50.0,33,65,50.8,75.0
Chuma Okeke,ORL,18,392,51,17,55,30.9,17,55,30.9,46.4
Clint Capela,ATL,26,718,0,0,0,-,-,-,-,-
Coby White,CHI,19,380,69,23,70,32.9,23,70,32.9,49.3
Cody Martin,CHA,1,1,0,0,0,-,-,-,-,-
Cole Anthony,ORL,12,320,32,11,33,33.3,10,32,31.3,48.5
Cole Swider,LAL,1,2,0,0,1,0.0,0,1,0.0,0.0
Collin Sexton,UTA,27,661,44,15,44,34.1,14,43,32.6,50.0
Corey Kispert,WAS,21,601,117,40,91,44.0,37,86,43.0,64.3
Cory Joseph,DET,24,371,30,10,29,34.5,10,29,34.5,51.7
D'Angelo Russell,MIN,27,857,112,39,101,38.6,34,94,36.2,55.4
Daishen Nix,HOU,25,376,39,13,40,32.5,13,39,33.3,48.8
Dalano Banton,TOR,21,209,33,11,33,33.3,11,32,34.4,50.0
Dalen Terry,CHI,11,36,3,1,4,25.0,1,4,25.0,37.5
Damian Jones,LAL,13,119,0,0,1,0.0,0,1,0.0,0.0
Damian Lillard,POR,16,563,85,29,77,37.7,27,74,36.5,55.2
Damion Lee,PHX,29,616,161,54,110,49.1,53,107,49.5,73.2
Daniel Gafford,WAS,29,413,2,1,4,25.0,-,-,-,25.0
Danuel House Jr.,PHI,22,405,24,8,30,26.7,8,30,26.7,40.0
Dario Saric,PHX,14,168,21,7,26,26.9,7,23,30.4,40.4
Darius Bazley,OKC,21,355,33,11,32,34.4,11,31,35.5,51.6
Darius Garland,CLE,23,826,90,30,61,49.2,30,61,49.2,73.8
David Duke Jr.,BKN,14,126,0,0,6,0.0,0,6,0.0,0.0
David Roddy,MEM,28,540,72,24,84,28.6,24,84,28.6,42.9
Davion Mitchell,SAC,27,531,42,14,47,29.8,14,47,29.8,44.7
Davis Bertans,DAL,11,83,24,8,23,34.8,8,23,34.8,52.2
Davon Reed,DEN,19,201,24,8,28,28.6,8,27,29.6,42.9
Day'Ron Sharpe,BKN,17,152,9,3,4,75.0,3,4,75.0,112.5
De'Aaron Fox,SAC,24,768,73,25,59,42.4,23,56,41.1,61.9
De'Andre Hunter,ATL,24,732,106,38,99,38.4,30,81,37.0,53.5
De'Anthony Melton,PHI,24,706,130,44,97,45.4,42,95,44.2,67.0
DeAndre Jordan,DEN,22,337,3,1,1,100,1,1,100,150.0
DeMar DeRozan,CHI,27,954,37,15,53,28.3,7,30,23.3,34.9
Dean Wade,CLE,17,409,68,23,58,39.7,22,55,40.0,58.6
Deandre Ayton,PHX,26,750,44,21,63,33.3,2,11,18.2,34.9
Dejounte Murray,ATL,25,890,98,33,94,35.1,32,90,35.6,52.1
Delon Wright,WAS,4,91,3,1,10,10.0,1,9,11.1,15.0
Deni Avdija,WAS,29,740,62,21,79,26.6,20,75,26.7,39.2
Dennis Schroder,LAL,13,335,21,7,27,25.9,7,27,25.9,38.9
Dennis Smith Jr.,CHA,15,419,30,10,25,40.0,10,25,40.0,60.0
Dereon Seabron,NOP,2,3,0,0,0,-,-,-,-,-
Derrick Jones Jr.,CHI,22,301,27,9,26,34.6,9,26,34.6,51.9
Derrick Rose,NYK,21,285,24,8,29,27.6,8,29,27.6,41.4
Derrick White,BOS,29,737,123,41,96,42.7,41,96,42.7,64.1
Desmond Bane,MEM,12,402,62,21,49,42.9,20,46,43.5,63.3
Devin Booker,PHX,27,955,92,34,74,45.9,24,57,42.1,62.2
Devin Vassell,SAS,22,698,171,58,126,46.0,55,116,47.4,67.9
Devon Dotson,WAS,5,50,3,1,3,33.3,1,3,33.3,50.0
Devonte' Graham,NOP,28,432,87,29,72,40.3,29,72,40.3,60.4
Dewayne Dedmon,MIA,24,299,34,12,36,33.3,10,32,31.3,47.2
Dillon Brooks,MEM,25,770,125,42,111,37.8,41,103,39.8,56.3
Domantas Sabonis,SAC,27,888,57,23,50,46.0,11,27,40.7,57.0
Dominick Barlow,SAS,4,26,2,1,4,25.0,0,3,0.0,25.0
Donovan Mitchell,CLE,25,917,100,34,92,37.0,32,85,37.6,54.3
Donte DiVincenzo,GSW,21,405,69,23,63,36.5,23,63,36.5,54.8
Dorian Finney-Smith,DAL,28,885,153,51,150,34.0,51,150,34.0,51.0
Doug McDermott,SAS,24,500,131,44,97,45.4,43,95,45.3,67.5
Draymond Green,GSW,26,800,41,15,46,32.6,11,38,28.9,44.6
Drew Eubanks,POR,26,452,9,4,8,50.0,1,2,50.0,56.3
Dru Smith,MIA,5,67,3,1,5,20.0,1,5,20.0,30.0
Duane Washington Jr.,PHX,15,135,26,9,28,32.1,8,27,29.6,46.4
Duncan Robinson,MIA,21,363,66,22,73,30.1,22,72,30.6,45.2
Dwight Powell,DAL,25,426,0,0,2,0.0,0,1,0.0,0.0
Dyson Daniels,NOP,20,406,30,10,27,37.0,10,26,38.5,55.6
Edmond Sumner,BKN,24,373,38,13,44,29.5,12,43,27.9,43.2
Eric Gordon,HOU,24,718,99,33,90,36.7,33,90,36.7,55.0
Eugene Omoruyi,OKC,11,139,21,7,19,36.8,7,19,36.8,55.3
Evan Fournier,NYK,13,260,30,10,31,32.3,10,30,33.3,48.4
Evan Mobley,CLE,29,1000,37,15,51,29.4,7,30,23.3,36.3
Facundo Campazzo,DAL,8,52,6,2,6,33.3,2,6,33.3,50.0
Frank Kaminsky,ATL,12,87,20,7,14,50.0,6,13,46.2,71.4
Frank Ntilikina,DAL,10,94,6,2,11,18.2,2,11,18.2,27.3
Franz Wagner,ORL,29,972,72,24,60,40.0,24,59,40.7,60.0
Fred VanVleet,TOR,22,807,81,27,87,31.0,27,86,31.4,46.6
Furkan Korkmaz,PHI,16,200,21,7,22,31.8,7,21,33.3,47.7
Gabe Vincent,MIA,19,472,47,16,60,26.7,15,59,25.4,39.2
Garrett Temple,NOP,10,76,18,6,12,50.0,6,12,50.0,75.0
Garrison Mathews,HOU,24,320,80,27,71,38.0,26,70,37.1,56.3
Gary Harris,ORL,6,155,21,7,19,36.8,7,19,36.8,55.3
Gary Trent Jr.,TOR,25,783,134,45,119,37.8,44,114,38.6,56.3
George Hill,MIL,28,555,50,17,43,39.5,16,42,38.1,58.1
Georges Niang,PHI,25,492,170,57,123,46.3,56,122,45.9,69.1
Giannis Antetokounmpo,MIL,24,786,30,10,36,27.8,10,32,31.3,41.7
Goga Bitadze,IND,16,158,8,3,14,21.4,2,11,18.2,28.6
Goran Dragic,CHI,26,437,72,24,50,48.0,24,48,50.0,72.0
Gordon Hayward,CHA,11,355,43,15,42,35.7,13,33,39.4,51.2
Gorgui Dieng,SAS,12,141,25,9,25,36.0,7,22,31.8,50.0
Grant Williams,BOS,28,809,107,36,79,45.6,35,77,45.5,67.7
Grayson Allen,MIL,25,680,125,42,91,46.2,41,90,45.6,68.7
Greg Brown III,POR,7,50,3,1,4,25.0,1,4,25.0,37.5
Hamidou Diallo,DET,25,379,6,2,15,13.3,2,12,16.7,20.0
Harrison Barnes,SAC,27,845,88,30,89,33.7,28,87,32.2,49.4
Haywood Highsmith,MIA,19,361,38,13,42,31.0,12,40,30.0,45.2
Herbert Jones,NOP,19,520,46,16,59,27.1,14,51,27.5,39.0
Immanuel Quickley,NYK,28,661,38,13,45,28.9,12,43,27.9,42.2
Isaac Okoro,CLE,29,533,33,11,45,24.4,11,45,24.4,36.7
Isaiah Hartenstein,NYK,28,580,34,14,41,34.1,6,23,26.1,41.5
Isaiah Jackson,IND,25,403,7,3,11,27.3,1,5,20.0,31.8
Isaiah Joe,OKC,21,216,75,25,53,47.2,25,53,47.2,70.8
Isaiah Livers,DET,22,430,81,27,76,35.5,27,75,36.0,53.3
Isaiah Mobley,CLE,8,26,3,1,2,50.0,1,2,50.0,75.0
Isaiah Roby,SAS,23,294,33,11,32,34.4,11,32,34.4,51.6
Isaiah Stewart,DET,23,647,116,40,94,42.6,36,89,40.4,61.7
Isaiah Todd,WAS,4,13,0,0,3,0.0,0,3,0.0,0.0
Ish Smith,DEN,11,122,6,2,4,50.0,2,4,50.0,75.0
Ish Wainright,PHX,12,145,27,9,22,40.9,9,22,40.9,61.4
Ivica Zubac,LAC,30,886,0,0,4,0.0,0,1,0.0,0.0
JD Davison,BOS,3,8,0,0,2,0.0,0,2,0.0,0.0
JT Thor,CHA,17,159,9,3,20,15.0,3,18,16.7,22.5
Ja Morant,MEM,23,753,36,12,35,34.3,12,34,35.3,51.4
JaMychal Green,GSW,26,390,39,14,47,29.8,11,42,26.2,41.5
JaVale McGee,DAL,17,158,3,1,2,50.0,1,2,50.0,75.0
Jabari Smith Jr.,HOU,27,824,134,45,135,33.3,44,131,33.6,49.6
Jabari Walker,POR,15,115,9,3,11,27.3,3,10,30.0,40.9
Jack White,DEN,8,26,0,0,2,0.0,0,2,0.0,0.0
Jaden Hardy,DAL,7,45,3,1,7,14.3,1,7,14.3,21.4
Jaden Ivey,DET,26,796,60,20,64,31.3,20,62,32.3,46.9
Jaden McDaniels,MIN,25,748,81,28,72,38.9,25,69,36.2,56.3
Jaden Springer,PHI,4,11,2,1,1,100,-,-,-,100
Jae'Sean Tate,HOU,3,68,3,1,4,25.0,1,4,25.0,37.5
Jake LaRavia,MEM,18,312,54,18,45,40.0,18,45,40.0,60.0
Jakob Poeltl,SAS,20,545,20,10,23,43.5,-,-,-,43.5
Jalen Brunson,NYK,28,895,53,18,52,34.6,17,51,33.3,51.0
Jalen Duren,DET,27,608,2,1,4,25.0,0,1,0.0,25.0
Jalen Green,HOU,28,968,107,36,106,34.0,35,103,34.0,50.5
Jalen Johnson,ATL,27,438,27,9,41,22.0,9,40,22.5,32.9
Jalen McDaniels,CHA,28,757,104,35,96,36.5,34,93,36.6,54.2
Jalen Smith,IND,28,618,94,32,123,26.0,30,110,27.3,38.2
Jalen Suggs,ORL,14,404,25,9,40,22.5,7,37,18.9,31.3
Jalen Williams,OKC,24,634,54,18,59,30.5,18,58,31.0,45.8
Jamal Cain,MIA,8,93,5,2,7,28.6,1,6,16.7,35.7
Jamal Murray,DEN,23,699,45,15,53,28.3,15,51,29.4,42.5
James Bouknight,CHA,21,333,24,8,37,21.6,8,36,22.2,32.4
James Harden,PHI,13,491,20,7,20,35.0,6,19,31.6,50.0
James Johnson,IND,7,62,3,1,6,16.7,1,6,16.7,25.0
James Wiseman,GSW,12,152,4,2,6,33.3,-,-,-,33.3
Jaren Jackson Jr.,MEM,12,302,62,21,56,37.5,20,55,36.4,55.4
Jarred Vanderbilt,UTA,29,718,38,13,36,36.1,12,30,40.0,52.8
Jarrett Allen,CLE,22,723,14,7,23,30.4,0,3,0.0,30.4
Jarrett Culver,ATL,9,134,3,1,12,8.3,1,10,10.0,12.5
Jason Preston,LAC,5,44,6,2,7,28.6,2,7,28.6,42.9
Javonte Green,CHI,24,385,30,10,29,34.5,10,29,34.5,51.7
Jaxson Hayes,NOP,10,73,0,0,9,0.0,0,9,0.0,0.0
Jaylen Brown,BOS,27,963,144,50,142,35.2,44,129,34.1,50.7
Jaylen Nowell,MIN,28,528,77,27,78,34.6,23,73,31.5,49.4
Jaylin Williams,OKC,6,46,2,1,6,16.7,0,3,0.0,16.7
Jayson Tatum,BOS,28,1036,173,60,143,42.0,53,129,41.1,60.5
Jeff Dowtin Jr.,TOR,9,67,3,1,4,25.0,1,4,25.0,37.5
Jeff Green,DEN,20,387,21,7,22,31.8,7,21,33.3,47.7
