PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
Royce O'Neale,BKN,29,27,27,57.4,60,132,45.5,66.7,3.0,4,7,57.1,54.3,56,125,44.8
Trae Young,ATL,24,26,26,23.6,54,131,41.2,53.8,6.3,21,35,60.0,17.3,33,96,34.4
Buddy Hield,IND,29,29,29,30.3,55,126,43.7,63.1,1.7,6,7,85.7,28.6,49,119,41.2
Dorian Finney-Smith,DAL,29,28,28,59.4,45,126,35.7,53.2,0.5,1,1,100,59.0,44,125,35.2
Trey Murphy III,NOP,22,26,26,52.5,49,124,39.5,58.1,2.1,3,5,60.0,50.4,46,119,38.7
Nikola Vucevic,CHI,32,27,27,34.6,50,120,41.7,56.7,5.8,14,20,70.0,28.8,36,100,36.0
Tyrese Haliburton,IND,22,27,26,29.1,50,118,42.4,61.9,1.5,4,6,66.7,27.7,46,112,41.1
Jordan Poole,GSW,23,29,29,27.4,47,115,40.9,57.8,4.5,8,19,42.1,22.9,39,96,40.6
Stephen Curry,GSW,34,26,25,21.2,52,111,46.8,67.1,2.5,7,13,53.8,18.7,45,98,45.9
Lauri Markkanen,UTA,25,28,27,25.1,47,106,44.3,62.7,2.4,8,10,80.0,22.7,39,96,40.6
Jalen Smith,IND,22,28,27,40.5,31,102,30.4,43.1,6.0,5,15,33.3,34.5,26,87,29.9
Jalen Green,HOU,20,28,25,20.0,41,100,41.0,55.5,3.2,12,16,75.0,16.8,29,84,34.5
Kelly Olynyk,UTA,31,31,28,37.9,47,96,49.0,69.8,4.0,7,10,70.0,34.0,40,86,46.5
Jordan Clarkson,UTA,30,30,29,19.0,40,96,41.7,59.4,2.4,6,12,50.0,16.6,34,84,40.5
Darius Garland,CLE,22,23,23,24.5,39,95,41.1,58.4,5.2,6,20,30.0,19.3,33,75,44.0
Eric Gordon,HOU,33,24,24,40.9,38,94,40.4,58.0,2.6,5,6,83.3,38.3,33,88,37.5
Saddiq Bey,DET,23,26,24,31.9,36,94,38.3,55.9,2.7,3,8,37.5,29.2,33,86,38.4
Tim Hardaway Jr.,DAL,30,27,27,31.0,34,94,36.2,52.7,3.0,3,9,33.3,28.1,31,85,36.5
Reggie Bullock,DAL,31,27,26,70.5,31,93,33.3,48.9,2.3,2,3,66.7,68.2,29,90,32.2
Cameron Payne,PHX,28,26,25,30.4,39,90,43.3,62.2,3.4,5,10,50.0,27.0,34,80,42.5
Grayson Allen,MIL,27,25,24,48.1,38,90,42.2,61.7,1.6,3,3,100,46.5,35,87,40.2
Cedi Osman,CLE,27,28,24,42.9,35,90,38.9,55.0,3.3,6,7,85.7,39.5,29,83,34.9
