PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
A.J. Lawson,DAL,13,5,8,63,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
AJ Green,MIL,25,19,6,221,6,1,1,100.0,0,0,0.0,2,33.3,4,66.7,0,0.0,1,16.7,0,0.0
AJ Griffin,ATL,55,25,30,1122,164,51,101,50.5,17,20,85.0,120,73.2,39,23.8,7,4.3,10,6.1,10,6.1
Aaron Gordon,DEN,49,35,14,1483,162,42,72,58.3,34,58,58.6,124,76.5,42,25.9,13,8.0,15,9.3,28,17.3
Aaron Holiday,ATL,50,26,24,725,170,27,65,41.5,9,12,75.0,67,39.4,81,47.6,13,7.6,11,6.5,6,3.5
Aaron Nesmith,IND,53,22,31,1300,210,38,89,42.7,25,30,83.3,103,49.0,81,38.6,16,7.6,17,8.1,15,7.1
Aaron Wiggins,OKC,46,25,21,846,138,26,54,48.1,11,14,78.6,64,46.4,59,42.8,16,11.6,11,8.0,7,5.1
Admiral Schofield,ORL,27,11,16,350,22,9,15,60.0,6,6,100.0,25,113.6,2,9.1,0,0.0,1,4.5,3,13.6
Al Horford,BOS,45,32,13,1380,66,14,23,60.9,3,6,50.0,31,47.0,37,56.1,9,13.6,0,0.0,3,4.5
Alec Burks,DET,45,12,33,995,219,49,97,50.5,37,50,74.0,144,65.8,78,35.6,21,9.6,11,5.0,25,11.4
Aleksej Pokusevski,OKC,31,15,16,677,86,13,38,34.2,7,10,70.0,33,38.4,34,39.5,7,8.1,6,7.0,5,5.8
Alex Caruso,CHI,48,19,29,1168,119,11,30,36.7,15,16,93.8,38,31.9,65,54.6,18,15.1,11,9.2,8,6.7
Alex Len,SAC,13,8,5,46,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Alize Johnson,SAS,4,1,3,30,4,1,1,100.0,0,0,0.0,2,50.0,2,50.0,1,25.0,0,0.0,0,0.0
Alondes Williams,BKN,1,1,0,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Alperen Sengun,HOU,53,10,43,1498,225,59,104,56.7,33,44,75.0,157,69.8,76,33.8,20,8.9,16,7.1,22,9.8
Amir Coffey,LAC,40,21,19,570,103,24,56,42.9,19,24,79.2,68,66.0,29,28.2,7,6.8,5,4.9,12,11.7
Andre Drummond,CHI,45,19,26,582,13,3,9,33.3,2,2,100.0,8,61.5,2,15.4,1,7.7,1,7.7,1,7.7
Andre Iguodala,GSW,2,0,2,25,2,0,0,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0
Andrew Nembhard,IND,53,23,30,1435,350,51,123,41.5,9,12,75.0,113,32.3,189,54.0,43,12.3,19,5.4,6,1.7
Andrew Wiggins,GSW,36,18,18,1163,170,23,67,34.3,10,14,71.4,56,32.9,76,44.7,19,11.2,14,8.2,7,4.1
Anfernee Simons,POR,56,27,29,1990,507,136,255,53.3,46,50,92.0,326,64.3,189,37.3,43,8.5,27,5.3,25,4.9
Anthony Davis,LAL,35,16,19,1168,87,29,58,50.0,11,18,61.1,74,85.1,15,17.2,4,4.6,4,4.6,9,10.3
Anthony Edwards,MIN,60,31,29,2173,742,214,398,53.8,116,146,79.5,560,75.5,197,26.5,50,6.7,55,7.4,73,9.8
Anthony Gill,WAS,41,17,24,411,27,6,13,46.2,6,8,75.0,18,66.7,9,33.3,2,7.4,1,3.7,4,14.8
Anthony Lamb,GSW,42,22,20,813,77,14,18,77.8,6,8,75.0,37,48.1,45,58.4,8,10.4,6,7.8,4,5.2
Austin Reaves,LAL,41,19,22,1144,203,39,69,56.5,38,44,86.4,124,61.1,85,41.9,15,7.4,19,9.4,22,10.8
Austin Rivers,MIN,45,23,22,949,165,35,60,58.3,18,20,90.0,92,55.8,85,51.5,18,10.9,8,4.8,10,6.1
Ayo Dosunmu,CHI,55,25,30,1559,291,74,118,62.7,15,20,75.0,164,56.4,133,45.7,32,11.0,24,8.2,10,3.4
Bam Adebayo,MIA,54,29,25,1909,301,90,171,52.6,57,68,83.8,243,80.7,66,21.9,7,2.3,16,5.3,34,11.3
Ben Simmons,BKN,42,24,18,1105,146,32,61,52.5,7,12,58.3,71,48.6,66,45.2,12,8.2,8,5.5,7,4.8
Bennedict Mathurin,IND,60,26,34,1693,452,120,267,44.9,110,129,85.3,365,80.8,75,16.6,14,3.1,33,7.3,65,14.4
Bismack Biyombo,PHX,45,25,20,630,4,0,2,0.0,0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0
Blake Griffin,BOS,26,17,9,375,13,2,6,33.3,0,2,0.0,5,38.5,2,15.4,0,0.0,2,15.4,1,7.7
