Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Minnesota Timberwolves (1),53,24,0.688,—,112.8,105.8,6.87
Denver Nuggets (2),53,24,0.688,—,114.3,109.6,4.78
Oklahoma City Thunder (3),52,25,0.675,1.0,119.8,113.4,6.48
Los Angeles Clippers (4),49,28,0.636,4.0,116.0,112.4,3.7
Dallas Mavericks (5),47,30,0.61,6.0,118.2,115.7,2.68
Phoenix Suns (6),46,31,0.597,7.0,116.6,113.5,2.79
New Orleans Pelicans (7),45,32,0.584,8.0,115.0,110.6,4.48
Sacramento Kings (8),44,33,0.571,9.0,116.8,115.6,1.75
Los Angeles Lakers (9),44,33,0.571,9.0,117.9,117.5,0.81
Golden State Warriors (10),42,35,0.545,11.0,117.8,115.5,2.64
Houston Rockets (11),38,39,0.494,15.0,113.9,112.9,1.12
Utah Jazz (12),29,48,0.377,24.0,116.0,120.8,-4.35
Memphis Grizzlies (13),27,50,0.351,26.0,106.0,112.6,-6.22
Portland Trail Blazers (14),21,56,0.273,32.0,106.9,115.5,-8.05
San Antonio Spurs (15),19,58,0.247,34.0,112.1,119.0,-6.15
