PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
Aaron Gordon,DEN,7,6,1,241,195,199,10,2,26,27,12,5.1,6.2,
Aaron Holiday,ATL,1,1,0,4,6,7,1,0,2,3,1,16.7,16.7,
Al Horford,BOS,8,5,3,249,305,197,27,2,42,71,29,8.9,9.5,
Alex Len,SAC,7,3,4,54,56,31,1,0,3,3,1,1.8,1.8,
Amir Coffey,LAC,1,0,1,1,0,0,0,0,0,0,0,0.0,0.0,
Andrew Wiggins,GSW,9,5,4,311,282,300,13,5,42,40,21,4.6,7.4,
Anthony Davis,LAL,8,5,3,295,338,279,21,2,26,54,26,6.2,7.7,
Anthony Edwards,MIN,5,1,4,199,234,286,26,3,36,73,33,11.1,14.1,
Anthony Lamb,GSW,3,2,1,20,33,24,0,0,3,2,1,0.0,3.0,
Austin Reaves,LAL,8,5,3,282,314,342,35,5,77,90,43,11.1,13.7,
Austin Rivers,MIN,4,1,3,46,39,35,1,1,4,3,2,2.6,5.1,
Bam Adebayo,MIA,7,5,2,233,288,293,33,0,56,86,34,11.5,11.8,
Bismack Biyombo,PHX,7,4,3,71,65,41,6,1,9,18,8,9.2,12.3,
Blake Griffin,BOS,1,0,1,6,3,3,0,0,0,0,0,0.0,0.0,
Bobby Portis,MIL,5,1,4,107,129,81,6,0,16,17,6,4.7,4.7,
Bogdan Bogdanovic,ATL,6,2,4,157,136,126,15,2,24,36,17,11.0,12.5,
Bones Hyland,LAC,5,1,4,82,108,122,4,4,7,9,8,3.7,7.4,
Brandon Boston Jr.,LAC,1,0,1,1,1,2,0,0,0,0,0,0.0,0.0,
Brook Lopez,MIL,5,1,4,182,97,125,6,2,10,15,9,6.2,9.3,
Bruce Brown,DEN,7,6,1,184,233,246,16,3,29,38,19,6.9,8.2,
Caleb Martin,MIA,7,5,2,202,198,174,12,1,24,33,15,6.1,7.6,
Cam Thomas,BKN,2,0,2,16,12,18,1,0,3,2,1,8.3,8.3,
Cameron Johnson,BKN,4,0,4,152,123,134,11,2,26,25,13,8.9,10.6,
Cameron Payne,PHX,3,1,2,25,39,36,4,0,4,9,4,10.3,10.3,
Caris LeVert,CLE,5,1,4,170,151,163,13,2,25,33,16,8.6,10.6,
Cedi Osman,CLE,5,1,4,93,91,78,5,0,11,14,5,5.5,5.5,
Chimezie Metu,SAC,3,1,2,6,4,4,0,0,1,0,0,0.0,0.0,
Chris Paul,PHX,7,4,3,250,351,343,52,4,87,126,59,14.8,16.8,
Christian Braun,DEN,7,6,1,93,65,38,5,1,6,14,8,7.7,12.3,
Clint Capela,ATL,6,2,4,151,137,72,3,2,5,7,6,2.2,4.4,
Cody Zeller,MIA,6,4,2,53,57,38,3,1,4,8,4,5.3,7.0,
D'Angelo Russell,LAL,8,5,3,247,369,391,49,6,88,125,62,13.3,16.8,
DaQuan Jeffries,NYK,1,1,0,4,2,2,0,0,1,0,0,0.0,0.0,
Damion Lee,PHX,6,4,2,73,66,46,4,1,6,9,5,6.1,7.6,
Danny Green,CLE,4,1,3,40,35,18,1,0,1,3,1,2.9,2.9,
Danuel House Jr.,PHI,3,2,1,13,16,10,0,0,0,0,0,0.0,0.0,
Darius Garland,CLE,5,1,4,189,247,300,25,4,57,66,34,10.1,13.8,
David Duke Jr.,BKN,1,0,1,5,3,6,0,0,1,0,1,0.0,33.3,
David Roddy,MEM,6,2,4,76,74,67,4,0,10,10,4,5.4,5.4,
Davion Mitchell,SAC,7,3,4,140,142,164,12,1,27,33,15,8.5,10.6,
Day'Ron Sharpe,BKN,2,0,2,20,30,17,5,0,6,16,6,16.7,20.0,
De'Aaron Fox,SAC,7,3,4,270,368,486,54,3,101,144,64,14.7,17.4,
De'Andre Hunter,ATL,6,2,4,224,157,146,7,2,12,18,9,4.5,5.7,
De'Anthony Melton,PHI,6,5,1,144,172,173,12,2,18,37,16,7.0,9.3,
DeAndre Jordan,DEN,3,2,1,10,8,7,1,0,1,3,1,12.5,12.5,
Dean Wade,CLE,2,0,2,11,12,7,0,1,1,0,1,0.0,8.3,
Deandre Ayton,PHX,7,4,3,235,245,166,9,1,12,22,10,3.7,4.1,
Dejounte Murray,ATL,5,1,4,190,230,269,34,2,56,79,36,14.8,15.7,
Dennis Schroder,LAL,8,5,3,183,231,234,22,2,35,54,25,9.5,10.8,
Derrick Rose,NYK,1,1,0,3,5,9,1,0,1,2,1,20.0,20.0,
Derrick White,BOS,8,5,3,252,260,270,25,6,39,62,32,9.6,12.3,
Desmond Bane,MEM,6,2,4,231,295,327,19,8,48,50,28,6.4,9.5,
Devin Booker,PHX,7,4,3,301,282,424,46,9,72,110,58,16.3,20.6,
Dewayne Dedmon,PHI,1,0,1,5,2,2,0,0,0,0,0,0.0,0.0,
Dillon Brooks,MEM,6,2,4,167,137,155,11,0,21,28,12,8.0,8.8,
Domantas Sabonis,SAC,7,3,4,243,379,303,33,4,70,85,40,8.7,10.6,
Donovan Mitchell,CLE,5,1,4,207,204,295,36,8,51,89,47,17.6,23.0,
Donte DiVincenzo,GSW,9,5,4,160,278,235,29,4,47,66,33,10.4,11.9,
Dorian Finney-Smith,BKN,4,0,4,101,87,66,3,2,9,7,5,3.4,5.7,
Draymond Green,GSW,8,4,4,253,502,392,64,3,125,161,71,12.7,14.1,
Duncan Robinson,MIA,7,5,2,134,112,111,10,3,12,26,14,8.9,12.5,
Edmond Sumner,BKN,1,0,1,4,7,6,1,1,2,2,2,14.3,28.6,
Eric Gordon,LAC,5,1,4,149,126,133,13,2,27,33,17,10.3,13.5,
Evan Mobley,CLE,5,1,4,188,234,150,10,0,19,23,10,4.3,4.3,
Furkan Korkmaz,PHI,2,1,1,7,6,5,0,0,1,0,0,0.0,0.0,
