PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Aaron Gordon,DEN,3,87,6,2,4,50.0,2,3,66.7,75.0
Al Horford,BOS,3,99,18,6,15,40.0,6,14,42.9,60.0
Alex Len,SAC,3,29,0,0,0,-,-,-,-,-
Amir Coffey,LAC,1,1,0,0,0,-,-,-,-,-
Andrew Wiggins,GSW,3,101,12,4,19,21.1,4,18,22.2,31.6
Anthony Davis,LAL,3,113,10,4,6,66.7,2,4,50.0,83.3
Anthony Edwards,MIN,3,113,9,3,10,30.0,3,10,30.0,45.0
Anthony Lamb,GSW,1,7,0,0,0,-,0,0,-,-
Austin Reaves,LAL,3,103,12,4,10,40.0,4,10,40.0,60.0
Austin Rivers,MIN,2,22,3,1,1,100,1,1,100,150.0
Bam Adebayo,MIA,3,88,10,5,9,55.6,-,-,-,55.6
Bismack Biyombo,PHX,4,42,0,0,0,-,-,-,-,-
Bobby Portis,MIL,3,78,14,5,15,33.3,4,13,30.8,46.7
Bogdan Bogdanovic,ATL,3,83,24,8,13,61.5,8,13,61.5,92.3
Bones Hyland,LAC,4,67,9,3,12,25.0,3,12,25.0,37.5
Brandon Boston Jr.,LAC,1,1,0,0,0,-,-,-,-,-
Brook Lopez,MIL,3,99,6,3,10,30.0,0,5,0.0,30.0
Bruce Brown,DEN,3,79,3,1,5,20.0,1,5,20.0,30.0
Caleb Martin,MIA,3,87,14,5,11,45.5,4,10,40.0,63.6
Cam Thomas,BKN,2,16,0,0,0,-,0,0,-,-
Cameron Johnson,BKN,4,152,33,11,25,44.0,11,24,45.8,66.0
Caris LeVert,CLE,3,93,18,6,14,42.9,6,14,42.9,64.3
Cedi Osman,CLE,3,58,9,3,11,27.3,3,11,27.3,40.9
Chimezie Metu,SAC,1,3,0,0,0,-,-,-,-,-
Chris Paul,PHX,4,155,8,3,9,33.3,2,8,25.0,44.4
Christian Braun,DEN,3,41,3,1,2,50.0,1,2,50.0,75.0
Clint Capela,ATL,3,73,0,0,0,-,-,-,-,-
Cody Zeller,MIA,2,19,0,0,0,-,-,-,-,-
D'Angelo Russell,LAL,3,97,9,3,11,27.3,3,11,27.3,40.9
DaQuan Jeffries,NYK,1,4,0,0,0,-,-,-,-,-
Damion Lee,PHX,3,28,6,2,4,50.0,2,4,50.0,75.0
Danny Green,CLE,2,32,0,0,3,0.0,0,3,0.0,0.0
Danuel House Jr.,PHI,2,5,0,0,0,-,0,0,-,-
Darius Garland,CLE,3,112,18,6,16,37.5,6,14,42.9,56.3
David Duke Jr.,BKN,1,5,0,0,1,0.0,0,1,0.0,0.0
David Roddy,MEM,3,43,9,3,10,30.0,3,10,30.0,45.0
Davion Mitchell,SAC,3,68,12,4,12,33.3,4,12,33.3,50.0
Day'Ron Sharpe,BKN,2,20,0,0,0,-,-,-,-,-
De'Aaron Fox,SAC,3,114,9,3,12,25.0,3,12,25.0,37.5
De'Andre Hunter,ATL,3,103,10,4,17,23.5,2,15,13.3,29.4
De'Anthony Melton,PHI,4,102,26,9,20,45.0,8,19,42.1,65.0
DeAndre Jordan,DEN,2,6,0,0,0,-,-,-,-,-
Dean Wade,CLE,2,11,0,0,1,0.0,0,1,0.0,0.0
Deandre Ayton,PHX,4,136,20,10,17,58.8,-,-,-,58.8
Dejounte Murray,ATL,3,113,9,3,12,25.0,3,11,27.3,37.5
Dennis Schroder,LAL,3,60,3,1,4,25.0,1,3,33.3,37.5
Derrick Rose,NYK,1,3,0,0,1,0.0,0,1,0.0,0.0
Derrick White,BOS,3,102,15,5,10,50.0,5,10,50.0,75.0
Desmond Bane,MEM,3,105,18,6,13,46.2,6,12,50.0,69.2
Devin Booker,PHX,4,174,14,5,9,55.6,4,8,50.0,77.8
Dillon Brooks,MEM,3,71,9,3,14,21.4,3,13,23.1,32.1
Domantas Sabonis,SAC,3,109,4,2,5,40.0,0,2,0.0,40.0
Donovan Mitchell,CLE,3,121,12,4,6,66.7,4,6,66.7,100
Donte DiVincenzo,GSW,3,59,9,3,8,37.5,3,8,37.5,56.3
Dorian Finney-Smith,BKN,4,101,18,6,17,35.3,6,16,37.5,52.9
Draymond Green,GSW,2,65,3,1,3,33.3,1,3,33.3,50.0
Duncan Robinson,MIA,3,56,18,6,8,75.0,6,8,75.0,112.5
Edmond Sumner,BKN,1,4,0,0,0,-,-,-,-,-
Eric Gordon,LAC,4,128,21,7,20,35.0,7,20,35.0,52.5
Evan Mobley,CLE,3,113,2,1,2,50.0,0,1,0.0,50.0
Furkan Korkmaz,PHI,1,2,0,0,0,-,-,-,-,-
Gabe Vincent,MIA,3,72,9,3,4,75.0,3,4,75.0,112.5
