PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
Aaron Gordon,DEN,9,6,3,35.1,14.0,1.9,42.9,2.6,38.1,1.8,43.8,6.1,57.1,1.1,60.0,1.1,66.7,55.0
Aaron Holiday,ATL,1,1,0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,BOS,10,6,4,31.8,7.8,0.2,50.0,5.4,34.0,0.0,0.0,1.7,77.8,0.0,0.0,0.0,0.0,56.7
Alex Len,SAC,7,3,4,7.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.3,77.8,0.0,0.0,1.1,100.0,77.8
Amir Coffey,LAC,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,GSW,11,5,6,34.4,16.9,2.5,40.0,3.8,29.2,3.2,38.1,4.4,76.7,0.9,66.7,0.7,80.0,51.3
Anthony Davis,LAL,10,7,3,37.1,21.4,2.0,33.3,3.1,42.4,2.2,40.7,9.3,63.9,1.9,29.2,4.5,56.7,53.5
Anthony Edwards,MIN,5,1,4,39.7,31.6,10.4,48.6,2.4,23.5,10.6,44.7,0.6,100.0,2.0,80.0,0.2,0.0,54.8
Anthony Lamb,GSW,4,2,2,6.3,0.8,0.0,0.0,0.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
Austin Reaves,LAL,10,7,3,34.6,14.7,4.7,41.0,4.2,38.9,4.2,38.0,0.6,100.0,0.0,0.0,0.2,33.3,49.6
Austin Rivers,MIN,4,1,3,11.6,2.5,0.5,100.0,1.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5
Bam Adebayo,MIA,9,7,2,34.2,17.6,2.1,40.0,2.2,43.5,2.4,34.4,5.4,50.0,1.6,60.0,4.7,48.8,49.3
Bismack Biyombo,PHX,7,4,3,10.1,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,50.0,0.0,0.0,1.1,50.0,53.3
Blake Griffin,BOS,1,0,1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Portis,MIL,5,1,4,21.5,9.6,1.0,66.7,3.4,28.6,0.8,40.0,2.0,66.7,1.6,80.0,0.8,100.0,54.9
Bogdan Bogdanovic,ATL,6,2,4,26.1,13.3,3.3,83.3,6.5,54.2,2.3,35.3,0.3,50.0,0.0,0.0,0.0,0.0,69.4
Bones Hyland,LAC,5,1,4,16.5,8.6,2.4,40.0,1.8,21.4,2.0,33.3,0.4,25.0,0.0,0.0,0.0,0.0,39.8
Brandon Boston Jr.,LAC,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brook Lopez,MIL,5,1,4,36.3,19.0,0.4,50.0,4.8,37.5,2.2,62.5,11.4,67.6,1.6,80.0,4.0,75.0,63.4
Bruce Brown,DEN,9,6,3,25.5,10.7,4.2,65.2,1.0,20.0,1.2,45.5,1.2,60.0,0.0,0.0,0.4,66.7,55.7
Caleb Martin,MIA,9,7,2,27.8,11.1,2.9,75.0,3.9,42.9,1.9,41.2,1.2,50.0,0.0,0.0,0.1,0.0,64.1
Cam Thomas,BKN,2,0,2,7.8,3.0,2.0,66.7,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9
Cameron Johnson,BKN,4,0,4,38.0,18.5,5.0,53.3,8.3,44.0,3.8,63.6,0.0,0.0,0.0,0.0,0.0,0.0,61.8
Cameron Payne,PHX,5,3,2,16.0,3.8,0.8,33.3,0.6,10.0,2.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,35.2
Caris LeVert,CLE,5,1,4,33.9,15.0,4.8,50.0,6.0,40.0,3.4,35.0,0.0,0.0,0.0,0.0,0.4,100.0,53.2
Cedi Osman,CLE,5,1,4,18.6,6.0,1.2,66.7,3.6,33.3,0.0,0.0,0.4,100.0,0.0,0.0,0.4,100.0,48.0
Chimezie Metu,SAC,3,1,2,2.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Paul,PHX,7,4,3,35.8,12.4,4.6,43.2,2.9,38.9,7.9,44.1,0.3,33.3,0.0,0.0,0.0,0.0,46.7
Christian Braun,DEN,9,6,3,12.4,2.6,0.0,0.0,0.7,50.0,0.0,0.0,0.3,33.3,0.2,100.0,0.0,0.0,52.6
Clint Capela,ATL,6,2,4,25.2,8.3,0.0,0.0,0.0,0.0,0.0,0.0,6.7,59.4,0.3,50.0,0.3,25.0,60.5
Cody Zeller,MIA,8,6,2,9.1,2.6,0.0,0.0,0.0,0.0,0.3,50.0,1.8,70.0,0.0,0.0,0.8,60.0,66.7
D'Angelo Russell,LAL,10,7,3,30.8,15.4,4.2,61.3,4.7,40.0,5.9,38.2,0.6,60.0,0.2,50.0,0.4,50.0,51.1
DaQuan Jeffries,NYK,2,1,1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damion Lee,PHX,6,4,2,12.2,1.8,0.3,0.0,1.5,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Danny Green,CLE,4,1,3,9.9,0.8,0.0,0.0,0.8,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Danuel House Jr.,PHI,4,2,2,3.4,0.8,0.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7
Darius Garland,CLE,5,1,4,37.7,20.6,7.8,42.9,4.8,33.3,7.2,50.0,0.4,100.0,0.0,0.0,0.0,0.0,51.3
David Duke Jr.,BKN,1,0,1,4.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,33.3
David Roddy,MEM,6,2,4,12.6,3.8,0.0,0.0,3.0,33.3,0.0,0.0,0.5,33.3,0.0,0.0,0.5,100.0,37.9
Davion Mitchell,SAC,7,3,4,20.0,7.1,2.0,66.7,3.0,33.3,1.4,35.7,0.3,100.0,0.0,0.0,0.0,0.0,48.9
Day'Ron Sharpe,BKN,2,0,2,9.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,66.7
De'Aaron Fox,SAC,7,3,4,38.5,27.4,10.1,47.5,4.6,42.3,12.1,39.4,0.0,0.0,0.0,0.0,0.6,66.7,48.8
De'Andre Hunter,ATL,6,2,4,37.4,16.7,2.8,33.3,6.5,42.4,4.8,46.4,1.3,100.0,0.0,0.0,1.2,75.0,54.1
De'Anthony Melton,PHI,8,6,2,24.8,9.5,1.0,13.3,6.3,51.5,0.8,25.0,0.8,100.0,0.0,0.0,0.3,100.0,56.5
DeAndre Jordan,DEN,3,2,1,3.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,66.7,0.0,0.0,0.3,0.0,66.7
Dean Wade,CLE,2,0,2,5.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,PHX,9,6,3,32.0,13.3,0.0,0.0,3.3,50.0,0.2,12.5,8.7,57.4,0.7,50.0,3.4,46.7,54.5
Dejounte Murray,ATL,5,1,4,38.1,23.0,9.2,48.7,4.2,31.8,9.8,44.7,1.2,75.0,0.0,0.0,0.0,0.0,51.5
Dennis Schroder,LAL,10,7,3,23.8,7.3,2.5,52.4,0.9,17.6,2.6,54.5,0.2,100.0,0.0,0.0,0.0,0.0,45.5
Derrick Rose,NYK,1,1,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick White,BOS,10,6,4,31.5,14.8,3.5,51.9,4.2,36.8,3.9,55.6,1.0,83.3,0.0,0.0,0.6,100.0,63.0
Desmond Bane,MEM,6,2,4,38.6,23.5,5.5,33.3,6.7,45.2,5.3,36.8,2.2,75.0,0.0,0.0,1.0,75.0,49.1
Devin Booker,PHX,9,6,3,42.5,36.8,14.6,62.9,3.4,73.3,15.9,53.4,0.8,50.0,0.2,100.0,0.8,100.0,67.9
Dewayne Dedmon,PHI,1,0,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dillon Brooks,MEM,6,2,4,27.9,10.5,2.8,41.2,4.0,24.2,2.3,31.6,0.0,0.0,0.0,0.0,0.0,0.0,37.7
Domantas Sabonis,SAC,7,3,4,34.7,16.4,2.6,60.0,1.9,40.0,1.1,33.3,6.6,48.7,1.6,40.0,4.4,50.0,50.0
Donovan Mitchell,CLE,5,1,4,41.3,23.2,7.2,55.6,4.6,50.0,9.2,34.5,0.2,0.0,0.0,0.0,0.8,66.7,49.5
Donte DiVincenzo,GSW,11,5,6,17.9,5.0,0.5,50.0,3.0,33.3,0.0,0.0,0.4,40.0,0.0,0.0,0.2,0.0,46.1
Dorian Finney-Smith,BKN,4,0,4,25.1,6.3,0.5,33.3,4.5,35.3,0.8,33.3,0.0,0.0,0.0,0.0,0.0,0.0,54.3
Draymond Green,GSW,10,4,6,31.3,8.4,1.8,46.7,1.3,27.8,0.6,60.0,1.8,35.7,0.2,0.0,0.8,57.1,45.1
Duncan Robinson,MIA,9,7,2,17.6,7.2,0.2,14.3,4.3,37.1,2.2,46.7,0.2,100.0,0.0,0.0,0.0,0.0,58.3
Edmond Sumner,BKN,1,0,1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
