PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
Joe Harris,BKN,4,0,4,10.9,1.8,0.5,100.0,0.8,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2
Joe Ingles,MIL,5,1,4,17.8,6.8,0.8,100.0,4.8,53.3,1.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,73.9
Joel Embiid,PHI,6,4,2,36.6,23.2,6.5,56.5,3.3,40.9,2.7,28.6,5.2,71.4,3.7,47.1,4.2,84.6,46.2
John Collins,ATL,6,2,4,27.4,11.3,0.5,20.0,6.2,38.2,0.3,25.0,2.7,72.7,1.3,80.0,0.3,33.3,52.5
John Konchar,MEM,5,2,3,9.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,40.0,0.0,0.0,0.0,0.0,22.2
Jonathan Kuminga,GSW,8,4,4,6.9,3.4,1.4,80.0,0.8,40.0,0.3,25.0,0.8,50.0,0.0,0.0,0.3,100.0,52.4
Jordan McLaughlin,MIN,2,1,1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Poole,GSW,11,5,6,21.6,10.5,3.0,38.5,2.7,29.4,1.9,24.2,0.7,66.7,0.0,0.0,0.2,0.0,41.0
Josh Hart,NYK,9,5,4,34.5,11.2,1.6,37.5,2.9,33.3,0.8,27.3,2.2,83.3,0.0,0.0,0.0,0.0,53.0
Josh Minott,MIN,1,0,1,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Okogie,PHX,9,6,3,18.6,4.4,0.3,25.0,0.9,21.4,0.0,0.0,1.4,55.6,0.0,0.0,0.0,0.0,44.1
