Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch
Aaron Gordon,DEN,5,4,1,163,67,213,112,11,2.95,2.17,0.315,8,4,33,0.5,1.0,1.091
Aaron Holiday,ATL,1,1,0,4,0,7,1,1,7.09,7.71,0.0,0,0,0,0.0,0.0,0.0
Al Horford,BOS,5,3,2,166,25,223,108,6,1.54,0.48,0.112,4,0,9,0.0,0.0,0.444
Alex Len,SAC,5,2,3,51,19,69,34,1,1.26,0.22,0.275,6,0,16,1.333,0.0,1.0
Amir Coffey,LAC,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Andrew Wiggins,GSW,5,3,2,178,97,272,162,11,2.42,1.45,0.357,4,7,19,1.5,0.857,1.316
Anthony Davis,LAL,5,3,2,190,109,324,185,11,2.06,0.78,0.336,19,31,53,0.947,0.355,0.811
Anthony Edwards,MIN,5,1,4,199,158,384,182,29,4.49,3.98,0.411,2,8,2,0.5,1.25,1.5
Anthony Lamb,GSW,1,1,0,7,0,14,7,1,2.33,1.07,0.0,0,0,0,0.0,0.0,0.0
Austin Reaves,LAL,5,3,2,185,88,303,147,18,3.65,3.17,0.29,4,0,7,0.0,0.0,0.571
Austin Rivers,MIN,4,1,3,46,10,48,27,2,2.37,1.77,0.208,0,0,1,0.0,0.0,0.0
Bam Adebayo,MIA,5,4,1,158,87,303,158,16,3.2,1.98,0.287,27,10,31,0.741,0.5,0.548
Bismack Biyombo,PHX,5,4,1,55,23,76,38,2,1.53,0.32,0.303,8,0,22,0.75,0.0,0.773
Blake Griffin,BOS,1,0,1,6,0,5,4,0,2.57,0.8,0.0,1,0,2,0.0,0.0,0.0
Bobby Portis,MIL,5,1,4,107,48,178,87,4,1.44,0.52,0.27,5,8,12,0.8,1.0,0.833
Bogdan Bogdanovic,ATL,5,2,3,137,68,183,104,7,2.35,1.62,0.372,0,0,3,0.0,0.0,0.667
Bones Hyland,LAC,5,1,4,82,43,165,67,11,3.93,3.34,0.261,0,0,4,0.0,0.0,0.5
Brandon Boston Jr.,LAC,1,0,1,1,0,2,1,0,6.18,5.5,0.0,0,0,0,0.0,0.0,0.0
Brook Lopez,MIL,5,1,4,182,95,184,133,4,1.34,0.42,0.516,20,8,52,1.0,1.0,1.096
Bruce Brown,DEN,5,4,1,135,57,240,96,18,4.42,3.87,0.238,3,0,8,1.333,0.0,0.75
Caleb Martin,MIA,5,4,1,133,56,174,67,10,3.33,2.48,0.322,1,0,7,1.0,0.0,1.286
Cam Thomas,BKN,2,0,2,16,6,21,13,2,4.63,4.19,0.286,1,0,0,0.0,0.0,0.0
Cameron Johnson,BKN,4,0,4,152,74,197,144,8,2.55,1.93,0.376,0,0,5,0.0,0.0,0.0
Cameron Payne,PHX,1,1,0,3,0,4,3,0,0.8,0.25,0.0,0,0,0,0.0,0.0,0.0
Caris LeVert,CLE,5,1,4,170,75,234,124,15,3.78,3.26,0.321,2,0,0,1.0,0.0,0.0
Cedi Osman,CLE,5,1,4,93,30,126,73,4,2.0,1.14,0.238,1,0,2,2.0,0.0,1.0
Chimezie Metu,SAC,1,0,1,3,1,4,3,0,1.79,0.75,0.25,0,0,1,0.0,0.0,0.0
Chris Paul,PHX,5,4,1,192,68,364,136,32,5.31,4.45,0.187,1,0,4,0.0,0.0,0.5
Christian Braun,DEN,5,4,1,63,17,54,28,2,1.77,0.89,0.315,0,0,4,0.0,0.0,0.0
