PLAYER,TEAM,GP,W,L,MIN,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance
Aaron Gordon,DEN,7,6,1,241,25,5,20.0,43,58.1,3,62.5,8.2
Al Horford,BOS,8,5,3,249,46,14,30.4,85,54.1,10,61.3,5.6
Alex Len,SAC,6,2,4,54,13,4,30.8,23,56.5,3,65.0,4.9
Andrew Wiggins,GSW,9,5,4,311,34,14,41.2,75,45.3,9,51.5,5.7
Anthony Davis,LAL,8,5,3,295,89,42,47.2,137,65.0,15,73.0,4.1
Anthony Edwards,MIN,5,1,4,199,22,5,22.7,40,55.0,4,61.1,6.6
Anthony Lamb,GSW,2,1,1,12,4,1,25.0,4,100.0,0,100.0,7.3
Austin Reaves,LAL,8,5,3,282,30,3,10.0,50,60.0,3,63.8,11.1
Austin Rivers,MIN,3,1,2,41,4,1,25.0,9,44.4,2,57.1,6.6
Bam Adebayo,MIA,7,5,2,233,43,12,27.9,66,65.2,6,71.7,5.5
Bismack Biyombo,PHX,6,4,2,64,16,7,43.8,28,57.1,2,61.5,4.0
Blake Griffin,BOS,1,0,1,6,1,0,0.0,5,20.0,0,20.0,5.1
Bobby Portis,MIL,5,1,4,107,31,8,25.8,36,86.1,0,86.1,4.7
Bogdan Bogdanovic,ATL,5,2,3,137,16,2,12.5,27,59.3,2,64.0,7.0
Bones Hyland,LAC,3,1,2,49,3,0,0.0,10,30.0,0,30.0,8.8
Brook Lopez,MIL,5,1,4,182,18,6,33.3,37,48.6,2,51.4,7.5
Bruce Brown,DEN,7,6,1,184,23,3,13.0,42,54.8,4,60.5,8.3
Caleb Martin,MIA,7,5,2,202,33,4,12.1,56,58.9,5,64.7,7.2
Cam Thomas,BKN,1,0,1,11,1,0,0.0,4,25.0,1,33.3,18.5
Cameron Johnson,BKN,4,0,4,152,20,7,35.0,36,55.6,2,58.8,6.3
Cameron Payne,PHX,2,0,2,22,4,1,25.0,4,100.0,0,100.0,8.3
Caris LeVert,CLE,5,1,4,170,19,3,15.8,37,51.4,2,54.3,5.3
Cedi Osman,CLE,5,1,4,93,14,2,14.3,19,73.7,1,77.8,6.6
Chimezie Metu,SAC,1,0,1,3,0,0,0.0,0,0.0,0,0.0,0.0
Chris Paul,PHX,6,4,2,218,30,8,26.7,51,58.8,3,62.5,7.2
Christian Braun,DEN,6,5,1,79,12,4,33.3,19,63.2,3,75.0,5.4
Clint Capela,ATL,6,2,4,151,35,9,25.7,57,61.4,5,67.3,4.9
Cody Zeller,MIA,6,4,2,53,12,2,16.7,20,60.0,3,70.6,5.3
D'Angelo Russell,LAL,8,5,3,247,19,3,15.8,33,57.6,5,67.9,9.1
Damion Lee,PHX,4,2,2,58,6,3,50.0,8,75.0,0,75.0,5.6
Danny Green,CLE,3,1,2,36,5,0,0.0,9,55.6,1,62.5,5.6
Danuel House Jr.,PHI,3,2,1,13,3,0,0.0,8,37.5,1,42.9,8.2
Darius Garland,CLE,4,1,3,145,9,2,22.2,20,45.0,4,56.3,10.0
David Roddy,MEM,5,1,4,74,13,4,30.8,20,65.0,0,65.0,5.0
Davion Mitchell,SAC,6,3,3,131,6,0,0.0,12,50.0,1,54.5,7.7
Day'Ron Sharpe,BKN,1,0,1,17,4,1,25.0,7,57.1,0,57.1,2.5
De'Aaron Fox,SAC,7,3,4,270,26,5,19.2,45,57.8,2,60.5,7.8
De'Andre Hunter,ATL,6,2,4,224,27,3,11.1,45,60.0,4,65.9,7.3
De'Anthony Melton,PHI,6,5,1,144,5,1,20.0,15,33.3,3,41.7,6.8
DeAndre Jordan,DEN,1,0,1,4,4,3,75.0,5,80.0,0,80.0,2.5
Dean Wade,CLE,2,0,2,11,3,1,33.3,4,75.0,1,100.0,4.4
Deandre Ayton,PHX,7,4,3,235,51,14,27.5,78,65.4,6,70.8,4.2
Dejounte Murray,ATL,5,1,4,190,27,4,14.8,42,64.3,5,73.0,7.2
Dennis Schroder,LAL,7,4,3,152,11,1,9.1,17,64.7,2,73.3,9.9
Derrick White,BOS,8,5,3,252,23,7,30.4,41,56.1,2,59.0,8.7
Desmond Bane,MEM,6,2,4,231,29,3,10.3,41,70.7,4,78.4,6.5
Devin Booker,PHX,7,4,3,300,25,4,16.0,49,51.0,5,56.8,7.8
Dewayne Dedmon,PHI,1,0,1,5,1,1,100.0,1,100.0,0,100.0,10.3
Dillon Brooks,MEM,6,2,4,167,15,2,13.3,26,57.7,3,65.2,6.8
Domantas Sabonis,SAC,7,3,4,243,46,16,34.8,94,48.9,8,53.5,4.3
Donovan Mitchell,CLE,5,1,4,207,22,7,31.8,37,59.5,3,64.7,10.0
Donte DiVincenzo,GSW,8,4,4,142,19,2,10.5,32,59.4,1,61.3,7.3
Dorian Finney-Smith,BKN,4,0,4,101,12,4,33.3,22,54.5,2,60.0,5.2
Draymond Green,GSW,8,4,4,253,42,16,38.1,77,54.5,7,60.0,5.5
Duncan Robinson,MIA,6,4,2,122,15,4,26.7,23,65.2,2,71.4,6.5
Eric Gordon,LAC,4,1,3,128,6,1,16.7,10,60.0,1,66.7,8.2
Evan Mobley,CLE,5,1,4,188,35,10,28.6,63,55.6,4,59.3,4.5
Gabe Vincent,MIA,5,4,1,154,6,1,16.7,16,37.5,1,40.0,10.3
Gary Payton II,GSW,7,3,4,110,16,7,43.8,31,51.6,2,55.2,7.5
Georges Niang,PHI,3,3,0,46,4,0,0.0,7,57.1,1,66.7,4.3
Giannis Antetokounmpo,MIL,3,0,3,91,25,4,16.0,36,69.4,4,78.1,5.0
Grant Williams,BOS,3,2,1,64,5,1,20.0,7,71.4,1,83.3,6.5
Grayson Allen,MIL,4,1,3,116,11,2,18.2,14,78.6,0,78.6,6.1
Harrison Barnes,SAC,6,3,3,183,14,3,21.4,19,73.7,1,77.8,8.1
Haywood Highsmith,MIA,4,2,2,46,6,3,50.0,13,46.2,1,50.0,5.7
Immanuel Quickley,NYK,7,5,2,155,11,2,18.2,19,57.9,1,61.1,8.1
Isaac Okoro,CLE,4,1,3,57,4,0,0.0,7,57.1,0,57.1,10.4
Isaiah Hartenstein,NYK,7,5,2,139,22,6,27.3,41,53.7,6,62.9,6.5
Ish Smith,DEN,1,1,0,4,1,0,0.0,2,50.0,1,100.0,10.6
Ish Wainright,PHX,1,0,1,7,1,0,0.0,1,100.0,0,100.0,10.3
Ivica Zubac,LAC,5,1,4,130,32,11,34.4,50,64.0,2,66.7,3.6
Ja Morant,MEM,5,1,4,187,26,10,38.5,41,63.4,3,68.4,6.7
JaMychal Green,GSW,3,2,1,26,5,3,60.0,6,83.3,0,83.3,4.8
Jae Crowder,MIL,2,1,1,29,3,1,33.3,4,75.0,0,75.0,6.4
Jalen Brunson,NYK,7,5,2,268,24,1,4.2,48,50.0,9,61.5,7.8
Jalen Johnson,ATL,5,2,3,51,13,0,0.0,16,81.3,2,92.9,3.9
Jalen McDaniels,PHI,6,5,1,89,11,1,9.1,16,68.8,1,73.3,5.8
Jamal Murray,DEN,7,6,1,268,34,8,23.5,40,85.0,1,87.2,7.8
James Harden,PHI,6,5,1,216,30,6,20.0,47,63.8,4,69.8,6.9
Jaren Jackson Jr.,MEM,6,2,4,220,27,4,14.8,47,57.4,4,62.8,5.9
Jarred Vanderbilt,LAL,8,5,3,165,19,4,21.1,33,57.6,6,70.4,6.8
Jarrett Allen,CLE,5,1,4,191,22,11,50.0,53,41.5,8,48.9,4.4
Jaylen Brown,BOS,8,5,3,298,33,3,9.1,54,61.1,4,66.0,7.5
Jaylen Nowell,MIN,3,1,2,38,1,0,0.0,3,33.3,0,33.3,22.7
Jayson Tatum,BOS,8,5,3,300,71,11,15.5,102,69.6,6,74.0,5.8
Jeff Green,DEN,6,5,1,120,12,1,8.3,18,66.7,1,70.6,7.0
Jevon Carter,MIL,2,1,1,37,4,0,0.0,4,100.0,0,100.0,8.0
Jimmy Butler,MIA,6,5,1,230,28,9,32.1,46,60.9,4,66.7,7.1
Jock Landale,PHX,3,0,3,23,0,0,0.0,6,0.0,0,0.0,0.0
Joe Harris,BKN,3,0,3,40,5,1,20.0,12,41.7,2,50.0,5.0
Joe Ingles,MIL,2,1,1,43,5,0,0.0,6,83.3,0,83.3,5.9
Joel Embiid,PHI,4,3,1,134,33,11,33.3,53,62.3,9,75.0,5.1
John Collins,ATL,6,2,4,164,19,4,21.1,38,50.0,2,52.8,4.1
John Konchar,MEM,4,2,2,48,6,0,0.0,7,85.7,0,85.7,4.9
Jonathan Kuminga,GSW,5,3,2,33,3,1,33.3,6,50.0,0,50.0,6.3
Jordan McLaughlin,MIN,1,0,1,10,2,0,0.0,3,66.7,1,100.0,5.9
Jordan Poole,GSW,7,5,2,149,17,1,5.9,23,73.9,1,77.3,7.6
Josh Hart,NYK,7,5,2,251,43,14,32.6,74,58.1,7,64.2,6.2
Josh Okogie,PHX,6,4,2,119,9,0,0.0,20,45.0,1,47.4,6.5
Jrue Holiday,MIL,5,1,4,191,29,8,27.6,47,61.7,6,70.7,7.2
Julius Randle,NYK,6,5,1,181,36,7,19.4,51,70.6,5,78.3,4.2
Karl-Anthony Towns,MIN,5,1,4,180,45,8,17.8,59,76.3,1,77.6,6.0
Kawhi Leonard,LAC,2,1,1,80,10,4,40.0,16,62.5,2,71.4,5.8
Keegan Murray,SAC,7,3,4,194,29,7,24.1,45,64.4,2,67.4,5.8
Kenneth Lofton Jr.,MEM,1,0,1,10,2,0,0.0,3,66.7,1,100.0,6.0
Kentavious Caldwell-Pope,DEN,7,6,1,234,16,2,12.5,33,48.5,2,51.6,8.3
Kessler Edwards,SAC,1,0,1,3,1,0,0.0,1,100.0,0,100.0,5.1
Kevin Durant,PHX,7,4,3,300,55,18,32.7,79,69.6,3,72.4,6.5
Kevin Huerter,SAC,7,3,4,183,30,7,23.3,37,81.1,4,90.9,7.2
Kevin Love,MIA,7,5,2,148,44,9,20.5,71,62.0,6,67.7,4.3
Kevon Looney,GSW,9,5,4,252,90,38,42.2,131,68.7,9,73.8,4.3
Khris Middleton,MIL,5,1,4,173,25,8,32.0,34,73.5,1,75.8,8.8
Klay Thompson,GSW,9,5,4,319,33,5,15.2,68,48.5,7,54.1,7.8
Kyle Anderson,MIN,4,1,3,104,13,3,23.1,19,68.4,0,68.4,5.2
Kyle Lowry,MIA,7,5,2,167,19,5,26.3,46,41.3,8,50.0,7.9
Lamar Stevens,CLE,1,0,1,4,3,0,0.0,6,50.0,1,60.0,9.1
Landry Shamet,PHX,3,2,1,32,3,1,33.3,7,42.9,0,42.9,4.5
LeBron James,LAL,8,5,3,291,69,17,24.6,107,64.5,9,70.4,5.8
Lonnie Walker IV,LAL,1,1,0,9,1,0,0.0,1,100.0,0,100.0,11.3
Luke Kennard,MEM,5,2,3,107,15,3,20.0,27,55.6,1,57.7,6.6
Luke Kornet,BOS,1,1,0,5,3,0,0.0,3,100.0,0,100.0,4.4
Malcolm Brogdon,BOS,8,5,3,214,25,8,32.0,42,59.5,6,69.4,7.2
Malik Beasley,LAL,5,3,2,56,4,1,25.0,11,36.4,1,40.0,8.1
Malik Monk,SAC,7,3,4,205,32,3,9.4,41,78.0,1,80.0,7.1
MarJon Beauchamp,MIL,1,0,1,4,1,0,0.0,1,100.0,0,100.0,5.4
Marcus Morris Sr.,LAC,3,0,3,68,11,2,18.2,20,55.0,4,68.8,4.8
Marcus Smart,BOS,8,5,3,248,22,6,27.3,37,59.5,1,61.1,10.3
Mason Plumlee,LAC,5,1,4,91,18,6,33.3,32,56.3,1,58.1,4.8
Max Christie,LAL,2,1,1,18,4,1,25.0,8,50.0,3,80.0,5.1
Max Strus,MIA,5,3,2,156,16,6,37.5,27,59.3,3,66.7,5.9
Meyers Leonard,MIL,1,0,1,4,1,1,100.0,2,50.0,1,100.0,2.3
Michael Porter Jr.,DEN,7,6,1,234,45,11,24.4,55,81.8,2,84.9,6.0
Mikal Bridges,BKN,4,0,4,157,19,4,21.1,26,73.1,2,79.2,7.9
Mike Conley,MIN,5,1,4,183,11,2,18.2,23,47.8,3,55.0,10.7
Miles McBride,NYK,2,2,0,9,2,0,0.0,3,66.7,0,66.7,12.3
Mitchell Robinson,NYK,7,5,2,196,31,9,29.0,52,59.6,5,66.0,5.1
Mo Bamba,LAL,1,1,0,9,3,0,0.0,3,100.0,0,100.0,3.6
Montrezl Harrell,PHI,1,1,0,5,1,1,100.0,1,100.0,0,100.0,3.3
Moses Moody,GSW,5,2,3,72,13,3,23.1,21,61.9,3,72.2,6.1
Nathan Knight,MIN,1,0,1,5,0,0,0.0,0,0.0,0,0.0,0.0
Nic Claxton,BKN,4,0,4,117,27,9,33.3,48,56.3,5,62.8,5.1
Nickeil Alexander-Walker,MIN,5,1,4,148,9,1,11.1,16,56.3,2,64.3,12.0
Nicolas Batum,LAC,4,1,3,86,10,3,30.0,13,76.9,0,76.9,7.7
Nikola Jokic,DEN,7,6,1,259,65,25,38.5,110,59.1,9,64.4,3.9
Norman Powell,LAC,4,0,4,144,11,3,27.3,20,55.0,3,64.7,8.9
Obi Toppin,NYK,6,5,1,113,19,3,15.8,25,76.0,1,79.2,6.4
Onyeka Okongwu,ATL,6,2,4,131,19,5,26.3,33,57.6,2,61.3,3.9
P.J. Tucker,PHI,6,5,1,164,23,6,26.1,31,74.2,3,82.1,7.3
PJ Dozier,SAC,1,0,1,3,1,0,0.0,1,100.0,0,100.0,3.0
Pat Connaughton,MIL,4,1,3,88,16,2,12.5,20,80.0,1,84.2,3.8
Patrick Baldwin Jr.,GSW,1,1,0,3,1,1,100.0,1,100.0,0,100.0,5.8
