PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj,PLAYER_ID,TEAM_ID,FT_AST
AJ Green,MIL,3,1,2,65.0,65,57,6,0,9,16,6,0.092,0.092,1631260,1610612749,0.0
Aaron Gordon,DEN,3,1,2,116.0,68,83,2,1,10,7,4,0.029,0.059,203932,1610612743,1.0
Aaron Holiday,HOU,1,1,0,5.0,2,4,1,0,0,2,1,0.5,0.5,1628988,1610612745,0.0
Aaron Nesmith,IND,3,2,1,85.0,101,88,5,2,8,10,7,0.05,0.069,1630174,1610612754,0.0
Aaron Wiggins,OKC,3,3,0,40.0,28,44,2,0,5,5,2,0.071,0.071,1630598,1610612760,0.0
Ajay Mitchell,OKC,2,2,0,17.0,19,23,2,0,4,5,2,0.105,0.105,1642349,1610612760,0.0
Al Horford,BOS,3,2,1,92.0,100,81,7,3,13,20,10,0.07,0.1,201143,1610612738,0.0
Alec Burks,MIA,1,0,1,15.0,19,17,2,0,2,5,2,0.105,0.105,202692,1610612748,0.0
Alex Caruso,OKC,3,3,0,57.0,67,47,10,1,11,27,13,0.149,0.194,1627936,1610612760,2.0
Alex Len,LAL,2,0,2,4.0,9,6,0,0,3,0,0,0.0,0.0,203458,1610612747,0.0
Alperen Sengun,HOU,2,1,1,73.0,96,106,8,1,24,24,13,0.083,0.135,1630578,1610612745,4.0
Amen Thompson,HOU,2,1,1,56.0,47,47,9,1,19,23,10,0.191,0.213,1641708,1610612745,0.0
Andre Jackson Jr.,MIL,1,0,1,1.0,0,1,0,0,0,0,0,0.0,0.0,1641748,1610612749,
Andrew Nembhard,IND,3,2,1,93.0,129,144,16,0,24,41,16,0.124,0.124,1629614,1610612754,0.0
Andrew Wiggins,MIA,2,0,2,67.0,51,58,5,0,8,11,5,0.098,0.098,203952,1610612748,0.0
Anthony Black,ORL,3,1,2,50.0,67,73,0,1,3,0,1,0.0,0.015,1641710,1610612753,0.0
Anthony Edwards,MIN,3,2,1,118.0,139,180,17,6,29,44,23,0.122,0.165,1630162,1610612750,0.0
Ausar Thompson,DET,3,1,2,62.0,37,40,5,0,9,15,6,0.135,0.162,1641709,1610612765,1.0
Austin Reaves,LAL,3,1,2,121.0,150,166,12,1,23,36,16,0.08,0.107,1630559,1610612747,3.0
Bam Adebayo,MIA,2,0,2,81.0,100,97,12,0,14,30,12,0.12,0.12,1628389,1610612748,0.0
Ben Sheppard,IND,1,0,1,15.0,18,20,0,0,2,0,0,0.0,0.0,1641767,1610612754,0.0
Ben Simmons,LAC,3,2,1,30.0,49,38,4,1,8,10,5,0.082,0.102,1627732,1610612746,0.0
Bennedict Mathurin,IND,3,2,1,56.0,57,72,2,1,3,5,3,0.035,0.053,1631097,1610612754,0.0
Bobby Portis,MIL,3,1,2,89.0,100,85,4,0,10,12,4,0.04,0.04,1626171,1610612749,0.0
Bogdan Bogdanović,LAC,3,2,1,38.0,72,66,7,1,13,21,10,0.097,0.139,203992,1610612746,2.0
Brandin Podziemski,GSW,2,1,1,49.0,68,67,5,1,12,14,7,0.074,0.103,1641764,1610612744,1.0
Braxton Key,GSW,1,0,1,4.0,4,3,0,0,1,0,0,0.0,0.0,1630296,1610612744,0.0
Bronny James,LAL,2,0,2,4.0,4,5,0,0,1,0,0,0.0,0.0,1642355,1610612747,0.0
Brook Lopez,MIL,3,1,2,51.0,41,48,3,0,5,10,5,0.073,0.122,201572,1610612749,2.0
Buddy Hield,GSW,2,1,1,31.0,43,31,1,1,5,3,2,0.023,0.047,1627741,1610612744,0.0
Cade Cunningham,DET,3,1,2,124.0,209,232,26,3,52,69,32,0.124,0.153,1630595,1610612765,3.0
Caleb Houstan,ORL,3,1,2,27.0,13,13,1,0,1,2,1,0.077,0.077,1631216,1610612753,0.0
Cam Christie,LAC,1,1,0,4.0,3,2,0,0,2,2,1,0.0,0.333,1642353,1610612746,1.0
Cam Whitmore,HOU,1,1,0,2.0,1,1,0,0,0,0,0,0.0,0.0,1641715,1610612745,0.0
Cameron Payne,NYK,3,2,1,28.0,38,39,1,0,4,2,1,0.026,0.026,1626166,1610612752,0.0
Cason Wallace,OKC,3,3,0,61.0,52,43,9,1,9,21,10,0.173,0.192,1641717,1610612760,0.0
Chet Holmgren,OKC,3,3,0,87.0,78,61,2,1,5,6,3,0.026,0.038,1631096,1610612760,0.0
Chris Livingston,MIL,1,0,1,1.0,1,0,0,0,0,0,0,0.0,0.0,1641753,1610612749,0.0
Christian Braun,DEN,3,1,2,117.0,108,88,4,2,11,10,7,0.037,0.065,1631128,1610612743,1.0
Chuma Okeke,CLE,1,1,0,1.0,0,0,0,0,0,0,0,0.0,0.0,1629643,1610612739,
Cole Anthony,ORL,3,1,2,30.0,53,53,5,0,6,14,7,0.094,0.132,1630175,1610612753,2.0
Cory Joseph,ORL,3,1,2,77.0,111,103,6,0,14,15,6,0.054,0.054,202709,1610612753,0.0
Craig Porter Jr.,CLE,1,1,0,1.0,2,2,0,0,1,0,0,0.0,0.0,1641854,1610612739,0.0
Dalton Knecht,LAL,2,0,2,4.0,4,5,0,0,0,0,0,0.0,0.0,1642261,1610612747,0.0
Damian Lillard,MIL,2,1,1,69.0,83,96,12,2,20,30,14,0.145,0.169,203081,1610612749,0.0
Darius Garland,CLE,2,2,0,63.0,74,98,14,1,21,38,15,0.189,0.203,1629636,1610612739,0.0
Davion Mitchell,MIA,2,0,2,70.0,125,135,15,3,38,42,20,0.12,0.16,1630558,1610612748,2.0
De'Andre Hunter,CLE,2,2,0,39.0,34,29,1,1,2,4,3,0.029,0.088,1629631,1610612739,1.0
DeAndre Jordan,DEN,2,0,2,10.0,6,6,0,0,0,0,0,0.0,0.0,201599,1610612743,0.0
Dean Wade,CLE,2,2,0,12.0,10,2,0,0,1,0,0,0.0,0.0,1629731,1610612739,0.0
Dennis Schröder,DET,3,1,2,85.0,111,119,8,3,13,21,12,0.072,0.108,203471,1610612765,1.0
Derrick Jones Jr.,LAC,3,2,1,66.0,44,44,0,1,2,0,1,0.0,0.023,1627884,1610612746,0.0
Derrick White,BOS,3,2,1,114.0,141,142,12,1,16,33,15,0.085,0.106,1628401,1610612738,2.0
Desmond Bane,MEM,3,0,3,101.0,135,137,8,2,20,20,10,0.059,0.074,1630217,1610612763,0.0
Dillon Brooks,HOU,2,1,1,59.0,40,50,3,0,6,7,4,0.075,0.1,1628415,1610612745,1.0
Dillon Jones,OKC,1,1,0,8.0,10,11,0,0,2,0,0,0.0,0.0,1641794,1610612760,0.0
Donovan Mitchell,CLE,2,2,0,69.0,63,95,10,1,16,27,11,0.159,0.175,1628378,1610612739,0.0
Donte DiVincenzo,MIN,3,2,1,71.0,120,104,10,1,17,25,12,0.083,0.1,1628978,1610612750,1.0
Dorian Finney-Smith,LAL,3,1,2,100.0,83,59,5,1,8,14,6,0.06,0.072,1627827,1610612747,0.0
Draymond Green,GSW,2,1,1,67.0,106,79,4,0,15,10,4,0.038,0.038,203110,1610612744,0.0
Drew Eubanks,LAC,1,1,0,4.0,5,7,0,0,0,0,0,0.0,0.0,1629234,1610612746,0.0
Duncan Robinson,MIA,2,0,2,27.0,23,25,1,1,2,2,2,0.043,0.087,1629130,1610612748,0.0
Evan Mobley,CLE,2,2,0,68.0,72,43,2,1,4,5,3,0.028,0.042,1630596,1610612739,0.0
Franz Wagner,ORL,3,1,2,115.0,140,174,17,2,23,41,20,0.121,0.143,1630532,1610612753,1.0
Fred VanVleet,HOU,2,1,1,83.0,136,138,9,2,16,21,11,0.066,0.081,1627832,1610612745,0.0
Gabe Vincent,LAL,3,1,2,60.0,45,48,3,1,3,7,4,0.067,0.089,1629216,1610612747,0.0
Gary Harris,ORL,3,1,2,49.0,28,15,2,0,3,5,2,0.071,0.071,203914,1610612753,0.0
Gary Payton II,GSW,2,1,1,28.0,36,32,2,1,6,6,4,0.056,0.111,1627780,1610612744,1.0
Gary Trent Jr.,MIL,3,1,2,91.0,28,49,3,0,6,9,4,0.107,0.143,1629018,1610612749,1.0
Giannis Antetokounmpo,MIL,3,1,2,110.0,159,176,14,4,37,37,18,0.088,0.113,203507,1610612749,0.0
Goga Bitadze,ORL,2,0,2,9.0,10,8,1,0,2,2,1,0.1,0.1,1629048,1610612753,0.0
Gui Santos,GSW,2,1,1,17.0,23,24,1,1,3,4,3,0.043,0.13,1630611,1610612744,1.0
Haywood Highsmith,MIA,2,0,2,57.0,51,36,3,0,5,8,3,0.059,0.059,1629312,1610612748,0.0
Hunter Tyson,DEN,1,0,1,5.0,6,6,0,0,0,0,0,0.0,0.0,1641816,1610612743,0.0
Isaac Okoro,CLE,2,2,0,22.0,20,16,1,0,2,3,1,0.05,0.05,1630171,1610612739,0.0
Isaiah Hartenstein,OKC,3,3,0,69.0,106,78,12,1,22,32,15,0.113,0.142,1628392,1610612760,2.0
Isaiah Joe,OKC,3,3,0,51.0,42,44,4,2,8,12,7,0.095,0.167,1630198,1610612760,1.0
Isaiah Stewart,DET,1,0,1,19.0,11,3,1,0,1,3,1,0.091,0.091,1630191,1610612765,0.0
Ivica Zubac,LAC,3,2,1,113.0,101,102,7,4,12,19,12,0.069,0.119,1627826,1610612746,1.0
JD Davison,BOS,1,1,0,1.0,2,2,0,0,0,0,0,0.0,0.0,1631120,1610612738,0.0
Ja Morant,MEM,3,0,3,82.0,106,142,15,0,27,40,17,0.142,0.16,1629630,1610612763,2.0
Jabari Smith Jr.,HOU,2,1,1,49.0,39,24,0,0,1,0,0,0.0,0.0,1631095,1610612745,0.0
Jaden McDaniels,MIN,3,2,1,110.0,86,96,4,1,3,11,5,0.047,0.058,1630183,1610612750,0.0
Jaime Jaquez Jr.,MIA,1,0,1,1.0,2,3,0,0,1,0,0,0.0,0.0,1631170,1610612748,0.0
Jalen Brunson,NYK,3,2,1,123.0,177,229,24,2,41,61,26,0.136,0.147,1628973,1610612752,0.0
Jalen Duren,DET,3,1,2,94.0,109,68,8,0,17,21,8,0.073,0.073,1631105,1610612765,0.0
Jalen Green,HOU,2,1,1,66.0,93,106,8,2,15,18,10,0.086,0.108,1630224,1610612745,0.0
Jalen Pickett,DEN,3,1,2,23.0,24,21,1,0,2,3,1,0.042,0.042,1629618,1610612743,0.0
Jalen Williams,OKC,3,3,0,98.0,125,144,16,4,36,38,20,0.128,0.16,1631114,1610612760,0.0
Jamal Murray,DEN,3,1,2,126.0,169,198,17,3,23,42,21,0.101,0.124,1627750,1610612743,1.0
James Harden,LAC,3,2,1,116.0,186,207,27,3,42,68,32,0.145,0.172,201935,1610612746,2.0
Jarace Walker,IND,3,2,1,34.0,42,33,0,0,6,2,1,0.0,0.024,1641716,1610612754,1.0
Jaren Jackson Jr.,MEM,3,0,3,102.0,75,104,4,1,10,12,6,0.053,0.08,1628991,1610612763,1.0
Jarred Vanderbilt,LAL,3,1,2,34.0,32,12,2,0,3,6,2,0.063,0.063,1629020,1610612747,0.0
Jarrett Allen,CLE,2,2,0,61.0,33,27,2,0,2,6,2,0.061,0.061,1628386,1610612739,0.0
Javonte Green,CLE,1,1,0,1.0,1,0,0,0,0,0,0,0.0,0.0,1629750,1610612739,0.0
Jaxson Hayes,LAL,3,1,2,26.0,12,9,0,0,0,0,0,0.0,0.0,1629637,1610612747,0.0
Jay Huff,MEM,1,0,1,12.0,6,8,0,0,0,0,0,0.0,0.0,1630643,1610612763,0.0
Jaylen Brown,BOS,3,2,1,106.0,104,121,8,2,17,22,11,0.077,0.106,1627759,1610612738,1.0
Jaylen Clark,MIN,1,1,0,3.0,2,3,0,0,0,0,0,0.0,0.0,1641740,1610612750,0.0
Jaylin Williams,OKC,3,3,0,25.0,48,32,3,0,4,7,3,0.063,0.063,1631119,1610612760,0.0
Jaylon Tyson,CLE,1,1,0,1.0,1,2,0,0,0,0,0,0.0,0.0,1642281,1610612739,0.0
Jayson Tatum,BOS,2,1,1,80.0,107,105,8,3,17,21,11,0.075,0.103,1628369,1610612738,0.0
Jeff Green,HOU,1,1,0,2.0,1,2,0,0,0,0,0,0.0,0.0,201145,1610612745,0.0
Jericho Sims,MIL,3,1,2,32.0,26,8,0,1,3,0,1,0.0,0.038,1630579,1610612749,0.0
Jimmy Butler III,GSW,2,1,1,50.0,64,66,6,0,13,15,6,0.094,0.094,202710,1610612744,0.0
John Konchar,MEM,3,0,3,52.0,59,37,4,0,10,11,5,0.068,0.085,1629723,1610612763,1.0
Johnny Furphy,IND,2,1,1,4.0,1,0,0,0,0,0,0,0.0,0.0,1642277,1610612754,0.0
Jonathan Isaac,ORL,3,1,2,42.0,35,18,1,0,4,2,1,0.029,0.029,1628371,1610612753,0.0
Jonathan Kuminga,GSW,1,0,1,26.0,20,26,2,0,2,5,2,0.1,0.1,1630228,1610612744,0.0
Jordan Goodwin,LAL,3,1,2,24.0,22,13,1,0,1,3,1,0.045,0.045,1630692,1610612747,0.0
