PLAYER,TEAM,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID
AJ Green,MIL,5,135.0,13,25,52.0,13.0,25.0,52.0,78.0,39,1631260
Aaron Gordon,DEN,14,522.0,19,47,40.400000000000006,15.0,40.0,37.5,56.39999999999999,53,203932
Aaron Holiday,HOU,3,27.0,1,3,33.300000000000004,1.0,3.0,33.300000000000004,50.0,3,1628988
Aaron Nesmith,IND,13,393.0,33,64,51.6,32.0,62.0,51.6,76.6,98,1630174
Aaron Wiggins,OKC,14,194.0,14,41,34.1,14.0,41.0,34.1,51.2,42,1630598
Ajay Mitchell,OKC,7,59.0,4,9,44.4,4.0,9.0,44.4,66.7,12,1642349
Al Horford,BOS,11,348.0,18,39,46.2,14.0,33.0,42.4,64.1,50,201143
Alec Burks,MIA,1,15.0,1,2,50.0,1.0,2.0,50.0,75.0,3,202692
Alex Caruso,OKC,14,303.0,23,52,44.2,22.0,49.0,44.9,65.4,68,1627936
Alex Len,LAL,2,4.0,0,0,,,,,,0,203458
Alperen Sengun,HOU,7,256.0,6,19,31.6,1.0,5.0,20.0,34.2,13,1630578
Amen Thompson,HOU,7,231.0,3,7,42.9,0.0,1.0,0.0,42.9,6,1641708
Andre Jackson Jr.,MIL,2,5.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1641748
Andrew Nembhard,IND,13,438.0,20,39,51.300000000000004,12.0,27.0,44.4,66.7,52,1629614
Andrew Wiggins,MIA,4,122.0,5,13,38.5,5.0,13.0,38.5,57.699999999999996,15,203952
Anthony Black,ORL,5,89.0,2,10,20.0,2.0,10.0,20.0,30.0,6,1641710
Anthony Edwards,MIN,13,505.0,18,33,54.50000000000001,18.0,32.0,56.3,81.8,54,1630162
Ariel Hukporti,NYK,1,2.0,0,0,,,,,,0,1630574
Ausar Thompson,DET,6,135.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1641709
Austin Reaves,LAL,5,196.0,10,30,33.300000000000004,10.0,29.0,34.5,50.0,30,1630559
Bam Adebayo,MIA,4,153.0,8,22,36.4,6.0,15.0,40.0,50.0,22,1628389
Baylor Scheierman,BOS,4,22.0,2,4,50.0,2.0,4.0,50.0,75.0,6,1631248
Ben Sheppard,IND,11,141.0,8,19,42.1,8.0,19.0,42.1,63.2,24,1641767
Ben Simmons,LAC,5,42.0,0,0,,,,,,0,1627732
Bennedict Mathurin,IND,12,195.0,6,18,33.300000000000004,6.0,18.0,33.300000000000004,50.0,18,1631097
Bobby Portis,MIL,5,158.0,11,32,34.4,10.0,28.0,35.699999999999996,50.0,32,1626171
Bogdan Bogdanović,LAC,7,117.0,5,20,25.0,4.0,16.0,25.0,35.0,14,203992
Brandin Podziemski,GSW,12,385.0,14,45,31.1,14.0,44.0,31.8,46.7,42,1641764
Braxton Key,GSW,5,23.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1630296
Bronny James,LAL,2,4.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1642355
Brook Lopez,MIL,5,74.0,4,15,26.700000000000003,4.0,15.0,26.700000000000003,40.0,12,201572
Buddy Hield,GSW,12,327.0,25,59,42.4,25.0,58.0,43.1,63.6,75,1627741
Cade Cunningham,DET,6,248.0,1,3,33.300000000000004,1.0,3.0,33.300000000000004,50.0,3,1630595
Caleb Houstan,ORL,5,47.0,2,8,25.0,2.0,8.0,25.0,37.5,6,1631216
Cam Christie,LAC,3,13.0,1,2,50.0,1.0,2.0,50.0,75.0,3,1642353
Cam Whitmore,HOU,3,5.0,0,0,,0.0,0.0,,,0,1641715
Cameron Payne,NYK,14,102.0,3,10,30.0,2.0,9.0,22.2,40.0,8,1626166
Cason Wallace,OKC,14,307.0,12,36,33.300000000000004,12.0,36.0,33.300000000000004,50.0,36,1641717
Chet Holmgren,OKC,14,410.0,21,66,31.8,20.0,62.0,32.300000000000004,47.0,62,1631096
Chris Livingston,MIL,2,5.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1641753
Christian Braun,DEN,14,544.0,16,59,27.1,15.0,56.0,26.8,39.800000000000004,47,1631128
Chuma Okeke,CLE,3,13.0,1,3,33.300000000000004,1.0,3.0,33.300000000000004,50.0,3,1629643
Cole Anthony,ORL,5,51.0,0,2,0.0,0.0,2.0,0.0,0.0,0,1630175
Cory Joseph,ORL,5,124.0,5,16,31.3,5.0,16.0,31.3,46.9,15,202709
Craig Porter Jr.,CLE,6,35.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1641854
Dalton Knecht,LAL,2,4.0,0,2,0.0,0.0,2.0,0.0,0.0,0,1642261
Damian Lillard,MIL,3,75.0,1,7,14.299999999999999,1.0,7.0,14.299999999999999,21.4,3,203081
Darius Garland,CLE,5,148.0,2,9,22.2,2.0,9.0,22.2,33.300000000000004,6,1629636
Davion Mitchell,MIA,4,142.0,5,9,55.60000000000001,5.0,9.0,55.60000000000001,83.3,15,1630558
De'Andre Hunter,CLE,8,185.0,7,19,36.8,6.0,16.0,37.5,52.6,20,1629631
DeAndre Jordan,DEN,7,36.0,0,0,,,,,,0,201599
Dean Wade,CLE,9,142.0,3,14,21.4,3.0,14.0,21.4,32.1,9,1629731
Delon Wright,NYK,3,17.0,0,0,,,,,,0,1626153
Dennis Schröder,DET,6,164.0,4,10,40.0,4.0,10.0,40.0,60.0,12,203471
Derrick Jones Jr.,LAC,7,129.0,6,19,31.6,6.0,18.0,33.300000000000004,47.4,18,1627884
Derrick White,BOS,11,415.0,33,75,44.0,33.0,75.0,44.0,66.0,99,1628401
Desmond Bane,MEM,4,139.0,4,16,25.0,4.0,16.0,25.0,37.5,12,1630217
Dillon Brooks,HOU,7,206.0,9,24,37.5,9.0,24.0,37.5,56.3,27,1628415
Dillon Jones,OKC,6,32.0,3,4,75.0,3.0,4.0,75.0,112.5,9,1641794
Donovan Mitchell,CLE,9,288.0,13,34,38.2,12.0,32.0,37.5,55.900000000000006,38,1628378
Donte DiVincenzo,MIN,13,327.0,17,54,31.5,16.0,52.0,30.8,46.300000000000004,50,1628978
Dorian Finney-Smith,LAL,5,170.0,7,18,38.9,7.0,18.0,38.9,58.3,21,1627827
Draymond Green,GSW,12,389.0,17,61,27.900000000000002,15.0,57.0,26.3,40.2,49,203110
Drew Eubanks,LAC,3,13.0,0,0,,,,,,0,1629234
Duncan Robinson,MIA,4,59.0,2,7,28.599999999999998,2.0,7.0,28.599999999999998,42.9,6,1629130
Evan Mobley,CLE,8,257.0,9,22,40.9,9.0,22.0,40.9,61.4,27,1630596
Franz Wagner,ORL,5,195.0,6,25,24.0,6.0,24.0,25.0,36.0,18,1630532
Fred VanVleet,HOU,7,280.0,16,35,45.7,16.0,35.0,45.7,68.60000000000001,48,1627832
Gabe Vincent,LAL,5,99.0,4,12,33.300000000000004,4.0,12.0,33.300000000000004,50.0,12,1629216
Gary Harris,ORL,5,83.0,1,4,25.0,1.0,4.0,25.0,37.5,3,203914
Gary Payton II,GSW,11,180.0,9,24,37.5,9.0,23.0,39.1,56.3,27,1627780
Gary Trent Jr.,MIL,5,171.0,18,30,60.0,18.0,30.0,60.0,90.0,54,1629018
Giannis Antetokounmpo,MIL,5,188.0,1,3,33.300000000000004,1.0,2.0,50.0,50.0,3,203507
Goga Bitadze,ORL,3,11.0,0,0,,,,,,0,1629048
Gui Santos,GSW,10,72.0,3,9,33.300000000000004,3.0,9.0,33.300000000000004,50.0,9,1630611
Haywood Highsmith,MIA,4,84.0,7,15,46.7,7.0,15.0,46.7,70.0,21,1629312
Hunter Tyson,DEN,5,30.0,1,5,20.0,1.0,4.0,25.0,30.0,3,1641816
Isaac Okoro,CLE,9,128.0,5,13,38.5,5.0,13.0,38.5,57.699999999999996,15,1630171
Isaiah Hartenstein,OKC,14,350.0,20,31,64.5,,,,64.5,40,1628392
Isaiah Joe,OKC,14,156.0,9,30,30.0,9.0,30.0,30.0,45.0,27,1630198
Isaiah Stewart,DET,1,19.0,0,0,,,,,,0,1630191
Ivica Zubac,LAC,7,256.0,4,7,57.099999999999994,,,,57.099999999999994,8,1627826
JD Davison,BOS,4,13.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1631120
Ja Morant,MEM,3,82.0,0,4,0.0,0.0,4.0,0.0,0.0,0,1629630
Jabari Smith Jr.,HOU,7,143.0,10,19,52.6,10.0,19.0,52.6,78.9,30,1631095
Jaden McDaniels,MIN,13,445.0,16,40,40.0,16.0,40.0,40.0,60.0,48,1630183
Jaime Jaquez Jr.,MIA,3,19.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1631170
Jalen Brunson,NYK,15,575.0,13,27,48.1,13.0,25.0,52.0,72.2,39,1628973
Jalen Duren,DET,6,203.0,1,1,100.0,,,,100.0,2,1631105
Jalen Green,HOU,7,219.0,4,21,19.0,4.0,21.0,19.0,28.599999999999998,12,1630224
Jalen Pickett,DEN,8,57.0,2,5,40.0,1.0,3.0,33.300000000000004,50.0,5,1629618
Jalen Williams,OKC,14,482.0,15,53,28.299999999999997,13.0,51.0,25.5,40.6,43,1631114
Jamal Murray,DEN,14,578.0,18,50,36.0,17.0,48.0,35.4,53.0,53,1627750
James Harden,LAC,7,276.0,3,8,37.5,3.0,8.0,37.5,56.3,9,201935
James Johnson,IND,2,13.0,0,1,0.0,0.0,1.0,0.0,0.0,0,201949
Jarace Walker,IND,10,96.0,4,8,50.0,4.0,8.0,50.0,75.0,12,1641716
Jaren Jackson Jr.,MEM,4,137.0,3,11,27.3,3.0,10.0,30.0,40.9,9,1628991
Jarred Vanderbilt,LAL,5,60.0,0,0,,0.0,0.0,,,0,1629020
Jarrett Allen,CLE,9,261.0,5,7,71.39999999999999,,,,71.39999999999999,10,1628386
Javonte Green,CLE,6,39.0,1,5,20.0,1.0,5.0,20.0,30.0,3,1629750
Jaxson Hayes,LAL,4,31.0,0,1,0.0,,,,0.0,0,1629637
Jay Huff,MEM,2,18.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1630643
Jaylen Brown,BOS,11,402.0,10,31,32.300000000000004,9.0,28.0,32.1,46.800000000000004,29,1627759
Jaylen Clark,MIN,4,22.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1641740
Jaylin Williams,OKC,12,120.0,6,20,30.0,6.0,20.0,30.0,45.0,18,1631119
