Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Atlanta Hawks,10,4,6,2425,423,75,174,43.1,45,52,86.5,199,47.0,144,34.0,37,8.7,26,6.1,26,6.1
Boston Celtics,6,2,4,1465,311,48,110,43.6,30,38,78.9,136,43.7,120,38.6,35,11.3,21,6.8,19,6.1
Charlotte Hornets,7,3,4,1680,312,63,144,43.8,44,50,88.0,177,56.7,93,29.8,21,6.7,24,7.7,25,8.0
Cleveland Cavaliers,21,16,5,5040,709,145,306,47.4,65,92,70.7,371,52.3,213,30.0,81,11.4,50,7.1,47,6.6
Dallas Mavericks,5,1,4,1200,186,45,94,47.9,14,22,63.6,104,55.9,55,29.6,12,6.5,13,7.0,11,5.9
Detroit Pistons,4,0,4,960,133,41,70,58.6,16,18,88.9,103,77.4,36,27.1,9,6.8,6,4.5,10,7.5
Golden State Warriors,24,15,9,5785,713,164,346,47.4,78,101,77.2,425,59.6,194,27.2,55,7.7,54,7.6,51,7.2
Houston Rockets,5,1,4,1200,194,40,96,41.7,21,26,80.8,101,52.1,49,25.3,14,7.2,19,9.8,13,6.7
Indiana Pacers,7,3,4,1680,266,37,107,34.6,40,48,83.3,115,43.2,84,31.6,24,9.0,21,7.9,25,9.4
LA Clippers,6,2,4,1440,240,59,125,47.2,30,42,71.4,150,62.5,51,21.3,22,9.2,16,6.7,21,8.8
Memphis Grizzlies,4,0,4,960,127,23,65,35.4,8,14,57.1,54,42.5,32,25.2,9,7.1,12,9.4,7,5.5
Miami Heat,14,7,7,3435,666,157,316,49.7,53,68,77.9,374,56.2,215,32.3,52,7.8,41,6.2,34,5.1
Oklahoma City Thunder,18,11,7,4320,689,107,296,36.1,94,118,79.7,315,45.7,192,27.9,77,11.2,48,7.0,61,8.9
Portland Trail Blazers,11,5,6,2665,452,70,197,35.5,70,86,81.4,216,47.8,135,29.9,40,8.8,21,4.6,43,9.5
San Antonio Spurs,10,6,4,2400,357,62,145,42.8,26,38,68.4,156,43.7,125,35.0,37,10.4,16,4.5,20,5.6
Toronto Raptors,20,10,10,4875,975,187,432,43.3,109,138,79.0,490,50.3,318,32.6,65,6.7,70,7.2,70,7.2
