PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj,PLAYER_ID,TEAM_ID,FT_AST
Aaron Gordon,ORL,62,30,32,2017.0,2223,1865,228,14,424,575,261,0.103,0.117,203932,1610612753,22
Aaron Holiday,IND,66,42,24,1617.0,1923,2376,225,33,433,584,285,0.117,0.148,1628988,1610612754,26
Abdel Nader,OKC,55,37,18,867.0,505,648,38,4,66,95,45,0.075,0.089,1627846,1610612760,3
Adam Mokoka,CHI,11,3,8,112.0,78,79,4,1,8,10,5,0.051,0.064,1629690,1610612741,0
Admiral Schofield,WAS,33,9,24,368.0,403,287,15,2,28,40,19,0.037,0.047,1629678,1610612764,2
Al Horford,PHI,67,39,28,2026.0,2805,2462,270,17,418,675,307,0.096,0.109,201143,1610612755,22
Al-Farouq Aminu,ORL,18,7,11,380.0,518,275,21,2,47,55,27,0.041,0.052,202329,1610612753,4
Alec Burks,PHI,66,21,45,1754.0,2336,2651,189,27,348,469,232,0.081,0.099,202692,1610612755,19
Alen Smailagic,GSW,14,1,13,139.0,130,118,13,0,17,34,13,0.1,0.1,1629346,1610612744,0
Alex Caruso,LAL,64,48,16,1175.0,1550,1494,124,13,222,302,149,0.08,0.096,1627936,1610612747,15
Alex Len,SAC,54,18,36,956.0,1245,850,49,4,98,130,56,0.039,0.045,203458,1610612758,3
Alfonzo McKinnie,CLE,40,11,29,593.0,460,330,14,1,37,42,20,0.03,0.043,1628035,1610612739,4
Alize Johnson,IND,17,10,7,118.0,122,59,7,0,12,16,8,0.057,0.066,1628993,1610612754,1
Allen Crabbe,MIN,37,5,32,653.0,493,480,33,5,72,83,40,0.067,0.081,203459,1610612750,3
Allonzo Trier,NYK,24,2,22,291.0,290,386,28,2,59,74,31,0.097,0.107,1629019,1610612752,1
Amile Jefferson,ORL,18,5,13,74.0,89,38,4,0,3,6,2,0.045,0.022,1628518,1610612753,0
Amir Coffey,LAC,18,11,7,159.0,129,159,14,0,26,43,17,0.109,0.132,1629599,1610612746,3
Andre Drummond,CLE,56,21,35,1844.0,2410,1971,151,10,259,395,171,0.063,0.071,203083,1610612739,12
Andre Iguodala,MIA,20,10,10,395.0,487,389,48,6,106,140,64,0.099,0.131,2738,1610612748,10
Andre Roberson,OKC,7,3,4,87.0,77,58,4,0,8,10,4,0.052,0.052,203460,1610612760,0
Andrew Wiggins,GSW,54,15,39,1859.0,2189,2766,198,28,401,527,239,0.09,0.109,203952,1610612744,14
Anfernee Simons,POR,70,32,38,1449.0,1423,1546,97,7,179,258,114,0.068,0.08,1629014,1610612757,9
Ante Zizic,CLE,22,4,18,221.0,211,155,6,0,12,16,7,0.028,0.033,1627790,1610612739,1
Anthony Davis,LAL,62,46,16,2131.0,2409,2689,200,24,360,519,239,0.083,0.099,203076,1610612747,16
Anthony Tolliver,MEM,55,24,31,872.0,805,563,42,3,84,115,48,0.052,0.06,201229,1610612763,3
Antonius Cleveland,DAL,11,6,5,46.0,29,34,1,0,3,2,1,0.034,0.034,1628499,1610612742,0
Anžejs Pasečņiks,WAS,27,9,18,437.0,618,417,18,0,35,49,21,0.029,0.034,1628394,1610612764,3
Aron Baynes,PHX,41,19,22,914.0,1023,926,67,8,111,171,77,0.065,0.075,203382,1610612756,2
Austin Rivers,HOU,68,43,25,1594.0,1498,1553,113,21,245,324,149,0.075,0.099,203085,1610612745,14
Avery Bradley,LAL,49,36,13,1186.0,924,1100,63,10,104,149,78,0.068,0.084,202340,1610612747,6
BJ Johnson,ORL,10,5,5,83.0,42,55,3,0,7,7,4,0.071,0.095,1629168,1610612753,1
Bam Adebayo,MIA,71,44,27,2382.0,3344,3202,361,28,637,964,413,0.108,0.124,1628389,1610612748,26
Ben McLemore,HOU,71,44,27,1619.0,1206,1101,58,10,104,155,67,0.048,0.056,203463,1610612745,1
Ben Simmons,PHI,57,35,22,2017.0,4027,4052,455,64,914,1185,542,0.113,0.135,1627732,1610612755,32
Bismack Biyombo,CHA,52,18,34,1021.0,1335,896,50,5,84,121,58,0.037,0.043,202687,1610612766,4
Blake Griffin,DET,17,8,9,483.0,708,789,54,3,127,149,63,0.076,0.089,201933,1610612765,7
Boban Marjanović,DAL,44,21,23,422.0,483,421,20,2,27,44,22,0.041,0.046,1626246,1610612742,0
Bobby Portis,NYK,66,21,45,1394.0,1933,1533,98,11,199,245,113,0.051,0.058,1626171,1610612752,6
Bogdan Bogdanović,SAC,60,29,31,1736.0,1900,2229,205,14,361,515,235,0.108,0.124,203992,1610612758,16
Bojan Bogdanović,UTA,63,41,22,2083.0,1503,2259,131,19,233,351,167,0.087,0.111,202711,1610612762,18
Bol Bol,DEN,7,2,5,87.0,54,58,6,1,9,16,8,0.111,0.148,1629626,1610612743,1
Brad Wanamaker,BOS,71,48,23,1369.0,2166,2167,179,18,315,443,204,0.083,0.094,202954,1610612738,11
Bradley Beal,WAS,57,20,37,2053.0,2636,3644,347,44,642,888,432,0.132,0.164,203078,1610612764,43
Brandon Clarke,MEM,58,29,29,1300.0,1657,1349,81,18,163,197,107,0.049,0.065,1629634,1610612763,10
Brandon Goodwin,ATL,34,13,21,430.0,694,801,51,3,123,125,59,0.073,0.085,1629164,1610612737,5
Brandon Ingram,NOP,61,25,36,2062.0,2435,2979,255,52,483,669,335,0.105,0.138,1627742,1610612740,28
Brandon Knight,DET,25,4,21,462.0,634,764,69,6,123,182,79,0.109,0.125,202688,1610612765,4
Brian Bowen II,IND,6,5,1,31.0,18,14,0,0,1,0,0,0.0,0.0,1628968,1610612754,0
Brook Lopez,MIL,67,52,15,1792.0,1417,1500,98,6,153,253,105,0.069,0.074,201572,1610612749,2
Bruce Brown,DET,57,18,39,1612.0,2468,2490,226,28,410,588,278,0.092,0.113,1628971,1610612765,24
Bruno Caboclo,HOU,30,11,19,244.0,276,206,12,2,30,31,15,0.043,0.054,203998,1610612745,0
Bruno Fernando,ATL,56,18,38,713.0,959,659,49,1,77,135,56,0.051,0.058,1628981,1610612737,7
Bryn Forbes,SAS,62,26,36,1563.0,1037,1439,106,12,166,257,125,0.102,0.121,1627854,1610612759,8
Buddy Hield,SAC,71,31,40,2192.0,2408,3051,212,40,380,528,268,0.088,0.111,1627741,1610612758,17
CJ McCollum,POR,69,33,36,2518.0,2819,3605,307,38,563,782,368,0.109,0.131,203468,1610612757,24
CJ Miles,WAS,10,4,6,161.0,93,133,12,1,14,25,12,0.129,0.129,101139,1610612764,0
Caleb Martin,CHA,18,6,12,317.0,276,295,23,6,51,58,31,0.083,0.112,1628997,1610612766,3
Caleb Swanigan,POR,26,11,15,278.0,297,189,30,3,42,76,34,0.101,0.114,1628403,1610612757,1
Cam Reddish,ATL,58,17,41,1551.0,1024,1299,87,7,166,222,101,0.085,0.099,1629629,1610612737,7
Cameron Johnson,PHX,56,28,28,1223.0,960,831,67,9,132,177,80,0.07,0.083,1629661,1610612756,4
Cameron Payne,PHX,8,8,0,183.0,321,319,24,3,49,63,29,0.075,0.09,1626166,1610612756,2
Caris LeVert,BKN,45,21,24,1330.0,1464,2012,199,26,392,499,239,0.136,0.163,1627747,1610612751,21
Carmelo Anthony,POR,57,27,30,1869.0,1326,1508,83,9,158,212,94,0.063,0.071,2546,1610612757,2
Carsen Edwards,BOS,37,25,12,351.0,335,379,24,2,39,60,28,0.072,0.084,1629035,1610612738,2
Cedi Osman,CLE,65,19,46,1910.0,1790,1673,154,19,303,411,188,0.086,0.105,1626224,1610612739,10
Chandler Hutchison,CHI,28,8,20,527.0,443,386,26,4,61,73,34,0.059,0.077,1628990,1610612741,4
Chandler Parsons,ATL,5,0,5,54.0,61,60,3,1,7,8,4,0.049,0.066,202718,1610612737,0
Charlie Brown Jr.,ATL,10,1,9,40.0,30,40,2,0,2,5,2,0.067,0.067,1629718,1610612737,0
Chasson Randle,GSW,3,2,1,40.0,43,39,5,0,6,14,6,0.116,0.14,1626184,1610612744,1
Cheick Diallo,PHX,47,20,27,479.0,668,440,22,1,45,62,28,0.033,0.042,1627767,1610612756,4
Chimezie Metu,SAS,18,8,10,105.0,129,100,10,1,15,27,13,0.078,0.101,1629002,1610612759,2
Chris Boucher,TOR,62,45,17,819.0,834,626,26,5,47,74,33,0.031,0.04,1628449,1610612761,2
Chris Chiozza,BKN,28,14,14,401.0,744,812,83,5,179,230,101,0.112,0.136,1629185,1610612751,13
Chris Clemons,HOU,33,19,14,291.0,286,379,27,5,49,66,34,0.094,0.119,1629598,1610612745,2
Chris Paul,OKC,70,44,26,2208.0,3637,4146,472,56,877,1198,565,0.13,0.155,101108,1610612760,41
Chris Silva,MIA,43,27,16,334.0,448,256,21,0,48,57,22,0.047,0.049,1629735,1610612748,1
Christian Wood,DET,61,20,41,1311.0,1566,1295,60,6,110,165,77,0.038,0.049,1626174,1610612765,11
Clint Capela,ATL,39,22,17,1279.0,1597,838,48,14,100,135,69,0.03,0.043,203991,1610612737,7
Coby White,CHI,65,22,43,1674.0,1996,2492,175,22,340,452,212,0.088,0.106,1629632,1610612741,17
Cody Martin,CHA,48,16,32,903.0,985,855,95,15,185,254,127,0.096,0.129,1628998,1610612766,16
Cody Zeller,CHA,57,18,39,1320.0,2049,1392,88,9,162,232,104,0.043,0.051,203469,1610612766,5
Collin Sexton,CLE,65,19,46,2143.0,2517,3365,192,44,400,511,265,0.076,0.105,1629012,1610612739,28
Corey Brewer,SAC,5,2,3,33.0,34,23,2,0,6,4,2,0.059,0.059,201147,1610612758,0
Cory Joseph,SAC,71,31,40,1742.0,2711,2830,245,28,470,636,295,0.09,0.109,202709,1610612758,23
Courtney Lee,DAL,23,14,9,335.0,218,229,12,4,25,32,16,0.055,0.073,201584,1610612742,0
Cristiano Felicio,CHI,22,6,16,386.0,414,252,16,6,38,43,22,0.039,0.053,1626245,1610612741,0
D'Angelo Russell,MIN,45,11,34,1452.0,2536,3108,285,30,514,718,350,0.112,0.138,1626156,1610612750,38
D.J. Augustin,ORL,57,28,29,1420.0,2356,2830,262,35,551,695,326,0.111,0.138,201571,1610612753,28
D.J. Wilson,MIL,37,29,8,363.0,483,366,25,1,55,68,28,0.052,0.058,1628391,1610612749,2
DaQuan Jeffries,SAC,13,4,9,141.0,119,108,7,0,24,17,7,0.059,0.059,1629610,1610612758,0
Damian Jones,ATL,55,15,40,887.0,828,545,35,4,64,95,44,0.042,0.053,1627745,1610612737,5
Damian Lillard,POR,65,32,33,2436.0,3551,4623,522,64,932,1324,628,0.147,0.177,203081,1610612757,43
Damion Lee,GSW,49,12,37,1423.0,1670,1718,133,19,219,337,161,0.08,0.096,1627814,1610612744,8
Damyean Dotson,NYK,48,14,34,836.0,682,859,57,10,105,156,73,0.084,0.107,1628422,1610612752,5
Daniel Gafford,CHI,43,15,28,609.0,430,347,21,2,25,51,23,0.049,0.053,1629655,1610612741,1
Daniel Theis,BOS,65,42,23,1566.0,1793,1565,111,14,198,297,134,0.062,0.075,1628464,1610612738,9
Danilo Gallinari,OKC,62,37,25,1834.0,2141,2149,119,24,181,288,150,0.056,0.07,201568,1610612760,10
Danny Green,LAL,68,51,17,1687.0,1945,1484,91,17,157,215,113,0.047,0.058,201980,1610612747,7
Danté Exum,CLE,35,10,25,486.0,492,475,40,5,74,100,48,0.081,0.098,203957,1610612739,3
Danuel House Jr.,HOU,63,40,23,1913.0,1366,1228,85,12,185,228,108,0.062,0.079,1627863,1610612745,11
Dario Šarić,PHX,65,32,33,1594.0,2265,1649,119,13,203,303,142,0.053,0.063,203967,1610612756,9
Darius Bazley,OKC,61,36,25,1129.0,978,738,41,11,79,105,53,0.042,0.054,1629647,1610612760,2
Darius Garland,CLE,59,17,42,1824.0,2550,3080,229,39,457,581,289,0.09,0.113,1629636,1610612739,21
Daryl Macon,MIA,4,4,0,14.0,15,19,1,1,1,2,2,0.067,0.133,1629133,1610612748,0
David Nwaba,HOU,20,8,12,268.0,124,124,8,1,18,23,11,0.065,0.089,1628021,1610612745,2
Davis Bertans,WAS,54,20,34,1583.0,1372,1297,92,8,142,237,109,0.067,0.079,202722,1610612764,15
De'Aaron Fox,SAC,50,20,30,1604.0,2757,3466,344,37,679,923,406,0.125,0.147,1628368,1610612758,28
De'Andre Hunter,ATL,63,19,44,2018.0,1465,1577,112,16,236,288,136,0.076,0.093,1629631,1610612737,9
De'Anthony Melton,MEM,60,27,33,1167.0,1672,1590,175,26,300,427,215,0.105,0.129,1629001,1610612763,16
DeAndre Jordan,BKN,56,27,29,1234.0,1518,1083,105,8,180,263,121,0.069,0.08,201599,1610612751,11
DeAndre' Bembry,ATL,43,10,33,915.0,991,943,81,10,180,209,102,0.082,0.103,1627761,1610612737,11
DeMar DeRozan,SAS,67,30,37,2282.0,2546,3415,377,50,735,1017,448,0.148,0.176,201942,1610612759,20
DeMarre Carroll,HOU,24,10,14,290.0,282,214,25,0,35,69,26,0.089,0.092,201960,1610612745,1
Dean Wade,CLE,12,1,11,71.0,74,39,2,1,4,5,3,0.027,0.041,1629731,1610612739,0
Deandre Ayton,PHX,38,20,18,1236.0,1571,1277,72,8,130,186,88,0.046,0.056,1629028,1610612756,8
Dejounte Murray,SAS,65,28,37,1656.0,2782,2804,266,33,471,673,319,0.096,0.115,1627749,1610612759,22
Delon Wright,DAL,72,41,31,1545.0,2472,2335,239,28,500,659,286,0.097,0.116,1626153,1610612742,21
Dennis Schröder,OKC,65,40,25,1999.0,3252,4057,262,58,471,654,349,0.081,0.107,203471,1610612760,31
Dennis Smith Jr.,NYK,34,7,27,537.0,1057,1191,98,11,210,268,125,0.093,0.118,1628372,1610612752,17
Denzel Valentine,CHI,36,12,24,488.0,475,558,43,6,92,120,57,0.091,0.12,1627756,1610612741,8
Deonte Burton,OKC,39,22,17,357.0,248,296,17,2,34,47,21,0.069,0.085,1629126,1610612760,2
Derrick Favors,NOP,50,24,26,1211.0,1813,1168,79,19,147,211,104,0.044,0.057,202324,1610612740,7
Derrick Jones Jr.,MIA,58,34,24,1350.0,993,822,62,5,137,168,73,0.062,0.074,1627884,1610612748,6
Derrick Rose,DET,49,17,32,1272.0,2074,2747,274,22,521,734,322,0.132,0.155,201565,1610612765,26
Derrick Walton Jr.,DET,26,15,11,248.0,346,343,27,2,59,77,31,0.078,0.09,1628476,1610612765,2
Derrick White,SAS,67,31,36,1655.0,2490,2692,238,28,436,599,294,0.096,0.118,1628401,1610612759,26
Devin Booker,PHX,70,34,36,2512.0,2241,3764,456,55,920,1205,555,0.203,0.248,1626164,1610612756,47
Devon Hall,OKC,11,6,5,81.0,116,146,13,1,30,37,14,0.112,0.121,1628985,1610612760,0
Devontae Cacok,LAL,1,0,1,9.0,6,6,1,0,2,2,1,0.167,0.167,1629719,1610612747,0
Devonte' Graham,CHA,62,23,39,2179.0,4137,5067,467,54,829,1181,568,0.113,0.137,1628984,1610612766,51
Dewan Hernandez,TOR,6,6,0,28.0,28,25,3,0,3,8,3,0.107,0.107,1629608,1610612761,0
Dewayne Dedmon,ATL,44,17,27,774.0,823,575,22,2,50,55,26,0.027,0.032,203473,1610612737,3
Dillon Brooks,MEM,73,34,39,2112.0,1785,2383,150,23,293,393,193,0.084,0.108,1628415,1610612763,19
Dion Waiters,LAL,10,4,6,207.0,206,269,20,5,36,56,28,0.097,0.136,203079,1610612747,3
Domantas Sabonis,IND,62,37,25,2159.0,4200,3156,310,23,509,782,355,0.074,0.085,1627734,1610612754,23
Donovan Mitchell,UTA,69,43,26,2364.0,2828,4054,294,47,562,787,370,0.104,0.131,1628378,1610612762,30
Donta Hall,BKN,9,4,5,133.0,140,103,4,0,9,12,5,0.029,0.036,1629743,1610612751,0
Donte DiVincenzo,MIL,65,52,13,1495.0,1901,1685,152,28,271,387,196,0.08,0.103,1628978,1610612749,15
Dorian Finney-Smith,DAL,69,38,31,2079.0,1882,1622,111,14,236,305,141,0.059,0.075,1627827,1610612742,14
Doug McDermott,IND,69,43,26,1372.0,1041,1154,78,14,126,194,105,0.075,0.101,203926,1610612754,14
Dragan Bender,GSW,15,9,6,280.0,447,327,27,1,42,72,32,0.06,0.072,1627733,1610612744,4
Draymond Green,GSW,43,10,33,1222.0,2508,2111,266,23,454,673,310,0.106,0.124,203110,1610612744,22
Drew Eubanks,SAS,22,13,9,272.0,246,175,15,0,24,44,17,0.061,0.069,1629234,1610612759,2
Duncan Robinson,MIA,72,44,28,2128.0,1623,1796,99,26,179,247,132,0.061,0.081,1629130,1610612748,7
Dusty Hannahs,MEM,2,0,2,13.0,10,18,0,1,2,0,1,0.0,0.1,1628605,1610612763,0
Dwayne Bacon,CHA,39,10,29,687.0,688,737,52,10,103,150,68,0.076,0.099,1628407,1610612766,6
Dwight Howard,LAL,69,52,17,1306.0,1603,826,45,4,86,112,52,0.028,0.032,2730,1610612747,2
Dwight Powell,DAL,39,24,15,1029.0,1174,824,58,7,85,151,70,0.049,0.06,203939,1610612742,5
Dzanan Musa,BKN,40,20,20,487.0,544,537,43,9,92,113,54,0.079,0.099,1629058,1610612751,2
E'Twaun Moore,NOP,55,27,28,1004.0,926,1164,77,9,141,196,89,0.083,0.096,202734,1610612740,4
Ed Davis,UTA,28,16,12,303.0,452,220,12,0,21,35,14,0.027,0.031,202334,1610612762,1
Edmond Sumner,IND,31,16,15,447.0,344,418,55,2,100,140,60,0.16,0.174,1628410,1610612754,3
Elfrid Payton,NYK,45,17,28,1246.0,2667,2819,323,21,609,805,381,0.121,0.143,203901,1610612752,39
Elie Okobo,PHX,54,23,31,703.0,1319,1342,114,14,230,281,135,0.086,0.102,1629059,1610612756,10
Emmanuel Mudiay,UTA,54,34,20,850.0,1451,1622,116,18,228,324,149,0.08,0.103,1626144,1610612762,14
Enes Freedom,BOS,58,36,22,983.0,930,865,56,6,83,143,66,0.06,0.071,202683,1610612738,4
Eric Bledsoe,MIL,60,47,13,1615.0,2349,2684,323,30,613,851,388,0.138,0.165,202339,1610612749,38
Eric Gordon,HOU,36,21,15,1016.0,675,1001,54,13,118,151,69,0.08,0.102,201569,1610612745,2
