PLAYER,TEAM,GP,W,L,MIN,PTS,DrivePTS,DriveFG%,C&SPTS,C&SFG%,Pull UpPTS,Pull UpFG%,PaintTouch PTS,PaintTouch FG%,PostTouch PTS,PostTouch FG%,ElbowTouch PTS,ElbowTouch FG%,eFG%
Aaron Gordon,ORL,62,30,32,32.5,14.4,2.3,40.5,3.1,33.0,2.3,28.1,4.2,65.9,1.8,45.2,0.7,48.7,48.4
Aaron Holiday,IND,66,42,24,24.5,9.5,3.4,44.8,2.7,43.2,2.7,35.9,0.2,50.0,0.0,0.0,0.1,75.0,49.1
Abdel Nader,OKC,55,37,18,15.8,6.3,1.9,51.4,2.5,37.8,0.5,40.6,0.3,80.0,0.0,0.0,0.2,62.5,55.9
Adam Mokoka,CHI,11,3,8,10.2,2.9,0.7,57.1,1.6,37.5,0.0,0.0,0.2,25.0,0.0,0.0,0.0,0.0,53.6
Admiral Schofield,WAS,33,9,24,11.2,3.0,0.0,0.0,1.8,34.5,0.2,37.5,0.4,50.0,0.2,80.0,0.1,100.0,48.4
Al Horford,PHI,67,39,28,30.2,11.9,0.7,46.5,5.7,37.3,0.9,49.2,2.7,65.3,2.4,48.7,0.9,51.0,52.0
Al-Farouq Aminu,ORL,18,7,11,21.1,4.3,0.4,20.0,1.8,30.8,0.0,0.0,1.1,33.3,0.1,0.0,0.6,50.0,34.3
Alec Burks,PHI,66,21,45,26.6,15.0,4.5,40.3,2.6,38.3,5.2,41.5,1.1,73.7,0.4,60.0,0.5,54.5,49.3
Alen Smailagic,GSW,14,1,13,9.9,4.2,1.0,44.4,0.6,21.4,0.1,50.0,1.3,85.7,0.8,80.0,0.1,50.0,53.8
Alex Caruso,LAL,64,48,16,18.4,5.5,1.4,38.3,1.5,32.6,0.6,25.0,0.4,54.5,0.0,0.0,0.3,61.5,48.1
Alex Len,SAC,54,18,36,17.7,7.8,0.4,64.3,1.1,29.6,0.0,25.0,5.1,63.9,0.4,52.4,1.2,47.2,57.7
Alfonzo McKinnie,CLE,40,11,29,14.8,4.6,1.1,48.8,1.0,22.4,0.3,27.3,1.3,66.7,0.0,0.0,0.2,100.0,46.8
Alize Johnson,IND,17,10,7,6.9,2.0,0.2,14.3,0.5,37.5,0.0,0.0,0.8,62.5,0.0,0.0,0.1,50.0,46.6
Allen Crabbe,MIN,37,5,32,17.6,4.6,0.6,38.5,3.1,34.8,0.5,23.7,0.3,83.3,0.0,0.0,0.2,75.0,45.8
Allonzo Trier,NYK,24,2,22,12.1,6.5,1.3,61.9,1.4,39.3,2.4,48.1,0.2,33.3,0.0,0.0,0.0,0.0,57.1
Amile Jefferson,ORL,18,5,13,4.1,0.8,0.2,50.0,0.0,0.0,0.0,0.0,0.2,16.7,0.0,0.0,0.2,50.0,35.7
Amir Coffey,LAC,18,11,7,8.8,3.2,1.2,52.6,0.8,35.7,0.6,35.7,0.1,25.0,0.0,0.0,0.1,0.0,48.1
Andre Drummond,CLE,56,21,35,32.9,17.6,1.9,44.4,0.3,13.6,0.2,18.2,10.8,60.7,3.2,54.0,2.6,42.8,53.3
Andre Iguodala,MIA,20,10,10,19.8,4.7,0.3,50.0,2.1,33.3,0.6,29.4,1.2,83.3,0.0,0.0,0.4,80.0,51.2
Andre Roberson,OKC,7,3,4,12.4,2.9,0.3,25.0,1.3,25.0,0.0,0.0,0.9,42.9,0.0,0.0,0.3,100.0,32.8
Andrew Wiggins,GSW,54,15,39,34.4,21.8,8.7,48.9,4.0,34.4,4.6,32.2,2.1,62.5,0.6,51.9,0.6,60.0,50.4
Anfernee Simons,POR,70,32,38,20.7,8.3,2.6,40.6,2.1,33.8,2.5,34.4,0.4,76.5,0.0,0.0,0.1,33.3,46.9
