nba_id,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Period1Fouls2Minutes,Period2Fouls2Minutes,Period2Fouls3Minutes,Period3Fouls3Minutes,Period3Fouls4Minutes,Period4Fouls4Minutes,Period4Fouls5Minutes,PeriodOTFouls5Minutes,OnOffRtg,OnDefRtg,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,ThreePtOffReboundedPct,PenaltyOffPossPct,Blocked3s,BlockedArc3,3SecondViolations,Defensive 3 Seconds Violations,PeriodOTFouls4Minutes,Clear Path Fouls,Corner3PctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,HeaveMakes,FoulsDrawn,Offensive Fouls Drawn,Period3Fouls5Minutes,Period1Fouls3Minutes,Period2Fouls4Minutes,year,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockingFouls,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Transition Take Fouls Drawn,Transition Take Fouls
202962,1610612745,Greg Smith,Greg Smith,202962,HOU,4145.0,8,69.0,-4.0,127.0,125,29.0,39.0,16.0,252,6.0,7.0,3.0,3.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,,,7.0,11.0,,,,14.0,119.0,3.0,4.0,,,,6.0,1.0,3.0,,,,2.0,4.0,10.0,,,6.0,,,,2.0,,,1.0,1.0,1.0,,,,,3.0,1.0,4.0,,3.0,10.0,2.0,15.0,5.0,20.0,2.0,2.0,2.0,,,,,1.0,,,,1.0,,1.0,8.0,17.0,2.0,1.0,,,,,,,5.0,2.0,,3.0,5.0,2.0,,,8.0,2.0,28.0,1.0,,4.0,,3.0,1.0,2.0,1.0,,90.5511811023622,95.2,0.2857142857142857,0.5,,,,,,0.6363636363636364,0.75,0.3333333333333333,0.6363636363636364,0.75,0.3333333333333333,0.6363636363636364,0.75,0.3333333333333333,,,0.1818181818181818,,0.5,,,8.275862068965518,,0.6666666666666666,,0.1923076923076923,0.0727272727272727,0.2142857142857142,0.0625,0.1969696969696969,0.0704225352112676,0.1818181818181818,0.0769230769230769,,0.0769230769230769,,0.2307692307692307,0.2666666666666666,0.125,0.1818181818181818,0.3333333333333333,1.0,0.4,0.6363636363636364,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.3636363636363636,0.25,0.5,,,,,,,,,,,,,,0.75,1.0,,,,,,,,0.6666666666666666,0.5,,,,,0.6363636363636364,,0.5368272727272727,0.547475,0.4607666666666667,,,,0.4285714285714285,0.1428571428571428,3.036363636363636,,1.0,0.3333333333333333,,,0.2283464566929134,,,,,,,,,,,,,,,,2012,,,,,,,,,
202962,1610612745,Greg Smith,Greg Smith,202962,HOU,66623.0,70,1110.0,118.0,2212.0,2198,676.0,648.0,269.0,4410,154.0,220.0,37.0,56.0,44.0,59.0,15.0,51.0,1.0,2.0,,,,,,,,1.0,,,,1.0,170.0,273.0,,1.0,81.0,421.0,2350.0,37.0,64.0,,,25.0,99.0,46.0,72.0,,1.0,28.0,120.0,256.0,84.0,,,46.0,1.0,,,36.0,,12.0,13.0,25.0,12.0,1.0,10.0,1.0,1.0,63.0,35.0,76.0,,54.0,142.0,14.0,210.0,111.0,321.0,14.0,18.0,13.0,5.0,20.0,2.0,9.0,21.0,1.0,11.0,2.0,41.0,5.0,9.0,88.0,175.0,19.0,8.0,130.0,14.0,,69.0,,3.0,40.0,16.0,2.0,22.0,40.0,25.0,,,322.0,120.0,668.0,15.0,12.0,64.0,6.0,63.0,31.0,40.0,34.0,4.0,111.57323688969258,106.91537761601457,0.7529411764705882,0.8707482993197279,,,,,,0.6227106227106227,0.578125,0.6388888888888888,0.6204379562043796,0.578125,0.6301369863013698,0.6340361445783133,0.6111111111111112,0.6451612903225806,0.0036496350364963,,0.1318681318681318,0.109090909090909,0.2352941176470588,,,14.743083003952568,0.4878048780487805,0.2592592592592592,,0.1865965834428383,0.1299145299145299,0.1758957654723127,0.0843373493975903,0.1835205992509363,0.111,0.150197628458498,0.1479591836734693,0.0661764705882353,0.0966666666666666,0.0521739130434782,0.1633663366336633,0.248,0.1521035598705501,0.1814345991561181,0.1571428571428571,0.2153846153846154,0.625,0.8029197080291971,0.7,0.7857142857142857,0.7792207792207793,0.1861313868613138,0.2941176470588235,0.3846153846153846,0.4666666666666667,0.0072992700729927,0.5,0.5,1.0,,,,,0.0036496350364963,,,,0.875,0.6607142857142857,0.2432432432432432,,,,,,,0.8082191780821918,0.7457627118644068,,,0.0136986301369863,,0.8065693430656934,,0.5747542124542125,0.5665358490566037,0.5984569444444445,0.2097264437689969,0.2103658536585365,,0.2351543942992874,0.2850356294536817,2.542490842490843,69.6,0.4769230769230769,0.4,,,0.3056057866184448,,,5.0,2.0,1.0,,,,,,88.0,2.0,1.0,,,2013,,3.0,1.0,2.0,3.0,1.0,,,
202962,1610612745,Greg Smith,Greg Smith,202962,HOU,6019.0,11,100.0,-16.0,204.0,202,82.0,78.0,28.0,406,16.0,23.0,9.0,9.0,4.0,6.0,2.0,5.0,,,,,,,,,,,,,,,18.0,28.0,,,2.0,38.0,230.0,9.0,10.0,,,,18.0,5.0,9.0,,,2.0,12.0,16.0,20.0,,,14.0,,,,6.0,,,,,,,,,,,3.0,8.0,,5.0,8.0,3.0,16.0,11.0,27.0,1.0,1.0,,1.0,,,,5.0,,,,5.0,2.0,3.0,7.0,17.0,4.0,3.0,5.0,1.0,,3.0,,,2.0,1.0,,1.0,2.0,1.0,,,20.0,12.0,79.0,3.0,1.0,4.0,,4.0,5.0,4.0,4.0,,104.90196078431372,113.86138613861388,0.4444444444444444,0.7272727272727273,,,,,,0.6428571428571429,0.9,0.5555555555555556,0.6428571428571429,0.9,0.5555555555555556,0.6333333333333333,0.9,0.6,,,0.2142857142857142,0.217391304347826,0.2,,,14.893617021276595,,0.375,,0.1379310344827586,0.1403508771929824,0.1515151515151515,0.0857142857142857,0.1428571428571428,0.1195652173913043,0.217391304347826,0.0869565217391304,0.0909090909090909,0.0769230769230769,0.1111111111111111,0.1176470588235294,0.0952380952380952,0.2,0.1851851851851851,,0.25,0.5,0.8214285714285714,0.6956521739130435,0.8888888888888888,0.4375,0.1785714285714285,0.4,0.5,0.5,,,,,,,,,,,,,0.9,1.0,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,0.8214285714285714,,0.5480107142857144,0.6041,0.5435111111111112,0.1,0.1,,0.4736842105263157,0.3157894736842105,2.375,,0.7142857142857143,0.3333333333333333,,,0.4019607843137255,,,,,,,,,,,4.0,1.0,,,,2014,,,,,,,,,
202962,1610612742,Greg Smith,Greg Smith,202962,DAL,21763.0,42,363.0,-25.0,710.0,716,182.0,245.0,71.0,1426,29.0,45.0,4.0,9.0,6.0,9.0,1.0,3.0,,1.0,,,,,,,,,,,,,30.0,49.0,,,20.0,80.0,714.0,4.0,10.0,,,3.0,11.0,6.0,9.0,,,5.0,17.0,54.0,6.0,,,4.0,,,,9.0,,6.0,3.0,9.0,1.0,2.0,1.0,,5.0,21.0,6.0,20.0,,15.0,37.0,1.0,53.0,26.0,79.0,1.0,7.0,3.0,4.0,4.0,,3.0,7.0,,1.0,1.0,11.0,2.0,1.0,32.0,53.0,3.0,3.0,39.0,1.0,,19.0,,1.0,11.0,8.0,1.0,2.0,11.0,5.0,1.0,,69.0,17.0,182.0,4.0,1.0,11.0,2.0,2.0,2.0,9.0,,,97.04225352112675,99.72067039106145,0.9,0.9642857142857144,,,,,,0.6122448979591837,0.4,0.6666666666666666,0.6122448979591837,0.4,0.6666666666666666,0.5882352941176471,0.4583333333333333,0.5666666666666667,,,0.1836734693877551,0.1777777777777777,0.3333333333333333,,,10.0,0.3636363636363636,0.0344827586206896,,0.1462450592885375,0.0865800865800865,0.131578947368421,0.0472440944881889,0.1416893732970027,0.0726256983240223,0.1153846153846153,0.0714285714285714,0.072289156626506,0.0319148936170212,0.0909090909090909,0.131578947368421,0.1625,0.1443298969072164,0.1494252873563218,0.074074074074074,0.1,0.4545454545454545,0.9183673469387756,0.6444444444444445,0.7837837837837838,0.896551724137931,0.0612244897959183,0.3333333333333333,0.5,1.0,0.0204081632653061,,,,,,,,,,,,0.9,0.4444444444444444,0.25,,,,,,,1.0,0.6666666666666666,,,,,0.9183673469387756,,0.6062448979591837,0.54025,0.6375888888888889,0.2835820895522388,0.2835820895522388,,0.1375,0.2125,2.0183673469387755,,0.2666666666666666,0.5,1.0,,0.2563380281690141,,,,3.0,,,,,,,26.0,1.0,,,,2015,1.0,3.0,1.0,4.0,1.0,,,,
202962,1610612750,Greg Smith,Greg Smith,202962,MIN,11516.0,18,192.0,-77.0,372.0,384,111.0,119.0,46.0,756,16.0,29.0,2.0,5.0,6.0,7.0,2.0,3.0,,,,,,,,,,,,,,,18.0,32.0,,,7.0,43.0,450.0,2.0,5.0,,,1.0,5.0,6.0,7.0,,,2.0,14.0,28.0,8.0,,,2.0,,,,8.0,,5.0,1.0,6.0,1.0,,1.0,,4.0,13.0,2.0,10.0,,8.0,19.0,3.0,30.0,12.0,42.0,,4.0,3.0,1.0,6.0,,3.0,1.0,,3.0,,7.0,2.0,1.0,17.0,28.0,3.0,,17.0,2.0,,7.0,,3.0,1.0,,,1.0,1.0,,,,38.0,14.0,111.0,2.0,,14.0,,6.0,,1.0,1.0,,100.26881720430109,117.1875,0.7777777777777778,0.8235294117647058,,,,,,0.5625,0.4,0.8571428571428571,0.5625,0.4,0.8571428571428571,0.5375,0.4166666666666667,0.5833333333333334,,,0.25,0.2413793103448276,0.3333333333333333,,,10.955710955710956,0.8571428571428571,0.2307692307692307,,0.2065217391304347,0.074074074074074,0.1194029850746268,0.0408163265306122,0.1698113207547169,0.0652173913043478,0.0434782608695652,0.131578947368421,0.0588235294117647,,0.1538461538461538,0.25,0.2962962962962963,0.0689655172413793,0.1304347826086956,0.0952380952380952,,,0.90625,0.5517241379310345,0.7272727272727273,0.75,0.09375,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,1.0,0.4,,,,,,,,1.0,0.8571428571428571,,,,,0.90625,,0.619884375,0.51744,0.6702857142857143,0.1891891891891892,0.1891891891891892,,0.1162790697674418,0.3255813953488372,1.775,,0.3076923076923077,1.0,,,0.2983870967741935,,,,,,,,,,,14.0,2.0,,,,2016,,2.0,3.0,,,,1.0,,
