TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Boston Celtics,77,2296,27.0,1.12,2574,883,2081,42.4,57.4,5.6,5.2,5.4,1.5,42.3,93.1
Dallas Mavericks,77,2170,26.5,1.09,2361,797,1978,40.3,55.9,4.5,5.6,4.2,1.2,39.9,89.7
Phoenix Suns,76,2172,25.4,1.06,2310,791,1957,40.4,54.6,5.4,5.7,5.1,1.2,40.4,69.0
LA Clippers,77,2026,24.0,1.13,2289,778,1852,42.0,57.0,5.8,3.9,5.4,1.1,42.8,96.6
Minnesota Timberwolves,77,2177,25.2,1.05,2282,814,1908,42.7,54.7,6.3,7.9,5.8,1.8,41.6,58.6
New York Knicks,77,2205,25.6,1.03,2269,776,1992,39.0,52.5,5.4,5.4,5.2,1.3,39.2,41.4
Oklahoma City Thunder,77,2260,25.5,1.0,2255,782,2016,38.8,51.9,4.7,6.9,4.5,0.8,38.5,20.7
Philadelphia 76ers,76,1977,24.3,1.13,2236,771,1807,42.7,57.4,5.1,4.9,5.1,1.4,42.5,100.0
Milwaukee Bucks,77,2053,23.4,1.06,2185,771,1878,41.1,55.7,3.3,5.8,3.0,0.6,40.0,72.4
Chicago Bulls,76,2056,24.8,1.05,2170,751,1818,41.3,55.0,5.1,7.3,4.9,0.8,40.8,65.5
Brooklyn Nets,76,2001,24.6,1.08,2165,750,1788,41.9,55.5,5.7,6.1,5.1,1.2,41.8,79.3
Sacramento Kings,76,1984,23.4,1.09,2157,723,1757,41.1,55.5,7.0,5.8,6.7,1.4,41.7,86.2
San Antonio Spurs,76,2125,24.2,0.99,2100,744,1904,39.1,50.9,5.6,6.3,5.5,1.5,38.9,10.3
New Orleans Pelicans,77,2002,23.2,1.04,2093,724,1801,40.2,53.5,5.4,5.5,5.2,0.9,40.3,55.2
Indiana Pacers,77,2058,23.6,1.0,2055,712,1818,39.2,51.7,5.6,7.1,5.4,1.1,38.9,24.1
Washington Wizards,76,1977,23.9,1.04,2054,715,1785,40.1,53.1,5.1,5.5,4.6,0.9,40.2,48.3
Utah Jazz,76,1938,22.3,1.05,2040,697,1730,40.3,54.2,5.6,6.5,5.1,1.3,40.0,62.1
Charlotte Hornets,77,2057,23.4,0.96,1986,711,1844,38.6,49.9,5.1,6.5,4.9,1.3,38.1,0.0
Detroit Pistons,76,2005,23.4,0.99,1984,680,1784,38.1,50.7,6.2,6.1,5.7,1.4,38.4,13.8
Golden State Warriors,77,1828,20.8,1.08,1981,684,1657,41.3,56.7,3.8,6.5,3.5,1.0,40.2,82.8
Memphis Grizzlies,76,1953,22.3,1.0,1953,680,1735,39.2,51.8,5.4,6.7,5.0,0.9,38.9,27.6
Portland Trail Blazers,76,1869,22.6,1.04,1946,674,1697,39.7,53.9,4.3,6.0,3.9,1.1,39.1,51.7
Houston Rockets,77,1968,22.3,0.98,1931,657,1730,38.0,50.5,6.3,6.9,5.8,1.1,38.3,6.9
Orlando Magic,76,1901,22.5,0.99,1884,659,1694,38.9,51.3,5.5,6.8,5.2,1.5,38.6,17.2
Miami Heat,77,1834,22.1,1.02,1879,633,1657,38.2,52.0,5.1,5.6,4.7,1.0,38.4,37.9
Los Angeles Lakers,76,1821,21.1,1.03,1877,637,1662,38.3,52.6,4.9,5.0,4.5,1.2,38.6,44.8
Toronto Raptors,76,1869,21.8,1.0,1877,653,1723,37.9,51.2,4.1,4.7,3.9,0.9,38.0,31.0
Denver Nuggets,76,1676,20.2,1.07,1791,633,1530,41.4,55.9,3.5,6.0,3.3,0.8,40.2,75.9
Atlanta Hawks,76,1832,21.1,0.97,1784,634,1658,38.2,49.9,5.0,5.2,4.7,0.8,38.6,3.4
Cleveland Cavaliers,77,1753,21.2,1.01,1774,617,1590,38.8,52.0,4.6,5.9,4.3,1.1,38.6,34.5
