TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Denver Nuggets,75,647,7.9,1.12,724,274,469,58.4,58.4,20.7,12.5,18.2,6.0,56.3,100.0
Milwaukee Bucks,76,610,7.0,1.0,609,248,467,53.1,53.1,13.8,12.6,12.0,3.3,50.5,55.2
Philadelphia 76ers,76,468,5.8,1.11,522,185,339,54.6,54.6,21.6,10.3,18.4,4.5,55.8,93.1
Chicago Bulls,76,461,5.6,1.1,509,204,368,55.4,55.4,16.9,8.7,14.8,5.4,54.9,89.7
New Orleans Pelicans,76,510,6.0,0.97,493,184,350,52.6,52.6,18.8,17.3,17.1,4.7,49.6,41.4
Phoenix Suns,76,469,5.5,0.99,464,198,374,52.9,52.9,11.3,11.3,8.5,2.3,49.9,48.3
Los Angeles Lakers,76,441,5.1,1.0,443,170,344,49.4,49.4,17.5,9.3,16.1,5.0,50.6,65.5
Dallas Mavericks,77,396,4.8,1.12,442,160,282,56.7,56.7,23.0,9.6,21.7,4.3,58.3,96.6
Toronto Raptors,76,459,5.3,0.92,421,167,357,46.8,46.8,13.5,10.0,11.8,1.3,47.7,17.2
LA Clippers,77,399,4.7,1.04,414,165,314,52.5,52.5,15.0,10.0,13.3,3.8,52.1,86.2
Washington Wizards,76,402,4.9,1.02,411,156,300,52.0,52.0,18.2,12.4,16.4,5.5,51.2,78.6
San Antonio Spurs,76,387,4.4,0.97,377,147,286,51.4,51.4,16.3,14.0,13.7,4.1,48.8,44.8
Houston Rockets,77,373,4.2,0.96,358,146,268,54.5,54.5,13.7,17.2,10.2,2.7,49.3,37.9
Portland Trail Blazers,76,354,4.3,0.94,334,130,258,50.4,50.4,16.4,14.4,15.3,4.2,48.3,31.0
Miami Heat,77,348,4.2,0.93,324,129,267,48.3,48.3,13.2,12.9,12.9,2.9,47.4,24.1
Sacramento Kings,76,310,3.7,1.02,316,124,227,54.6,54.6,16.8,12.6,12.9,2.9,52.9,72.4
Detroit Pistons,76,352,4.1,0.84,297,115,267,43.1,43.1,13.9,12.8,12.2,2.6,43.2,6.9
Orlando Magic,76,286,3.4,1.0,287,106,200,53.0,53.0,18.5,14.3,15.0,2.8,51.7,62.1
New York Knicks,77,329,3.8,0.86,284,108,241,44.8,44.8,16.4,13.7,14.9,3.3,44.7,10.3
Atlanta Hawks,76,268,3.1,1.02,273,107,212,50.5,50.5,15.7,7.5,13.8,2.2,52.6,69.0
Memphis Grizzlies,76,275,3.1,0.95,262,105,200,52.5,52.5,15.3,14.5,14.2,2.9,49.5,34.5
Boston Celtics,76,249,3.0,1.0,249,95,190,50.0,50.0,16.9,10.8,15.7,4.4,50.2,58.6
Minnesota Timberwolves,77,266,3.1,0.92,244,79,164,48.2,48.2,25.6,15.8,20.3,3.4,48.5,20.7
Cleveland Cavaliers,77,266,3.2,0.81,216,84,202,41.6,41.6,13.2,12.0,10.2,1.1,42.1,0.0
Indiana Pacers,77,210,2.4,0.99,209,79,153,51.6,51.6,17.1,13.3,15.2,3.3,51.4,51.7
Charlotte Hornets,77,224,2.5,0.93,209,81,168,48.2,48.2,18.8,10.7,14.7,4.5,48.7,27.6
Brooklyn Nets,76,184,2.3,1.03,189,73,138,52.9,52.9,15.8,13.0,13.6,3.8,50.5,82.8
Utah Jazz,76,190,2.2,0.88,167,63,134,47.0,47.0,15.3,16.3,12.6,2.6,44.7,13.8
Golden State Warriors,77,191,2.2,0.84,161,65,139,46.8,46.8,12.0,17.3,9.4,2.1,42.4,3.4
Oklahoma City Thunder,77,134,1.5,1.02,137,47,93,50.5,50.5,20.1,12.7,18.7,2.2,52.2,78.6
