TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Indiana Pacers,72,1627,20.0,1.2,1948,709,1289,55.0,64.1,13.0,10.8,12.5,3.0,53.2,93.1
Oklahoma City Thunder,71,1578,19.3,1.15,1819,664,1235,53.8,60.2,14.4,10.5,13.5,3.2,52.9,75.9
Sacramento Kings,71,1620,20.4,1.12,1809,658,1258,52.3,59.7,13.8,11.9,12.7,3.4,50.3,27.6
Memphis Grizzlies,71,1590,19.4,1.11,1771,665,1283,51.8,59.3,12.3,10.5,11.3,3.6,49.7,24.1
Minnesota Timberwolves,73,1481,18.1,1.15,1703,646,1148,56.3,62.4,13.4,13.2,12.8,4.1,52.5,69.0
Toronto Raptors,72,1514,18.6,1.12,1701,615,1163,52.9,58.9,15.8,10.9,14.5,3.5,52.4,41.4
Los Angeles Lakers,72,1522,18.6,1.11,1689,629,1138,55.3,60.5,15.3,13.0,13.8,3.2,52.6,20.7
Denver Nuggets,72,1371,17.4,1.23,1681,632,1075,58.8,67.3,12.5,12.0,11.4,3.1,55.2,100.0
Charlotte Hornets,73,1475,17.7,1.09,1611,606,1165,52.0,57.2,14.4,10.4,13.2,3.7,51.1,6.9
Boston Celtics,72,1348,17.0,1.18,1589,578,1043,55.4,63.2,13.8,12.1,13.3,3.3,53.0,86.2
Golden State Warriors,73,1371,16.4,1.14,1559,573,1070,53.6,62.3,11.2,13.3,10.1,2.6,50.2,55.2
Milwaukee Bucks,71,1407,17.4,1.11,1557,536,1083,49.5,58.9,15.7,10.8,14.6,3.6,49.0,17.2
Atlanta Hawks,71,1318,16.3,1.16,1528,569,1042,54.6,61.1,14.1,10.2,12.6,3.4,53.2,82.8
Orlando Magic,72,1360,17.0,1.12,1527,551,1049,52.5,58.8,15.7,11.3,14.5,4.3,51.4,37.9
Brooklyn Nets,71,1354,17.9,1.13,1526,551,1062,51.9,61.0,12.5,11.6,11.5,2.7,49.8,48.3
New York Knicks,73,1323,16.2,1.14,1508,548,1016,53.9,60.5,15.6,11.0,14.7,3.6,52.5,62.1
New Orleans Pelicans,71,1332,16.7,1.13,1504,569,1043,54.6,61.3,11.9,12.4,10.6,2.6,51.7,51.7
Detroit Pistons,72,1308,16.1,1.13,1473,533,967,55.1,62.2,15.7,12.7,14.2,2.6,53.0,44.8
Utah Jazz,71,1311,16.2,1.12,1469,543,1022,53.1,61.0,12.3,12.9,11.1,3.1,49.9,34.5
LA Clippers,72,1311,16.6,1.12,1467,525,995,52.8,60.9,14.6,12.2,13.4,3.0,50.9,31.0
Philadelphia 76ers,71,1181,15.5,1.22,1443,528,916,57.6,65.2,15.2,11.5,14.5,4.3,55.1,96.6
San Antonio Spurs,71,1325,16.1,1.09,1442,546,1042,52.4,59.3,12.5,12.6,11.4,3.8,49.2,3.4
Cleveland Cavaliers,73,1211,15.5,1.18,1433,558,955,58.4,64.1,13.2,11.0,11.9,3.3,55.0,89.7
Chicago Bulls,71,1236,15.9,1.14,1407,510,943,54.1,59.7,15.2,10.8,14.6,2.6,53.3,58.6
Miami Heat,73,1152,14.6,1.15,1326,481,890,54.0,60.7,14.3,11.5,13.5,3.3,52.3,72.4
Washington Wizards,71,1155,14.9,1.14,1317,501,921,54.4,61.4,11.5,11.0,10.3,2.3,51.9,65.5
Portland Trail Blazers,71,1132,14.6,1.16,1309,485,865,56.1,62.0,15.3,12.0,14.7,4.0,53.6,79.3
Houston Rockets,72,1182,14.3,1.08,1272,497,908,54.7,58.9,13.1,13.4,12.1,3.4,50.9,0.0
Dallas Mavericks,72,1107,14.5,1.11,1224,439,883,49.7,57.9,13.3,9.9,12.7,3.2,48.6,13.8
Phoenix Suns,71,1049,13.2,1.1,1159,413,821,50.3,59.0,12.8,11.2,10.8,2.5,49.3,10.3
