TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Sacramento Kings,75,774,9.2,1.08,838,303,661,45.8,57.9,6.3,9.2,5.9,1.0,43.9,100.0
Golden State Warriors,76,614,7.1,1.02,626,216,520,41.5,53.7,6.7,10.4,5.9,1.8,39.9,75.9
San Antonio Spurs,75,658,7.6,0.89,584,220,560,39.3,45.5,7.9,9.0,7.9,2.0,39.1,27.6
Utah Jazz,75,478,5.6,1.03,493,167,384,43.5,52.9,11.3,10.5,10.7,2.3,43.7,82.8
Portland Trail Blazers,75,449,5.5,1.08,483,158,359,44.0,54.7,11.1,10.7,9.6,1.8,44.5,96.6
Miami Heat,75,539,6.7,0.87,471,167,461,36.2,45.2,5.9,10.4,5.4,1.9,35.1,20.7
Brooklyn Nets,75,446,5.6,1.05,468,173,371,46.6,55.3,8.5,10.5,8.3,2.2,44.8,86.2
Charlotte Hornets,76,426,4.9,1.03,439,161,348,46.3,55.0,8.9,11.3,7.5,1.9,44.4,79.3
New Orleans Pelicans,75,460,5.5,0.95,436,157,364,43.1,49.7,10.4,13.3,9.8,3.0,41.5,41.4
Houston Rockets,76,471,5.4,0.92,435,158,391,40.4,48.3,8.9,10.2,8.5,2.3,39.9,31.0
Indiana Pacers,76,433,5.0,1.0,433,157,352,44.6,53.7,8.3,12.5,7.4,2.3,42.3,69.0
New York Knicks,76,444,5.2,0.97,430,153,366,41.8,50.1,10.1,9.5,9.5,2.0,42.1,51.7
Memphis Grizzlies,74,436,5.1,0.95,414,158,370,42.7,49.1,7.6,9.4,7.3,1.8,42.0,44.8
Orlando Magic,75,475,5.7,0.84,400,148,398,37.2,42.2,8.8,9.5,8.2,2.1,37.7,3.4
Denver Nuggets,75,452,5.5,0.87,394,153,386,39.6,45.5,6.9,8.8,6.0,1.3,39.2,17.2
Washington Wizards,75,388,4.7,0.99,385,144,301,47.8,54.7,10.6,13.4,11.1,2.3,44.8,62.1
Milwaukee Bucks,75,440,5.2,0.86,377,134,357,37.5,44.7,9.5,11.1,8.9,1.8,37.7,6.9
Minnesota Timberwolves,76,361,4.2,0.94,338,128,286,44.8,50.9,9.4,12.5,9.4,1.4,42.7,34.5
Cleveland Cavaliers,76,336,4.1,0.97,327,110,266,41.4,48.7,11.9,10.7,10.1,2.1,42.0,55.2
Phoenix Suns,75,372,4.4,0.86,320,128,302,42.4,46.9,6.7,13.4,5.4,1.3,39.2,10.3
Boston Celtics,75,276,3.3,1.07,295,107,220,48.6,57.5,10.1,13.4,9.1,3.3,45.7,93.1
Toronto Raptors,75,298,3.5,0.96,286,108,248,43.5,48.8,10.1,8.4,9.7,2.0,44.3,48.3
Oklahoma City Thunder,75,269,3.1,1.0,270,103,224,46.0,54.2,7.1,11.5,6.3,1.9,42.8,72.4
Atlanta Hawks,75,261,3.0,1.0,260,94,225,41.8,49.8,8.0,6.9,7.3,1.5,42.5,65.5
LA Clippers,76,266,3.2,0.89,236,87,220,39.5,46.1,8.3,10.9,8.3,1.9,38.7,24.1
Los Angeles Lakers,75,237,2.8,0.99,234,79,196,40.3,49.7,12.2,8.9,12.2,3.8,41.8,58.6
Philadelphia 76ers,75,217,2.7,1.05,229,87,190,45.8,53.9,7.4,6.9,6.0,1.8,45.6,89.7
Dallas Mavericks,76,263,3.3,0.87,228,81,198,40.9,48.2,9.9,16.0,8.7,1.1,39.2,13.8
Detroit Pistons,75,247,2.9,0.82,202,70,184,38.0,44.6,10.1,16.2,9.7,0.8,37.2,0.0
Chicago Bulls,75,157,1.9,0.94,147,55,131,42.0,49.2,7.0,11.5,6.4,1.9,40.1,37.9
