Year,Conference,Round,Team with home-court (seed),Team with home-court odds,Team w/o home-court (seed),Team w/o home-court odds,Winning Team,Series Score,team
2023,Eastern,Round 1,Boston Celtics (2),-1600.0,Atlanta Hawks (7),900.0,Boston Celtics,4-2,ATL
2022,Eastern,Round 1,Miami Heat (1),-420.0,Atlanta Hawks (8),330.0,Miami Heat,4-1,ATL
2021,Eastern,Conf Finals,Milwaukee Bucks (3),-500.0,Atlanta Hawks (5),400.0,Milwaukee Bucks,4-2,ATL
2021,Eastern,Conf Semis,Philadelphia 76ers (1),-175.0,Atlanta Hawks (5),155.0,Atlanta Hawks,4-3,ATL
2021,Eastern,Round 1,New York Knicks (4),110.0,Atlanta Hawks (5),-130.0,Atlanta Hawks,4-1,ATL
2017,Eastern,Round 1,Washington Wizards (4),-220.0,Atlanta Hawks (5),180.0,Washington Wizards,4-2,ATL
2016,Eastern,Conf Semis,Cleveland Cavaliers (1),-500.0,Atlanta Hawks (4),400.0,Cleveland Cavaliers,4-0,ATL
2016,Eastern,Round 1,Atlanta Hawks (4),-165.0,Boston Celtics (5),145.0,Atlanta Hawks,4-2,ATL
2015,Eastern,Conf Finals,Atlanta Hawks (1),165.0,Cleveland Cavaliers (2),-190.0,Cleveland Cavaliers,4-0,ATL
2015,Eastern,Conf Semis,Atlanta Hawks (1),-245.0,Washington Wizards (5),205.0,Atlanta Hawks,4-2,ATL
2015,Eastern,Round 1,Atlanta Hawks (1),-1350.0,Brooklyn Nets (8),900.0,Atlanta Hawks,4-2,ATL
2014,Eastern,Round 1,Indiana Pacers (1),-600.0,Atlanta Hawks (8),440.0,Indiana Pacers,4-3,ATL
2013,Eastern,Round 1,Indiana Pacers (3),-380.0,Atlanta Hawks (6),300.0,Indiana Pacers,4-2,ATL
2012,Eastern,Round 1,Atlanta Hawks (4),160.0,Boston Celtics (5),-190.0,Boston Celtics,4-2,ATL
2011,Eastern,Conf Semis,Chicago Bulls (1),-800.0,Atlanta Hawks (5),550.0,Chicago Bulls,4-2,ATL
2011,Eastern,Round 1,Orlando Magic (4),-650.0,Atlanta Hawks (5),425.0,Atlanta Hawks,4-2,ATL
2010,Eastern,Conf Semis,Orlando Magic (2),-800.0,Atlanta Hawks (3),550.0,Orlando Magic,4-0,ATL
2010,Eastern,Round 1,Atlanta Hawks (3),-750.0,Milwaukee Bucks (6),550.0,Atlanta Hawks,4-3,ATL
2009,Eastern,Conf Semis,Cleveland Cavaliers (1),-2450.0,Atlanta Hawks (4),1000.0,Cleveland Cavaliers,4-0,ATL
2009,Eastern,Round 1,Atlanta Hawks (4),-145.0,Miami Heat (5),125.0,Atlanta Hawks,4-3,ATL
2008,Eastern,Round 1,Boston Celtics (1),-8000.0,Atlanta Hawks (8),4000.0,Boston Celtics,4-3,ATL
1999,Eastern,Conf Semis,Atlanta Hawks (4),-135.0,New York Knicks (8),115.0,New York Knicks,4-0,ATL
1999,Eastern,Round 1,Atlanta Hawks (4),-160.0,Detroit Pistons (5),140.0,Atlanta Hawks,3-2,ATL
1998,Eastern,Round 1,Charlotte Hornets (4),-120.0,Atlanta Hawks (5),100.0,Charlotte Hornets,3-1,ATL
1997,Eastern,Conf Semis,Chicago Bulls (1),-1700.0,Atlanta Hawks (4),1100.0,Chicago Bulls,4-1,ATL
1997,Eastern,Round 1,Atlanta Hawks (4),-170.0,Detroit Pistons (5),150.0,Atlanta Hawks,3-2,ATL
1996,Eastern,Conf Semis,Orlando Magic (2),-1800.0,Atlanta Hawks (6),1400.0,Orlando Magic,4-1,ATL
1996,Eastern,Round 1,Indiana Pacers (3),-140.0,Atlanta Hawks (6),120.0,Atlanta Hawks,3-2,ATL
1995,Eastern,Round 1,Indiana Pacers (2),-360.0,Atlanta Hawks (7),280.0,Indiana Pacers,3-0,ATL
1994,Eastern,Conf Semis,Atlanta Hawks (1),-160.0,Indiana Pacers (5),140.0,Indiana Pacers,4-2,ATL
1994,Eastern,Round 1,Atlanta Hawks (1),-360.0,Miami Heat (8),280.0,Atlanta Hawks,3-2,ATL
1993,Eastern,Round 1,Chicago Bulls (2),-1200.0,Atlanta Hawks (7),800.0,Chicago Bulls,3-0,ATL
1991,Eastern,Round 1,Detroit Pistons (3),-400.0,Atlanta Hawks (6),300.0,Detroit Pistons,3-2,ATL
1989,Eastern,Round 1,Atlanta Hawks (4),-250.0,Milwaukee Bucks (5),200.0,Milwaukee Bucks,3-2,ATL
1988,Eastern,Conf Semis,Boston Celtics (1),-500.0,Atlanta Hawks (4),300.0,Boston Celtics,4-3,ATL
1988,Eastern,Round 1,Atlanta Hawks (4),-450.0,Milwaukee Bucks (5),300.0,Atlanta Hawks,3-2,ATL
1987,Eastern,Conf Semis,Atlanta Hawks (2),,Detroit Pistons (3),,Detroit Pistons,4-1,ATL
1987,Eastern,Round 1,Atlanta Hawks (2),,Indiana Pacers (7),,Atlanta Hawks,3-1,ATL
1986,Eastern,Conf Semis,Boston Celtics (1),,Atlanta Hawks (4),,Boston Celtics,4-1,ATL
1986,Eastern,Round 1,Atlanta Hawks (4),,Detroit Pistons (5),,Atlanta Hawks,3-1,ATL
1984,Eastern,Round 1,Milwaukee Bucks (2),,Atlanta Hawks (7),,Milwaukee Bucks,3-2,ATL
1983,Eastern,Round 1,Boston Celtics (3),,Atlanta Hawks (6),,Boston Celtics,2-1,ATL
1982,Eastern,Round 1,Philadelphia 76ers (3),,Atlanta Hawks (6),,Philadelphia 76ers,2-0,ATL
1980,Eastern,Conf Semis,Philadelphia 76ers (3),-120.0,Atlanta Hawks (2),100.0,Philadelphia 76ers,4-1,ATL
1979,Eastern,Conf Semis,Washington Bullets (1),,Atlanta Hawks (5),,Washington Bullets,4-3,ATL
1979,Eastern,Round 1,Houston Rockets (4),-160.0,Atlanta Hawks (5),140.0,Atlanta Hawks,2-0,ATL
1978,Eastern,Round 1,Washington Bullets (3),,Atlanta Hawks (6),,Washington Bullets,2-0,ATL
1973,Eastern,Conf Semis,Boston Celtics (1),,Atlanta Hawks (4),,Boston Celtics,4-2,ATL
1972,Eastern,Conf Semis,Boston Celtics (1),,Atlanta Hawks (4),,Boston Celtics,4-2,ATL
1971,Eastern,Conf Semis,New York Knicks (1),,Atlanta Hawks (4),,New York Knicks,4-1,ATL
1970,Western,Conf Finals,Atlanta Hawks (1),,Los Angeles Lakers (2),,Los Angeles Lakers,4-0,ATL
1970,Western,Conf Semis,Atlanta Hawks (1),,Chicago Bulls (3),,Atlanta Hawks,4-1,ATL
1969,Western,Conf Finals,Los Angeles Lakers (1),,Atlanta Hawks (2),,Los Angeles Lakers,4-1,ATL
1969,Western,Conf Semis,Atlanta Hawks (2),,San Francisco Warriors (4),,Atlanta Hawks,4-2,ATL
2024,,NBA Finals,Boston Celtics (1),-225.0,Dallas Mavericks (5),190.0,Boston Celtics,4-1,BOS
2024,Eastern,Conf Finals,Boston Celtics (1),-900.0,Indiana Pacers (6),600.0,Boston Celtics,4-0,BOS
2024,Eastern,Conf Semis,Boston Celtics (1),-2500.0,Cleveland Cavaliers (4),1100.0,Boston Celtics,4-1,BOS
2024,Eastern,Round 1,Boston Celtics (1),-10000.0,Miami Heat (8),2000.0,Boston Celtics,4-1,BOS
2023,Eastern,Conf Finals,Boston Celtics (2),-550.0,Miami Heat (8),400.0,Miami Heat,4-3,BOS
2023,Eastern,Conf Semis,Boston Celtics (2),-550.0,Philadelphia 76ers (3),425.0,Boston Celtics,4-3,BOS
2023,Eastern,Round 1,Boston Celtics (2),-1600.0,Atlanta Hawks (7),900.0,Boston Celtics,4-2,BOS
2022,,NBA Finals,Golden State Warriors (3),-145.0,Boston Celtics (2),125.0,Golden State Warriors,4-2,BOS
2022,Eastern,Conf Finals,Miami Heat (1),140.0,Boston Celtics (2),-160.0,Boston Celtics,4-3,BOS
2022,Eastern,Conf Semis,Boston Celtics (2),-200.0,Milwaukee Bucks (3),170.0,Boston Celtics,4-3,BOS
2022,Eastern,Round 1,Boston Celtics (2),-130.0,Brooklyn Nets (7),110.0,Boston Celtics,4-0,BOS
2021,Eastern,Round 1,Brooklyn Nets (2),-1400.0,Boston Celtics (7),800.0,Brooklyn Nets,4-1,BOS
2020,Eastern,Conf Finals,Boston Celtics (2),-130.0,Miami Heat (5),110.0,Miami Heat,4-2,BOS
2020,Eastern,Conf Semis,Toronto Raptors (2),-135.0,Boston Celtics (3),115.0,Boston Celtics,4-3,BOS
2020,Eastern,Round 1,Boston Celtics (3),-450.0,Philadelphia 76ers (6),360.0,Boston Celtics,4-0,BOS
2019,Eastern,Conf Semis,Milwaukee Bucks (1),-360.0,Boston Celtics (4),300.0,Milwaukee Bucks,4-1,BOS
2019,Eastern,Round 1,Boston Celtics (4),-465.0,Indiana Pacers (5),370.0,Boston Celtics,4-0,BOS
2018,Eastern,Conf Finals,Boston Celtics (2),235.0,Cleveland Cavaliers (4),-275.0,Cleveland Cavaliers,4-3,BOS
2018,Eastern,Conf Semis,Boston Celtics (2),415.0,Philadelphia 76ers (3),-525.0,Boston Celtics,4-1,BOS
2018,Eastern,Round 1,Boston Celtics (2),-150.0,Milwaukee Bucks (7),130.0,Boston Celtics,4-3,BOS
2017,Eastern,Conf Finals,Boston Celtics (1),500.0,Cleveland Cavaliers (2),-700.0,Cleveland Cavaliers,4-1,BOS
2017,Eastern,Conf Semis,Boston Celtics (1),-185.0,Washington Wizards (4),160.0,Boston Celtics,4-3,BOS
2017,Eastern,Round 1,Boston Celtics (1),-470.0,Chicago Bulls (8),375.0,Boston Celtics,4-2,BOS
2016,Eastern,Round 1,Atlanta Hawks (4),-165.0,Boston Celtics (5),145.0,Atlanta Hawks,4-2,BOS
2015,Eastern,Round 1,Cleveland Cavaliers (2),-5000.0,Boston Celtics (7),2100.0,Cleveland Cavaliers,4-0,BOS
2013,Eastern,Round 1,New York Knicks (2),-410.0,Boston Celtics (7),320.0,New York Knicks,4-2,BOS
2012,Eastern,Conf Finals,Miami Heat (2),-530.0,Boston Celtics (4),400.0,Miami Heat,4-3,BOS
2012,Eastern,Conf Semis,Boston Celtics (4),-205.0,Philadelphia 76ers (8),175.0,Boston Celtics,4-3,BOS
2012,Eastern,Round 1,Atlanta Hawks (4),160.0,Boston Celtics (5),-190.0,Boston Celtics,4-2,BOS
2011,Eastern,Conf Semis,Miami Heat (2),-190.0,Boston Celtics (3),165.0,Miami Heat,4-1,BOS
2011,Eastern,Round 1,Boston Celtics (3),-350.0,New York Knicks (6),250.0,Boston Celtics,4-0,BOS
2010,,NBA Finals,Los Angeles Lakers (1),-190.0,Boston Celtics (4),165.0,Los Angeles Lakers,4-3,BOS
2010,Eastern,Conf Finals,Orlando Magic (2),-260.0,Boston Celtics (4),220.0,Boston Celtics,4-2,BOS
2010,Eastern,Conf Semis,Cleveland Cavaliers (1),-480.0,Boston Celtics (4),380.0,Boston Celtics,4-2,BOS
2010,Eastern,Round 1,Boston Celtics (4),-175.0,Miami Heat (5),155.0,Boston Celtics,4-1,BOS
2009,Eastern,Conf Semis,Boston Celtics (2),-120.0,Orlando Magic (3),100.0,Orlando Magic,4-3,BOS
2009,Eastern,Round 1,Boston Celtics (2),-545.0,Chicago Bulls (7),405.0,Boston Celtics,4-3,BOS
2008,,NBA Finals,Boston Celtics (1),160.0,Los Angeles Lakers (1),-180.0,Boston Celtics,4-2,BOS
2008,Eastern,Conf Finals,Boston Celtics (1),-135.0,Detroit Pistons (2),115.0,Boston Celtics,4-2,BOS
2008,Eastern,Conf Semis,Boston Celtics (1),-900.0,Cleveland Cavaliers (4),600.0,Boston Celtics,4-3,BOS
2008,Eastern,Round 1,Boston Celtics (1),-8000.0,Atlanta Hawks (8),4000.0,Boston Celtics,4-3,BOS
2005,Eastern,Round 1,Boston Celtics (3),-135.0,Indiana Pacers (6),115.0,Indiana Pacers,4-3,BOS
2004,Eastern,Round 1,Indiana Pacers (1),-1980.0,Boston Celtics (8),1520.0,Indiana Pacers,4-0,BOS
2003,Eastern,Conf Semis,New Jersey Nets (2),-380.0,Boston Celtics (6),320.0,New Jersey Nets,4-0,BOS
2003,Eastern,Round 1,Indiana Pacers (3),-340.0,Boston Celtics (6),280.0,Boston Celtics,4-2,BOS
2002,Eastern,Conf Finals,New Jersey Nets (1),-135.0,Boston Celtics (3),115.0,New Jersey Nets,4-2,BOS
2002,Eastern,Conf Semis,Detroit Pistons (2),-125.0,Boston Celtics (3),105.0,Boston Celtics,4-1,BOS
2002,Eastern,Round 1,Boston Celtics (3),-200.0,Philadelphia 76ers (6),170.0,Boston Celtics,3-2,BOS
1995,Eastern,Round 1,Orlando Magic (1),-950.0,Boston Celtics (8),650.0,Orlando Magic,3-1,BOS
1993,Eastern,Round 1,Boston Celtics (4),-165.0,Charlotte Hornets (5),145.0,Charlotte Hornets,3-1,BOS
1992,Eastern,Conf Semis,Cleveland Cavaliers (3),-170.0,Boston Celtics (2),130.0,Cleveland Cavaliers,4-3,BOS
1992,Eastern,Round 1,Boston Celtics (2),-550.0,Indiana Pacers (7),350.0,Boston Celtics,3-0,BOS
1991,Eastern,Conf Semis,Boston Celtics (2),-270.0,Detroit Pistons (3),210.0,Detroit Pistons,4-2,BOS
1991,Eastern,Round 1,Boston Celtics (2),-900.0,Indiana Pacers (7),600.0,Boston Celtics,3-2,BOS
1990,Eastern,Round 1,Boston Celtics (4),-450.0,New York Knicks (5),325.0,New York Knicks,3-2,BOS
