TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Indiana Pacers,9,9,28.1,116,231,50.2,59.3,14.9,74,122,60.7,13.3,42,109,38.5
Detroit Pistons,9,9,29.1,109,230,47.4,55.4,15.4,72,122,59.0,13.7,37,108,34.3
Brooklyn Nets,8,8,30.8,100,227,44.1,54.4,13.3,53,98,54.1,17.5,47,129,36.4
Milwaukee Bucks,8,8,26.7,93,196,47.4,55.4,13.4,62,98,63.3,13.4,31,98,31.6
New Orleans Pelicans,8,8,26.7,83,195,42.6,51.3,11.4,49,83,59.0,15.4,34,112,30.4
Cleveland Cavaliers,8,8,27.2,81,194,41.8,49.5,14.7,51,105,48.6,12.5,30,89,33.7
Minnesota Timberwolves,7,7,30.4,78,192,40.6,48.4,14.2,48,90,53.3,16.1,30,102,29.4
Utah Jazz,9,9,23.8,102,191,53.4,62.6,12.5,67,100,67.0,11.3,35,91,38.5
Los Angeles Lakers,8,8,24.7,85,186,45.7,54.3,12.8,53,96,55.2,12.0,32,90,35.6
Phoenix Suns,8,8,25.2,74,186,39.8,47.3,11.9,46,88,52.3,13.3,28,98,28.6
San Antonio Spurs,8,8,24.6,96,183,52.5,62.6,12.1,59,90,65.6,12.5,37,93,39.8
Houston Rockets,7,7,30.5,72,183,39.3,46.7,14.2,45,85,52.9,16.3,27,98,27.6
Oklahoma City Thunder,8,8,24.5,81,182,44.5,54.4,10.2,45,76,59.2,14.3,36,106,34.0
New York Knicks,8,8,27.2,68,180,37.8,47.2,11.2,34,74,45.9,16.0,34,106,32.1
Atlanta Hawks,7,7,28.5,87,179,48.6,57.8,14.0,54,88,61.4,14.5,33,91,36.3
Boston Celtics,7,7,27.1,73,177,41.2,46.9,14.4,53,94,56.4,12.7,20,83,24.1
Memphis Grizzlies,8,8,25.2,85,173,49.1,61.3,9.9,43,68,63.2,15.3,42,105,40.0
Dallas Mavericks,7,7,27.1,85,171,49.7,57.0,15.4,60,97,61.9,11.7,25,74,33.8
Chicago Bulls,8,8,24.9,62,171,36.3,44.7,9.8,33,67,49.3,15.2,29,104,27.9
Washington Wizards,7,7,26.6,79,170,46.5,55.9,12.0,47,77,61.0,14.5,32,93,34.4
Miami Heat,8,8,24.5,73,170,42.9,51.8,10.8,43,75,57.3,13.7,30,95,31.6
Golden State Warriors,8,8,23.7,71,167,42.5,51.5,11.2,41,79,51.9,12.5,30,88,34.1
LA Clippers,7,7,25.8,66,160,41.3,49.4,12.1,40,75,53.3,13.7,26,85,30.6
Toronto Raptors,7,7,24.9,67,158,42.4,50.0,13.7,43,87,49.4,11.2,24,71,33.8
Denver Nuggets,7,7,25.1,74,156,47.4,55.1,11.4,50,71,70.4,13.7,24,85,28.2
Charlotte Hornets,7,7,24.6,71,155,45.8,53.5,11.9,47,75,62.7,12.7,24,80,30.0
Philadelphia 76ers,7,7,24.0,72,148,48.6,57.4,13.3,46,82,56.1,10.7,26,66,39.4
Orlando Magic,7,7,25.1,65,148,43.9,55.1,10.0,32,59,54.2,15.1,33,89,37.1
Portland Trail Blazers,7,7,23.1,66,143,46.2,53.8,12.4,44,77,57.1,10.6,22,66,33.3
Sacramento Kings,6,6,26.0,60,135,44.4,54.4,12.3,33,64,51.6,13.7,27,71,38.0
