Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Atlanta Hawks,82,48,34,19830,3520,590,1343,43.9,365,468,78.0,1592,45.2,1275,36.2,336,9.5,262,7.4,240,6.8
Boston Celtics,81,47,34,19540,3051,591,1371,43.1,387,478,81.0,1608,52.7,891,29.2,282,9.2,195,6.4,245,8.0
Brooklyn Nets,82,21,61,19755,2945,507,1150,44.1,273,360,75.8,1314,44.6,1035,35.1,334,11.3,193,6.6,181,6.1
Charlotte Hornets,82,48,34,19855,3090,552,1275,43.3,383,482,79.5,1522,49.3,1017,32.9,272,8.8,222,7.2,245,7.9
Chicago Bulls,82,42,40,19905,3195,648,1499,43.2,314,394,79.7,1653,51.7,941,29.5,266,8.3,223,7.0,200,6.3
Cleveland Cavaliers,82,57,25,19855,2894,562,1272,44.2,285,374,76.2,1443,49.9,910,31.4,276,9.5,178,6.2,191,6.6
Dallas Mavericks,82,42,40,20005,3258,619,1337,46.3,276,359,76.9,1544,47.4,1136,34.9,338,10.4,204,6.3,185,5.7
Denver Nuggets,82,33,49,19830,3290,483,1240,39.0,359,461,77.9,1353,41.1,1153,35.0,358,10.9,232,7.1,235,7.1
Detroit Pistons,82,44,38,19880,3137,626,1416,44.2,309,404,76.5,1611,51.4,959,30.6,273,8.7,238,7.6,208,6.6
Golden State Warriors,82,73,9,19880,2160,484,995,48.6,265,338,78.4,1279,59.2,612,28.3,200,9.3,147,6.8,173,8.0
Houston Rockets,82,41,41,19830,3402,558,1286,43.4,416,512,81.3,1570,46.1,1206,35.4,338,9.9,253,7.4,258,7.6
Indiana Pacers,82,45,37,19880,2449,427,1001,42.7,317,396,80.1,1204,49.2,771,31.5,238,9.7,174,7.1,204,8.3
LA Clippers,82,53,29,19830,2593,521,1128,46.2,284,357,79.6,1357,52.3,802,30.9,270,10.4,163,6.3,185,7.1
Los Angeles Lakers,82,17,65,19730,2666,558,1300,42.9,310,410,75.6,1473,55.3,726,27.2,208,7.8,169,6.3,209,7.8
Memphis Grizzlies,82,42,40,19830,2610,516,1220,42.3,358,446,80.3,1432,54.9,781,29.9,196,7.5,147,5.6,226,8.7
Miami Heat,82,48,34,19830,3659,676,1410,47.9,369,476,77.5,1755,48.0,1309,35.8,404,11.0,226,6.2,241,6.6
Milwaukee Bucks,82,33,49,19830,3249,578,1318,43.9,298,412,72.3,1493,46.0,1129,34.7,323,9.9,216,6.6,210,6.5
Minnesota Timberwolves,82,29,53,19880,2630,476,1065,44.7,382,482,79.3,1374,52.2,822,31.3,254,9.7,198,7.5,245,9.3
New Orleans Pelicans,82,30,52,19780,3604,662,1489,44.5,350,441,79.4,1733,48.1,1247,34.6,359,10.0,212,5.9,223,6.2
New York Knicks,82,32,50,19805,1862,335,792,42.3,265,329,80.5,976,52.4,567,30.5,180,9.7,125,6.7,165,8.9
Oklahoma City Thunder,82,55,27,19830,3117,536,1171,45.8,363,449,80.8,1475,47.3,1072,34.4,362,11.6,237,7.6,229,7.3
Orlando Magic,81,35,46,19640,3168,574,1335,43.0,330,434,76.0,1520,48.0,1004,31.7,327,10.3,230,7.3,220,6.9
Philadelphia 76ers,82,10,72,19805,4158,617,1470,42.0,339,489,69.3,1606,38.6,1595,38.4,442,10.6,334,8.0,248,6.0
Phoenix Suns,82,23,59,19705,2843,519,1207,43.0,311,405,76.8,1383,48.6,916,32.2,228,8.0,220,7.7,204,7.2
Portland Trail Blazers,82,44,38,19805,3090,599,1377,43.5,375,460,81.5,1614,52.2,917,29.7,265,8.6,217,7.0,235,7.6
Sacramento Kings,81,33,48,19565,3274,568,1320,43.0,341,466,73.2,1517,46.3,1058,32.3,328,10.0,248,7.6,237,7.2
San Antonio Spurs,82,67,15,19705,3043,530,1139,46.5,274,333,82.3,1362,44.8,1136,37.3,347,11.4,189,6.2,168,5.5
Toronto Raptors,81,55,26,19515,4008,764,1686,45.3,494,609,81.1,2071,51.7,1299,32.4,370,9.2,253,6.3,310,7.7
Utah Jazz,82,40,42,19955,3730,622,1467,42.4,422,534,79.0,1705,45.7,1291,34.6,342,9.2,270,7.2,269,7.2
Washington Wizards,82,41,41,19755,2891,488,1089,44.8,321,426,75.4,1341,46.4,978,33.8,335,11.6,210,7.3,216,7.5
