TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,round,year
Boston Celtics,7,7,8.7,21,47,44.7,44.7,8.3,21,45,46.7,0.4,0,2,0.0,very_tight,3,2022
Miami Heat,7,7,6.4,15,39,38.5,39.7,5.4,14,33,42.4,1.0,1,6,16.7,very_tight,3,2022
Golden State Warriors,5,5,7.4,10,31,32.3,32.3,7.4,10,31,32.3,0.0,0,0,-,very_tight,3,2022
Dallas Mavericks,5,5,5.7,12,23,52.2,52.2,5.7,12,23,52.2,0.0,0,0,-,very_tight,3,2022
Miami Heat,7,7,45.4,131,276,47.5,50.5,36.8,114,224,50.9,8.6,17,52,32.7,tight,3,2022
Boston Celtics,7,7,42.9,109,231,47.2,50.6,33.4,93,180,51.7,9.5,16,51,31.4,tight,3,2022
Golden State Warriors,5,5,44.4,107,185,57.8,60.5,38.8,97,162,59.9,5.5,10,23,43.5,tight,3,2022
Dallas Mavericks,5,5,29.3,55,118,46.6,48.7,25.6,50,103,48.5,3.7,5,15,33.3,tight,3,2022
Miami Heat,7,7,29.8,60,181,33.1,39.0,14.3,39,87,44.8,15.5,21,94,22.3,open,3,2022
Boston Celtics,7,7,32.5,80,175,45.7,56.6,12.2,42,66,63.6,20.2,38,109,34.9,open,3,2022
Dallas Mavericks,5,5,32.5,54,131,41.2,52.7,10.4,24,42,57.1,22.1,30,89,33.7,open,3,2022
Golden State Warriors,5,5,29.5,63,123,51.2,61.4,12.9,38,54,70.4,16.5,25,69,36.2,open,3,2022
Dallas Mavericks,5,5,32.5,55,131,42.0,59.9,3.0,8,12,66.7,29.5,47,119,39.5,wide_open,3,2022
Miami Heat,7,7,18.4,47,112,42.0,57.1,3.5,13,21,61.9,15.0,34,91,37.4,wide_open,3,2022
Boston Celtics,7,7,16.0,34,86,39.5,56.4,1.9,5,10,50.0,14.1,29,76,38.2,wide_open,3,2022
Golden State Warriors,5,5,18.7,36,78,46.2,61.5,4.1,12,17,70.6,14.6,24,61,39.3,wide_open,3,2022
