,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%
12528,F,LeBron James,Cleveland Cavaliers,20,32.9,230,161,0.7,128.0,63,191,33.0,34.3,7.8,10.0,8.7,36.1,2015,iso,,,,,,,
12529,G,James Harden,Houston Rockets,17,27.6,124,114,0.919,62.0,37,99,37.4,44.9,10.5,10.5,6.5,39.5,2015,iso,,,,,,,
12530,G,Stephen Curry,Golden State Warriors,21,13.5,77,83,1.078,32.0,27,59,45.8,50.8,7.8,18.2,14.3,50.6,2015,iso,,,,,,,
12531,G,Jamal Crawford,Los Angeles Clippers,14,20.5,44,33,0.75,25.0,13,38,34.2,38.2,9.1,4.5,4.5,34.1,2015,iso,,,,,,,
12532,G,Kyrie Irving,Cleveland Cavaliers,13,18.8,44,41,0.932,24.0,14,38,36.8,43.4,2.3,13.6,11.4,43.2,2015,iso,,,,,,,
12533,G,Derrick Rose,Chicago Bulls,12,13.7,40,38,0.95,21.0,16,37,43.2,48.6,5.0,2.5,2.5,42.5,2015,iso,,,,,,,
12534,G,Chris Paul,Los Angeles Clippers,12,16.3,39,43,1.103,16.0,17,33,51.5,57.6,7.7,10.3,7.7,51.3,2015,iso,,,,,,,
12535,G,Jeff Teague,Atlanta Hawks,16,11.7,36,31,0.861,18.0,12,30,40.0,41.7,5.6,11.1,8.3,44.4,2015,iso,,,,,,,
12536,G,JR Smith,Cleveland Cavaliers,18,15.2,35,32,0.914,21.0,13,34,38.2,47.1,2.9,2.9,2.9,37.1,2015,iso,,,,,,,
12537,GF,Jimmy Butler,Chicago Bulls,12,11.3,30,22,0.733,16.0,9,25,36.0,42.0,13.3,3.3,3.3,33.3,2015,iso,,,,,,,
12538,G,Klay Thompson,Golden State Warriors,21,7.1,28,26,0.929,14.0,11,25,44.0,48.0,7.1,3.6,3.6,42.9,2015,iso,,,,,,,
12539,F,Zach Randolph,Memphis Grizzlies,11,13.5,28,30,1.071,12.0,12,24,50.0,50.0,3.6,10.7,10.7,53.6,2015,iso,,,,,,,
12540,FG,Iman Shumpert,Cleveland Cavaliers,20,13.7,27,22,0.815,10.0,8,18,44.4,44.4,18.5,14.8,11.1,40.7,2015,iso,,,,,,,
12541,G,Austin Rivers,Los Angeles Clippers,14,19.4,24,24,1.0,8.0,10,18,55.6,61.1,20.8,8.3,8.3,45.8,2015,iso,,,,,,,
12542,FC,Anthony Davis,New Orleans Pelicans,4,19.7,23,21,0.913,9.0,9,18,50.0,50.0,17.4,8.7,8.7,43.5,2015,iso,,,,,,,
12543,G,DeMar DeRozan,Toronto Raptors,4,24.0,23,22,0.957,12.0,10,22,45.5,45.5,4.3,8.7,8.7,43.5,2015,iso,,,,,,,
12544,F,Blake Griffin,Los Angeles Clippers,14,6.0,22,17,0.773,11.0,7,18,38.9,41.7,13.6,4.5,4.5,36.4,2015,iso,,,,,,,
12545,G,Damian Lillard,Portland Trail Blazers,5,18.2,22,19,0.864,10.0,6,16,37.5,37.5,9.1,22.7,22.7,45.5,2015,iso,,,,,,,
12546,F,Paul Millsap,Atlanta Hawks,16,7.9,22,15,0.682,13.0,5,18,27.8,27.8,4.5,13.6,9.1,36.4,2015,iso,,,,,,,
12547,G,John Wall,Washington Wizards,7,13.8,21,17,0.81,11.0,5,16,31.3,34.4,9.5,19.0,14.3,38.1,2015,iso,,,,,,,
12548,G,Joe Johnson,Brooklyn Nets,6,18.2,20,21,1.05,10.0,7,17,41.2,44.1,0.0,15.0,15.0,50.0,2015,iso,,,,,,,
12549,F,Josh Smith,Houston Rockets,17,7.5,20,13,0.65,10.0,5,15,33.3,36.7,15.0,10.0,10.0,35.0,2015,iso,,,,,,,
12550,GF,Giannis Antetokounmpo,Milwaukee Bucks,6,20.7,19,9,0.474,11.0,2,13,15.4,15.4,15.8,15.8,10.5,26.3,2015,iso,,,,,,,
12551,G,Dennis Schroder,Atlanta Hawks,16,9.2,17,16,0.941,8.0,6,14,42.9,42.9,5.9,11.8,5.9,47.1,2015,iso,,,,,,,
12552,F,Harrison Barnes,Golden State Warriors,21,7.2,17,19,1.118,8.0,9,17,52.9,52.9,0.0,11.8,11.8,52.9,2015,iso,,,,,,,
