PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,year
Al Horford,BOS,36,C-F,23,23,100,181,438,41.3,49.3,-8.0,2022
Draymond Green,GSW,32,F,21,21,100,133,344,38.7,49.2,-10.6,2022
Andrew Wiggins,GSW,27,F,21,21,100,145,336,43.2,46.0,-2.9,2022
Grant Williams,BOS,23,F,24,24,100,141,317,44.5,49.0,-4.5,2022
Jaylen Brown,BOS,25,G-F,24,24,100,126,265,47.5,47.4,0.2,2022
Jayson Tatum,BOS,24,F-G,24,24,100,109,262,41.6,46.8,-5.2,2022
Marcus Smart,BOS,28,G,21,21,100,107,259,41.3,47.8,-6.5,2022
Max Strus,MIA,26,G-F,18,18,100,112,249,45.0,46.3,-1.4,2022
Dorian Finney-Smith,DAL,29,F,17,17,100,100,241,41.5,48.0,-6.5,2022
Luka Doncic,DAL,23,F-G,14,14,100,113,236,47.9,48.4,-0.5,2022
Stephen Curry,GSW,34,G,21,21,100,88,232,37.9,45.4,-7.5,2022
Kevon Looney,GSW,26,F,21,21,100,94,228,41.2,47.5,-6.3,2022
Joel Embiid,PHI,28,C-F,10,10,100,96,222,43.2,47.3,-4.1,2022
Derrick White,BOS,27,G,23,23,100,87,217,40.1,46.5,-6.4,2022
Deandre Ayton,PHX,23,C,13,13,100,87,215,40.5,48.2,-7.7,2022
Brook Lopez,MIL,34,C,12,12,100,89,212,42.0,48.4,-6.4,2022
Reggie Bullock,DAL,31,G-F,17,17,100,109,212,51.4,46.7,4.7,2022
Bam Adebayo,MIA,24,C-F,18,18,100,83,207,40.1,48.7,-8.6,2022
Jimmy Butler,MIA,32,F,17,17,100,100,203,49.3,46.4,2.8,2022
Robert Williams III,BOS,24,C-F,17,17,100,88,203,43.3,47.8,-4.5,2022
Maxi Kleber,DAL,30,F,17,17,100,100,203,49.3,50.5,-1.2,2022
Klay Thompson,GSW,32,G,21,21,100,95,202,47.0,47.1,0.0,2022
Jordan Poole,GSW,23,G,21,21,100,100,202,49.5,44.8,4.7,2022
Jalen Brunson,DAL,25,G,17,17,100,92,199,46.2,47.2,-1.0,2022
P.J. Tucker,MIA,37,F,18,18,100,84,185,45.4,46.3,-0.9,2022
Tobias Harris,PHI,29,F,12,12,100,81,173,46.8,47.0,-0.2,2022
Giannis Antetokounmpo,MIL,27,F,12,12,100,72,168,42.9,47.4,-4.6,2022
Jrue Holiday,MIL,32,G,12,12,100,64,166,38.6,46.4,-7.8,2022
James Harden,PHI,32,G,12,12,100,69,162,42.6,46.3,-3.7,2022
Gabe Vincent,MIA,26,G,18,18,100,64,158,40.5,45.7,-5.2,2022
Jaren Jackson Jr.,MEM,22,F-C,12,12,100,60,153,39.2,46.8,-7.5,2022
Spencer Dinwiddie,DAL,29,G,17,17,100,68,152,44.7,46.5,-1.7,2022
Desmond Bane,MEM,24,G,12,12,100,64,151,42.4,44.8,-2.4,2022
Mikal Bridges,PHX,25,F,13,13,100,64,150,42.7,46.6,-4.0,2022
Chris Paul,PHX,37,G,13,13,100,62,150,41.3,47.0,-5.7,2022
Tyrese Maxey,PHI,21,G,12,12,100,63,145,43.4,44.0,-0.5,2022
Cameron Johnson,PHX,26,F,13,13,100,71,144,49.3,46.0,3.3,2022
Dillon Brooks,MEM,26,G-F,10,10,100,57,137,41.6,46.3,-4.7,2022
Ja Morant,MEM,22,G,9,9,100,66,137,48.2,45.7,2.4,2022
Tyler Herro,MIA,22,G,15,15,100,65,133,48.9,46.0,2.9,2022
Jae Crowder,PHX,31,F,13,13,100,63,131,48.1,46.9,1.2,2022
Victor Oladipo,MIA,30,G,15,15,100,63,131,48.1,46.1,2.0,2022
Devin Booker,PHX,25,G,10,10,100,58,128,45.3,46.9,-1.6,2022
Brandon Clarke,MEM,25,F,12,12,100,60,128,46.9,46.5,0.4,2022
Jonas Valanciunas,NOP,30,C,6,6,100,80,123,65.0,55.2,9.8,2022
Pat Connaughton,MIL,29,G,12,12,100,45,121,37.2,45.6,-8.5,2022
Anthony Edwards,MIN,20,G,6,6,100,55,115,47.8,47.4,0.4,2022
Otto Porter Jr.,GSW,29,F,18,18,100,54,114,47.4,47.4,0.0,2022
Dwight Powell,DAL,30,F-C,17,17,100,57,114,50.0,51.1,-1.1,2022
Danny Green,PHI,35,G,12,12,100,52,114,45.6,45.1,0.5,2022
Karl-Anthony Towns,MIN,26,C-F,6,6,100,53,112,47.3,47.5,-0.2,2022
Grayson Allen,MIL,26,G,12,12,100,54,110,49.1,45.1,4.0,2022
Daniel Theis,BOS,30,F-C,16,16,100,45,108,41.7,48.6,-7.0,2022
Payton Pritchard,BOS,24,G,22,22,100,53,106,50.0,45.5,4.5,2022
Nikola Vucevic,CHI,31,C,5,5,100,52,104,50.0,49.4,0.6,2022
Bobby Portis,MIL,27,F,12,12,100,39,104,37.5,48.0,-10.5,2022
