PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj
Aaron Gordon,DEN,75,46,29,2375,2021,2280,188,35,333,458,239,9.3,11.8
Aaron Henry,PHI,6,6,0,17,7,11,0,0,1,2,1,0.0,14.3
Aaron Holiday,PHX,63,34,29,1021,1482,1627,153,25,300,398,192,10.3,13.0
Aaron Nesmith,BOS,52,32,20,574,567,430,22,6,45,49,26,3.9,4.6
Aaron Wiggins,OKC,50,13,37,1209,806,883,68,5,129,168,77,8.4,9.6
Abdel Nader,PHX,14,11,3,145,83,84,7,0,12,20,7,8.4,8.4
Ade Murkey,SAC,1,0,1,1,0,0,0,0,0,0,0,0.0,0.0
Admiral Schofield,ORL,38,10,28,469,559,367,25,1,49,67,29,4.5,5.2
Ahmad Caver,IND,1,0,1,1,1,2,0,0,1,2,1,0.0,100.0
Al Horford,BOS,68,46,22,1974,2664,2110,231,27,380,584,278,8.7,10.4
Alec Burks,NYK,80,36,44,2280,3379,3172,232,22,430,596,275,6.9,8.1
Aleem Ford,ORL,5,2,3,74,67,47,2,0,4,4,2,3.0,3.0
Aleksej Pokusevski,OKC,61,19,42,1233,1714,1485,131,13,241,354,159,7.6,9.3
Alex Caruso,CHI,41,24,17,1147,1669,1403,165,13,277,429,201,9.9,12.0
Alex Len,SAC,39,17,22,620,694,564,45,6,73,118,51,6.5,7.3
Alfonzo McKinnie,CHI,17,8,9,206,153,124,5,0,8,11,5,3.3,3.3
Alize Johnson,NOP,23,14,9,167,190,109,9,5,15,24,15,4.7,7.9
Alperen Sengun,HOU,72,18,54,1489,1878,1842,185,16,350,492,220,9.9,11.7
Amir Coffey,LAC,68,33,35,1541,1372,1389,123,17,219,327,150,9.0,10.9
Andre Drummond,BKN,73,42,31,1437,1493,1228,131,12,211,337,153,8.8,10.2
Andre Iguodala,GSW,30,20,10,583,926,764,107,7,191,275,124,11.6,13.4
Andrew Wiggins,GSW,72,47,25,2298,2049,2480,160,39,337,433,214,7.8,10.4
Anfernee Simons,POR,57,25,32,1681,2404,3008,221,37,479,588,286,9.2,11.9
Anthony Davis,LAL,40,17,23,1404,1783,1797,122,15,239,329,148,6.8,8.3
