PLAYER,TEAM,GP,W,L,MIN,OREB,ContestedOREB,ContestedOREB%,OREBChances,OREBChance%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance
Aaron Gordon,DEN,74,45,29,2348,125,80,64.0,211,59.2,7,61.3,7.3
Aaron Henry,PHI,1,1,0,5,0,0,0.0,0,0.0,0,0.0,0.0
Aaron Holiday,PHX,49,27,22,853,24,6,25.0,59,40.7,3,42.9,15.6
Aaron Nesmith,BOS,32,19,13,440,15,4,26.7,40,37.5,2,39.5,10.1
Aaron Wiggins,OKC,47,12,35,1180,51,24,47.1,122,41.8,7,44.3,7.1
Abdel Nader,PHX,11,9,2,132,4,4,100.0,18,22.2,1,23.5,2.9
Admiral Schofield,ORL,26,6,20,394,17,11,64.7,47,36.2,3,38.6,6.5
Al Horford,BOS,68,46,22,1974,106,69,65.1,215,49.3,13,52.5,7.7
Alec Burks,NYK,80,36,44,2280,45,12,26.7,128,35.2,4,36.3,15.3
Aleem Ford,ORL,4,2,2,67,2,1,50.0,3,66.7,0,66.7,9.2
Aleksej Pokusevski,OKC,58,18,40,1206,73,43,58.9,146,50.0,7,52.5,6.3
Alex Caruso,CHI,39,23,16,1087,33,17,51.5,94,35.1,5,37.1,9.6
Alex Len,SAC,37,16,21,611,52,37,71.2,124,41.9,3,43.0,4.7
Alfonzo McKinnie,CHI,13,6,7,169,13,6,46.2,25,52.0,1,54.2,8.8
Alize Johnson,NOP,16,10,6,142,28,20,71.4,70,40.0,1,40.6,5.6
Alperen Sengun,HOU,71,17,54,1475,138,102,73.9,323,42.7,9,43.9,5.4
Amir Coffey,LAC,57,28,29,1449,26,6,23.1,75,34.7,1,35.1,13.7
Andre Drummond,BKN,73,42,31,1437,229,174,76.0,428,53.5,7,54.4,3.9
Andre Iguodala,GSW,28,18,10,552,21,13,61.9,38,55.3,1,56.8,9.2
Andrew Wiggins,GSW,70,45,25,2235,85,50,58.8,187,45.5,5,46.7,6.8
Anfernee Simons,POR,50,22,28,1498,26,8,30.8,67,38.8,1,39.4,15.8
Anthony Davis,LAL,40,17,23,1404,106,83,78.3,205,51.7,7,53.5,5.1
Anthony Edwards,MIN,69,37,32,2396,62,18,29.0,134,46.3,3,47.3,12.4
Anthony Gill,WAS,31,11,20,424,33,22,66.7,71,46.5,1,47.1,7.2
Anthony Lamb,HOU,1,0,1,4,0,0,0.0,0,0.0,0,0.0,0.0
Armoni Brooks,TOR,40,17,23,724,20,3,15.0,32,62.5,0,62.5,18.8
Austin Reaves,LAL,54,25,29,1326,45,19,42.2,104,43.3,2,44.1,9.4
Austin Rivers,DEN,54,32,22,1279,19,3,15.8,47,40.4,3,43.2,17.6
Avery Bradley,LAL,55,25,30,1303,31,10,32.3,80,38.8,3,40.3,8.9
