PLAYER,TEAM,GP,W,L,MIN,PTS,DrivePTS,DriveFG%,C&SPTS,C&SFG%,Pull UpPTS,Pull UpFG%,PaintTouch PTS,PaintTouch FG%,PostTouch PTS,PostTouch FG%,ElbowTouch PTS,ElbowTouch FG%,eFG%
Aaron Gordon,DEN,75,46,29,31.7,15.0,2.2,53.0,3.2,35.0,1.7,37.0,5.5,70.6,1.4,52.9,1.1,78.0,57.3
Aaron Henry,PHI,6,6,0,2.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,20.0
Aaron Holiday,PHX,63,34,29,16.2,6.3,2.9,46.1,1.1,32.9,1.5,39.2,0.2,63.6,0.0,0.0,0.1,50.0,50.4
Aaron Nesmith,BOS,52,32,20,11.0,3.8,0.8,55.2,1.6,28.7,0.4,32.3,0.3,72.7,0.0,0.0,0.1,66.7,48.1
Aaron Wiggins,OKC,50,13,37,24.2,8.3,2.2,46.0,2.4,32.0,0.2,26.3,1.6,69.2,0.1,100.0,0.3,71.4,52.5
Abdel Nader,PHX,14,11,3,10.4,2.4,0.5,21.4,0.9,36.4,0.0,0.0,0.4,100.0,0.0,0.0,0.0,0.0,40.0
Ade Murkey,SAC,1,0,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,ORL,38,10,28,12.3,3.8,1.0,60.9,1.9,33.8,0.2,33.3,0.4,50.0,0.0,0.0,0.1,40.0,51.9
Ahmad Caver,IND,1,0,1,0.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Al Horford,BOS,68,46,22,29.0,10.2,0.9,62.5,4.4,36.4,0.4,52.4,3.1,66.7,1.1,46.8,0.7,46.5,54.7
Alec Burks,NYK,80,36,44,28.5,11.8,3.0,34.6,3.9,41.6,3.3,36.3,0.2,38.9,0.1,60.0,0.1,30.0,50.4
Aleem Ford,ORL,5,2,3,14.7,2.8,0.8,66.7,1.2,13.3,0.0,0.0,0.4,100.0,0.0,0.0,0.0,0.0,35.0
Aleksej Pokusevski,OKC,61,19,42,20.2,7.6,1.2,38.7,2.6,29.8,0.8,28.0,1.5,59.7,0.0,50.0,0.4,52.4,47.0
Alex Caruso,CHI,41,24,17,28.0,7.4,1.6,41.4,2.7,34.6,1.0,32.1,1.1,62.1,0.0,0.0,0.3,40.0,48.0
Alex Len,SAC,39,17,22,15.9,6.0,0.5,72.7,0.8,34.2,0.1,20.0,4.0,61.1,0.1,16.7,1.6,50.9,55.1
Alfonzo McKinnie,CHI,17,8,9,12.1,3.5,0.4,33.3,1.6,34.6,0.2,20.0,0.9,72.7,0.0,0.0,0.0,0.0,46.7
Alize Johnson,NOP,23,14,9,7.3,1.8,0.0,0.0,0.1,25.0,0.0,0.0,1.3,65.0,0.0,0.0,0.2,100.0,43.6
Alperen Sengun,HOU,72,18,54,20.7,9.6,2.0,41.6,1.3,28.3,0.3,20.5,3.3,64.4,1.7,53.9,1.3,54.2,50.2
Amir Coffey,LAC,68,33,35,22.7,9.0,2.3,53.3,3.8,38.9,1.1,38.2,0.3,56.3,0.0,0.0,0.1,33.3,55.7
Andre Drummond,BKN,73,42,31,19.7,7.9,0.6,41.0,0.0,20.0,0.1,37.5,5.8,62.2,0.6,42.6,0.7,45.2,57.0
Andre Iguodala,GSW,30,20,10,19.4,4.0,0.3,66.7,1.6,25.4,0.2,11.8,0.8,55.6,0.1,25.0,0.2,50.0,44.1
Andrew Wiggins,GSW,72,47,25,31.9,17.2,3.8,48.8,5.7,40.8,3.2,36.2,2.5,63.9,0.9,47.4,0.6,77.3,54.5
Anfernee Simons,POR,57,25,32,29.5,17.3,4.4,50.5,5.8,46.6,6.9,40.6,0.2,44.4,0.0,0.0,0.2,80.0,55.5
Anthony Davis,LAL,40,17,23,35.1,23.2,2.3,61.4,3.0,33.3,2.6,31.6,10.1,69.6,3.4,53.2,3.0,45.5,54.2
Anthony Edwards,MIN,72,39,33,34.3,21.3,6.7,50.0,4.2,41.7,6.1,32.9,0.8,50.0,0.0,33.3,0.6,60.0,52.7
Anthony Gill,WAS,44,15,29,10.5,4.1,0.9,46.7,1.0,55.6,0.0,0.0,1.4,59.5,0.1,100.0,0.5,66.7,63.3
Anthony Lamb,HOU,2,0,2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armoni Brooks,TOR,54,20,34,15.6,5.3,0.6,54.2,2.6,30.1,1.6,28.8,0.2,100.0,0.0,0.0,0.0,0.0,46.7
Arnoldas Kulboka,CHA,2,2,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Reaves,LAL,61,28,33,23.2,7.3,1.9,59.4,2.4,36.2,0.8,32.4,0.9,65.5,0.0,100.0,0.2,55.6,54.2
Austin Rivers,DEN,67,41,26,22.1,6.0,1.7,52.4,3.0,38.3,0.5,19.0,0.2,54.5,0.0,0.0,0.1,66.7,53.0
Avery Bradley,LAL,62,27,35,22.7,6.4,0.3,25.8,3.7,41.4,1.1,36.7,0.9,61.9,0.0,0.0,0.2,62.5,54.0
Ayo Dosunmu,CHI,77,42,35,27.4,8.8,2.0,53.4,2.7,38.3,1.4,50.0,0.6,69.0,0.0,0.0,0.2,57.1,58.5
BJ Johnson,ORL,4,2,2,16.2,6.5,1.0,50.0,4.0,50.0,1.5,50.0,0.5,33.3,0.0,0.0,0.5,50.0,52.0
Bam Adebayo,MIA,56,36,20,32.6,19.1,3.1,58.7,1.2,39.8,1.8,35.3,7.1,67.3,1.9,42.2,2.8,50.4,55.7
Ben McLemore,POR,64,20,44,20.1,10.2,0.5,45.5,6.3,38.1,1.5,34.2,0.6,72.2,0.0,0.0,0.4,75.0,54.1
Bismack Biyombo,PHX,35,29,6,14.1,6.0,0.0,0.0,0.1,12.5,0.0,0.0,4.3,61.3,0.5,72.7,1.6,57.5,60.1
Blake Griffin,BKN,56,29,27,17.1,6.4,0.4,47.4,1.7,25.0,0.5,36.7,2.3,62.7,0.5,52.6,0.9,56.3,48.6
Boban Marjanovic,DAL,23,15,8,5.6,4.3,0.0,0.0,0.5,38.5,0.7,57.1,2.4,59.5,2.1,55.3,0.6,50.0,60.7
Bobby Portis,MIL,72,46,26,28.2,14.6,1.0,48.5,6.3,41.4,1.8,45.3,3.9,56.3,1.0,43.6,0.8,56.0,55.5
Bogdan Bogdanovic,ATL,63,33,30,29.3,15.1,3.7,51.7,5.7,38.9,4.8,42.7,0.4,50.0,0.1,60.0,0.3,71.4,53.7
Bojan Bogdanovic,UTA,69,45,24,30.9,18.1,4.4,50.0,6.4,39.2,2.7,36.2,1.6,65.3,1.0,47.4,0.5,82.4,55.2
Bol Bol,ORL,14,5,9,5.8,2.4,0.5,50.0,0.2,25.0,0.3,28.6,1.0,100.0,0.1,50.0,0.3,100.0,57.4
Bones Hyland,DEN,69,41,28,19.0,10.1,1.5,37.5,3.5,37.8,2.9,36.7,0.3,71.4,0.0,0.0,0.5,85.7,51.8
Brad Wanamaker,WAS,23,10,13,13.9,3.6,1.4,41.9,0.5,44.4,1.0,33.3,0.3,100.0,0.0,0.0,0.2,100.0,39.0
Bradley Beal,WAS,40,17,23,36.0,23.2,10.0,47.3,2.6,28.7,7.4,41.0,1.5,65.8,0.2,50.0,1.1,50.0,49.2
Brandon Boston Jr.,LAC,50,26,24,14.8,6.7,1.2,33.3,1.0,30.9,2.3,34.0,0.7,71.4,0.0,0.0,0.2,57.1,44.1
Brandon Clarke,MEM,63,43,20,19.4,10.4,1.5,56.9,0.7,37.3,0.3,36.0,5.9,72.0,0.1,60.0,2.0,61.1,65.2
Brandon Goodwin,CLE,36,19,17,13.9,4.8,2.1,51.6,0.9,35.5,1.3,36.4,0.3,57.1,0.0,0.0,0.0,0.0,47.7
Brandon Ingram,NOP,54,28,26,34.0,22.5,7.3,51.6,5.4,40.6,7.3,43.6,1.1,66.7,0.8,44.7,1.3,47.5,49.6
Brandon Knight,DAL,5,2,3,12.9,6.4,1.6,80.0,1.8,33.3,0.6,11.1,0.4,0.0,0.0,0.0,0.0,0.0,48.0
Brandon Williams,POR,24,2,22,26.7,12.9,4.8,37.5,2.8,36.5,2.9,31.3,0.3,100.0,0.0,0.0,0.3,60.0,42.7
Braxton Key,DET,11,5,6,17.9,7.2,1.4,53.8,1.4,27.8,0.5,18.2,2.3,57.9,0.2,50.0,0.5,50.0,50.0
Brodric Thomas,BOS,12,8,4,5.0,1.8,0.2,50.0,0.3,16.7,0.3,33.3,0.2,50.0,0.0,0.0,0.0,0.0,50.0
Brook Lopez,MIL,13,10,3,23.0,12.4,0.8,50.0,4.1,32.7,0.6,20.0,4.7,62.8,0.7,37.5,1.0,14.3,53.8
Bruce Brown,BKN,72,37,35,24.6,9.0,1.5,44.4,1.7,37.9,0.2,25.8,2.6,54.5,0.1,100.0,1.1,58.7,54.3
Bruno Fernando,HOU,30,15,15,5.1,2.9,0.5,71.4,0.1,33.3,0.1,100.0,1.7,67.6,0.3,80.0,0.5,70.0,66.4
Bryn Forbes,DEN,75,36,39,17.1,8.8,1.6,45.0,4.3,41.8,2.2,40.1,0.1,50.0,0.0,0.0,0.2,50.0,54.2
Buddy Hield,IND,80,25,55,30.9,15.5,2.3,44.1,6.9,39.2,4.2,34.6,0.6,59.5,0.0,0.0,0.2,58.3,52.2
CJ Elleby,POR,58,17,41,20.2,5.8,1.2,35.5,2.0,31.5,0.3,25.7,1.2,61.2,0.0,0.0,0.3,70.0,45.3
CJ McCollum,NOP,62,28,34,34.6,22.1,6.8,49.3,4.7,44.1,9.9,43.0,0.5,68.2,0.1,100.0,0.4,52.4,53.9
CJ Miles,BOS,1,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cade Cunningham,DET,63,20,43,32.6,17.5,7.8,49.4,3.7,32.4,4.3,35.4,0.7,42.9,0.1,66.7,0.4,57.1,47.4
Caleb Martin,MIA,60,37,23,22.9,9.2,2.0,55.1,2.7,40.3,1.0,40.7,1.5,54.4,0.0,0.0,0.5,50.0,58.5
