PLAYER,TEAM,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID,TEAM_ID
Aaron Gordon,DEN,75,46,29,2375.0,58,157,36.9,15.0,50.0,30.0,41.699999999999996,131,203932,1610612743
Aaron Henry,PHI,6,6,0,17.0,0,2,0.0,0.0,1.0,0.0,0.0,0,1630565,1610612755
Aaron Holiday,PHX,63,34,29,1021.0,41,103,39.800000000000004,13.0,29.0,44.800000000000004,46.1,95,1628988,1610612756
Aaron Nesmith,BOS,52,32,20,574.0,11,33,33.300000000000004,3.0,17.0,17.599999999999998,37.9,25,1630174,1610612738
Aaron Wiggins,OKC,50,13,37,1209.0,5,19,26.3,2.0,10.0,20.0,31.6,12,1630598,1610612760
Abdel Nader,PHX,14,11,3,145.0,0,3,0.0,0.0,3.0,0.0,0.0,0,1627846,1610612756
Ade Murkey,SAC,1,0,1,1.0,0,0,,,,,,0,1630278,1610612758
Admiral Schofield,ORL,38,10,28,469.0,3,9,33.300000000000004,2.0,7.0,28.599999999999998,44.4,8,1629678,1610612753
Ahmad Caver,IND,1,0,1,1.0,0,0,,,,,,0,1629958,1610612754
Al Horford,BOS,69,46,23,2005.0,11,21,52.400000000000006,4.0,4.0,100.0,61.9,26,201143,1610612738
Alec Burks,NYK,81,37,44,2318.0,103,284,36.3,56.0,145.0,38.6,46.1,262,202692,1610612752
Aleem Ford,ORL,5,2,3,74.0,0,0,,0.0,0.0,,,0,1630758,1610612753
Aleksej Pokusevski,OKC,61,19,42,1233.0,23,83,27.700000000000003,5.0,26.0,19.2,30.7,51,1630197,1610612760
Alex Caruso,CHI,41,24,17,1147.0,17,53,32.1,5.0,23.0,21.7,36.8,39,1627936,1610612741
Alex Len,SAC,39,17,22,620.0,1,5,20.0,0.0,0.0,,20.0,2,203458,1610612758
Alfonzo McKinnie,CHI,17,8,9,206.0,2,10,20.0,0.0,2.0,0.0,20.0,4,1628035,1610612741
Alize Johnson,NOP,23,14,9,167.0,0,1,0.0,0.0,0.0,,0.0,0,1628993,1610612740
Alperen Sengun,HOU,72,18,54,1489.0,8,38,21.099999999999998,2.0,16.0,12.5,23.7,18,1630578,1610612745
Amir Coffey,LAC,69,33,36,1567.0,34,89,38.2,10.0,35.0,28.599999999999998,43.8,78,1629599,1610612746
Andre Drummond,BKN,73,42,31,1437.0,3,8,37.5,0.0,2.0,0.0,37.5,6,203083,1610612751
Andre Iguodala,GSW,31,20,11,603.0,2,17,11.799999999999999,1.0,11.0,9.1,14.7,5,2738,1610612744
Andrew Wiggins,GSW,73,47,26,2330.0,102,282,36.199999999999996,24.0,71.0,33.800000000000004,40.400000000000006,228,203952,1610612744
Anfernee Simons,POR,57,25,32,1681.0,161,397,40.6,70.0,208.0,33.7,49.4,392,1629014,1610612757
Anthony Davis,LAL,40,17,23,1404.0,49,157,31.2,2.0,4.0,50.0,31.8,100,203076,1610612747
Anthony Edwards,MIN,72,39,33,2466.0,160,492,32.5,119.0,366.0,32.5,44.6,439,1630162,1610612750
Anthony Gill,WAS,44,15,29,463.0,0,0,,0.0,0.0,,,0,1630264,1610612764
Anthony Lamb,HOU,2,0,2,8.0,0,0,,0.0,0.0,,,0,1630237,1610612745
Armoni Brooks,TOR,54,20,34,844.0,30,104,28.799999999999997,28.0,96.0,29.2,42.3,88,1629717,1610612761
Arnoldas Kulboka,CHA,2,2,0,5.0,0,0,,0.0,0.0,,,0,1629083,1610612766
Austin Reaves,LAL,61,28,33,1418.0,22,68,32.4,5.0,34.0,14.7,36.0,49,1630559,1610612747
Austin Rivers,DEN,67,41,26,1480.0,14,66,21.2,12.0,54.0,22.2,30.3,40,203085,1610612743
Avery Bradley,LAL,62,27,35,1406.0,29,78,37.2,13.0,31.0,41.9,45.5,71,202340,1610612747
Ayo Dosunmu,CHI,77,42,35,2110.0,53,105,50.5,2.0,9.0,22.2,51.4,108,1630245,1610612741
BJ Johnson,ORL,4,2,2,65.0,3,6,50.0,0.0,1.0,0.0,50.0,6,1629168,1610612753
Bam Adebayo,MIA,56,36,20,1825.0,49,139,35.3,0.0,4.0,0.0,35.3,98,1628389,1610612748
Ben McLemore,POR,64,20,44,1285.0,38,111,34.2,22.0,78.0,28.199999999999996,44.1,98,203463,1610612757
Bismack Biyombo,PHX,36,30,6,506.0,0,3,0.0,,,,0.0,0,202687,1610612756
Blake Griffin,BKN,56,29,27,958.0,11,31,35.5,6.0,20.0,30.0,45.2,28,201933,1610612751
Boban Marjanović,DAL,23,15,8,128.0,8,14,57.099999999999994,0.0,0.0,,57.099999999999994,16,1626246,1610612742
Bobby Portis,MIL,72,46,26,2028.0,61,136,44.9,6.0,12.0,50.0,47.099999999999994,128,1626171,1610612749
Bogdan Bogdanović,ATL,63,33,30,1849.0,124,295,42.0,56.0,157.0,35.699999999999996,51.5,304,203992,1610612737
Bojan Bogdanović,UTA,69,45,24,2131.0,76,210,36.199999999999996,37.0,98.0,37.8,45.0,189,202711,1610612762
Bol Bol,ORL,14,5,9,81.0,2,8,25.0,0.0,0.0,,25.0,4,1629626,1610612753
