Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Marvin Barnes,22,SSL,,14,30,0.467,77,39.9,24.0,15.6,3.2,1.2,1.8,0.498,0.0,0.67,8.6,0.133,1975,abaroy
2,Bobby Jones,23,DNA,,13,30,0.433,84,32.2,14.8,8.2,3.6,2.0,1.8,0.604,0.0,0.695,10.2,0.181,1975,abaroy
3,Moses Malone,19,UTS,,3,30,0.1,83,38.6,18.8,14.6,1.0,1.0,1.5,0.571,0.0,0.635,10.2,0.153,1975,abaroy
