# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,Rick Barry,21.0,SFW,9.0,9.0,1.0,,,80.0,37.4,25.7,10.6,2.2,,,0.439,,0.862,10.4,0.167,1966,all-rookie
1st,Billy Cunningham,22.0,PHI,8.0,9.0,0.889,,,80.0,26.7,14.3,7.5,2.6,,,0.426,,0.634,5.0,0.112,1966,all-rookie
1st,Tom Van Arsdale,22.0,DET,6.0,9.0,0.667,,,79.0,25.8,10.5,3.9,2.6,,,0.374,,0.721,1.4,0.033,1966,all-rookie
1st,Fred Hetzel,23.0,SFW,5.0,9.0,0.556,,,56.0,12.9,6.8,5.2,0.5,,,0.399,,0.685,0.5,0.034,1966,all-rookie
1st,Dick Van Arsdale,22.0,NYK,5.0,9.0,0.556,,,79.0,29.0,12.3,4.8,2.3,,,0.428,,0.715,2.6,0.055,1966,all-rookie
,,,,,,,,,,,,,,,,,,,,,1966,all-rookie
ORV,Joe Strawder,25.0,DET,4.0,9.0,0.444,,,79.0,27.6,8.6,10.4,1.0,,,0.408,,0.688,3.6,0.078,1966,all-rookie
ORV,Jon McGlocklin,22.0,CIN,3.0,9.0,0.333,,,72.0,11.8,5.1,1.8,1.2,,,0.421,,0.785,0.9,0.049,1966,all-rookie
ORV,Gail Goodrich,22.0,LAL,2.0,9.0,0.222,,,65.0,15.5,7.8,2.0,1.6,,,0.404,,0.691,0.7,0.031,1966,all-rookie
ORV,Jerry Sloan,23.0,BAL,2.0,9.0,0.222,,,59.0,16.1,5.7,3.9,1.9,,,0.415,,0.705,1.4,0.072,1966,all-rookie
ORV,Dave Stallworth,24.0,NYK,1.0,9.0,0.111,,,80.0,23.7,12.6,6.2,2.3,,,0.455,,0.686,3.7,0.095,1966,all-rookie
