Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Lenny Wilkens,ATL,71,71,101,0.703,82,57,25,0.695,1994,coy
2,Phil Jackson,CHI,16,16,101,0.158,82,55,27,0.671,1994,coy
3,George Karl,SEA,8,8,101,0.079,82,63,19,0.768,1994,coy
4,Rudy Tomjanovich,HOU,3,3,101,0.03,82,58,24,0.707,1994,coy
5T,Chuck Daly,NJN,1,1,101,0.01,82,45,37,0.549,1994,coy
5T,Don Nelson,GSW,1,1,101,0.01,82,50,32,0.61,1994,coy
5T,Pat Riley,NYK,1,1,101,0.01,82,57,25,0.695,1994,coy
