Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Oscar Robertson,25,CIN,60,362,480,0.754,79,45.1,31.4,9.9,11.0,,,0.483,,0.853,20.6,0.278,1964,mvp
2,Wilt Chamberlain,27,SFW,19,215,480,0.448,80,46.1,36.9,22.3,5.0,,,0.524,,0.531,25.0,0.325,1964,mvp
3,Bill Russell,29,BOS,11,167,480,0.348,78,44.6,15.0,24.7,4.7,,,0.433,,0.55,17.3,0.238,1964,mvp
4,Bob Pettit,31,STL,4,69,480,0.144,80,41.2,27.4,15.3,3.2,,,0.463,,0.789,14.9,0.217,1964,mvp
5,Jerry West,25,LAL,2,39,480,0.081,72,40.4,28.7,6.0,5.6,,,0.484,,0.832,14.0,0.232,1964,mvp
6T,Elgin Baylor,29,LAL,0,3,480,0.006,78,40.6,25.4,12.0,4.4,,,0.425,,0.804,7.2,0.109,1964,mvp
6T,Hal Greer,27,PHI,0,3,480,0.006,80,39.5,23.3,6.1,4.7,,,0.444,,0.829,8.1,0.124,1964,mvp
6T,Gus Johnson,25,BAL,0,3,480,0.006,78,36.5,17.3,13.6,2.2,,,0.43,,0.658,3.5,0.06,1964,mvp
9T,Wayne Embry,26,CIN,0,1,480,0.002,80,36.4,17.3,11.6,1.4,,,0.458,,0.65,6.3,0.104,1964,mvp
9T,Sam Jones,30,BOS,0,1,480,0.002,76,31.3,19.4,4.6,2.7,,,0.45,,0.783,8.9,0.18,1964,mvp
9T,Jerry Lucas,23,CIN,0,1,480,0.002,79,41.4,17.7,17.4,2.6,,,0.527,,0.779,12.7,0.187,1964,mvp
