Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1,Dennis Rodman,29,DET,51,51,96,0.531,82,33.5,8.2,12.5,1.0,0.8,0.7,0.493,0.2,0.631,8.7,0.151,5.2,0.7,101,1991,dpoy
2,David Robinson,25,SAS,18,18,96,0.188,82,37.7,25.6,13.0,2.5,1.5,3.9,0.552,0.143,0.762,17.0,0.264,7.6,3.3,96,1991,dpoy
3,Alvin Robertson,28,MIL,15,15,96,0.156,81,32.1,13.6,5.7,5.5,3.0,0.2,0.485,0.365,0.757,7.7,0.142,4.3,2.8,103,1991,dpoy
4,Joe Dumars,27,DET,3,3,96,0.031,80,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,0.155,3.1,0.1,108,1991,dpoy
5T,Hakeem Olajuwon,28,HOU,2,2,96,0.021,56,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0.0,0.769,8.6,0.201,5.7,4.0,93,1991,dpoy
5T,Buck Williams,30,POR,2,2,96,0.021,80,32.3,11.7,9.4,1.2,0.6,0.6,0.602,,0.705,8.5,0.158,3.9,0.3,104,1991,dpoy
7T,Patrick Ewing,28,NYK,1,1,96,0.01,81,38.3,26.6,11.2,3.0,1.0,3.2,0.514,0.0,0.745,10.0,0.155,5.6,1.7,101,1991,dpoy
7T,Derek Harper,29,DAL,1,1,96,0.01,77,37.4,19.7,3.0,7.1,1.9,0.2,0.467,0.362,0.731,7.6,0.127,2.0,0.0,111,1991,dpoy
7T,Michael Jordan,27,CHI,1,1,96,0.01,82,37.0,31.5,6.0,5.5,2.7,1.0,0.539,0.312,0.851,20.3,0.321,5.4,3.2,102,1991,dpoy
7T,Scottie Pippen,25,CHI,1,1,96,0.01,82,36.8,17.8,7.3,6.2,2.4,1.1,0.52,0.309,0.706,11.2,0.179,5.4,2.5,102,1991,dpoy
7T,John Stockton,28,UTA,1,1,96,0.01,82,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14.0,0.217,4.7,2.5,104,1991,dpoy
