Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Cotton Fitzsimmons,PHO,36.5,36.5,85,0.429,82,55,27,0.671,1989,coy
2,Don Nelson,GSW,26.5,26.5,85,0.312,82,43,39,0.524,1989,coy
3,Lenny Wilkens,CLE,9.0,9.0,85,0.106,82,57,25,0.695,1989,coy
4,Chuck Daly,DET,5.0,5.0,85,0.059,82,63,19,0.768,1989,coy
5,Wes Unseld,WSB,4.0,4.0,85,0.047,82,40,42,0.488,1989,coy
6,Rick Pitino,NYK,2.0,2.0,85,0.024,82,52,30,0.634,1989,coy
7T,Del Harris,MIL,1.0,1.0,85,0.012,82,49,33,0.598,1989,coy
7T,Pat Riley,LAL,1.0,1.0,85,0.012,82,57,25,0.695,1989,coy
