Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Dwane Casey,TOR,39,292,500,0.584,82,59,23,0.72,2018,coy
2,Quin Snyder,UTA,21,217,500,0.434,82,48,34,0.585,2018,coy
3,Brad Stevens,BOS,23,203,500,0.406,82,55,27,0.671,2018,coy
4,Brett Brown,PHI,11,81,500,0.162,82,52,30,0.634,2018,coy
5,Mike D'Antoni,HOU,4,38,500,0.076,82,65,17,0.793,2018,coy
6,Nate McMillan,IND,2,37,500,0.074,82,48,34,0.585,2018,coy
7,Terry Stotts,POR,0,22,500,0.044,82,49,33,0.598,2018,coy
8,Gregg Popovich,SAS,0,6,500,0.012,82,47,35,0.573,2018,coy
9,Alvin Gentry,NOP,0,2,500,0.004,82,48,34,0.585,2018,coy
10T,Doc Rivers,LAC,0,1,500,0.002,82,42,40,0.512,2018,coy
10T,Erik Spoelstra,MIA,0,1,500,0.002,82,44,38,0.537,2018,coy
