Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Don Nelson,MIL,19,19,75,0.253,82,51,31,0.622,1983,coy
2,Cotton Fitzsimmons,KCK,17,17,75,0.227,82,45,37,0.549,1983,coy
3,Billy Cunningham,PHI,15,15,75,0.2,82,65,17,0.793,1983,coy
4,Hubie Brown,NYK,13,13,75,0.173,82,44,38,0.537,1983,coy
5T,Dick Motta,DAL,3,3,75,0.04,82,38,44,0.463,1983,coy
5T,Tom Nissalke,CLE,3,3,75,0.04,82,23,59,0.28,1983,coy
7T,Stan Albeck,SAS,1,1,75,0.013,82,53,29,0.646,1983,coy
7T,Larry Brown,NJN,1,1,75,0.013,76,47,29,0.618,1983,coy
7T,Jack Ramsay,POR,1,1,75,0.013,82,46,36,0.561,1983,coy
7T,Pat Riley,LAL,1,1,75,0.013,82,58,24,0.707,1983,coy
7T,Lenny Wilkens,SEA,1,1,75,0.013,82,48,34,0.585,1983,coy
