# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,F,Dave DeBusschere,31.0,NYK,34.0,34.0,1.0,80.0,38.4,15.4,11.3,3.6,,,0.427,,0.728,4.8,0.075,4.9,,,1972,all-defensive
1st,G,Jerry West,33.0,LAL,30.0,34.0,0.882,77.0,38.6,25.8,4.2,9.7,,,0.477,,0.814,13.3,0.216,4.9,,,1972,all-defensive
1st,G,Walt Frazier,26.0,NYK,25.0,34.0,0.735,77.0,40.6,23.2,6.7,5.8,,,0.512,,0.808,14.5,0.223,4.2,,,1972,all-defensive
1st,G,Jerry Sloan,29.0,CHI,25.0,34.0,0.735,82.0,37.0,16.2,8.4,2.6,,,0.444,,0.66,7.2,0.114,5.9,,,1972,all-defensive
1st,C,Wilt Chamberlain,35.0,LAL,20.0,34.0,0.588,82.0,42.3,14.8,19.2,4.0,,,0.649,,0.422,15.8,0.219,7.9,,,1972,all-defensive
1st,F,John Havlicek,31.0,BOS,19.0,34.0,0.559,82.0,45.1,27.5,8.2,7.5,,,0.458,,0.834,12.4,0.162,6.5,,,1972,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1972,all-defensive
2nd,C,Nate Thurmond,30.0,GSW,19.0,34.0,0.559,78.0,43.1,21.4,16.1,2.9,,,0.432,,0.743,9.0,0.128,6.4,,,1972,all-defensive
2nd,F,Paul Silas,28.0,PHO,12.0,34.0,0.353,80.0,38.5,17.5,11.9,4.3,,,0.47,,0.773,11.0,0.172,5.0,,,1972,all-defensive
2nd,F,Bob Love,29.0,CHI,8.0,34.0,0.235,79.0,39.3,25.8,6.6,1.6,,,0.442,,0.784,7.5,0.115,4.7,,,1972,all-defensive
2nd,G,Norm Van Lier,24.0,TOT,7.0,34.0,0.206,79.0,30.6,11.5,4.5,6.9,,,0.439,,0.79,7.7,0.152,5.1,,,1972,all-defensive
2nd,G,Don Chaney,25.0,BOS,4.0,34.0,0.118,79.0,28.8,11.9,5.0,2.6,,,0.475,,0.773,6.3,0.132,3.3,,,1972,all-defensive
