Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Harry Gallatin,STL,14,14,25,0.56,80,48,32,0.6,1963,coy
2,Fred Schaus,LAL,6,6,25,0.24,80,53,27,0.663,1963,coy
3,Alex Hannum,SYR,4,4,25,0.16,80,48,32,0.6,1963,coy
4,Red Auerbach,BOS,1,1,25,0.04,80,58,22,0.725,1963,coy
