Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Mike Schuler,POR,30.0,30.0,78,0.385,82,49,33,0.598,1987,coy
2,George Karl,GSW,9.5,9.5,78,0.122,82,42,40,0.512,1987,coy
3,Pat Riley,LAL,9.0,9.0,78,0.115,82,65,17,0.793,1987,coy
4,Jack Ramsay,IND,6.5,6.5,78,0.083,82,41,41,0.5,1987,coy
5,Doug Collins,CHI,6.0,6.0,78,0.077,82,40,42,0.488,1987,coy
6,Bernie Bickerstaff,SEA,5.0,5.0,78,0.064,82,39,43,0.476,1987,coy
7,Mike Fratello,ATL,4.0,4.0,78,0.051,82,57,25,0.695,1987,coy
8T,Chuck Daly,DET,3.0,3.0,78,0.038,82,52,30,0.634,1987,coy
8T,Dick Motta,DAL,3.0,3.0,78,0.038,82,55,27,0.671,1987,coy
10T,K.C. Jones,BOS,1.0,1.0,78,0.013,82,59,23,0.72,1987,coy
10T,Don Nelson,MIL,1.0,1.0,78,0.013,82,50,32,0.61,1987,coy
