Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Mike Dunleavy,POR,48,48,118,0.407,50,35,15,0.7,1999,coy
2,Larry Brown,PHI,23,23,118,0.195,50,28,22,0.56,1999,coy
3,Jerry Sloan,UTA,15,15,118,0.127,50,37,13,0.74,1999,coy
4,Chuck Daly,ORL,13,13,118,0.11,50,33,17,0.66,1999,coy
5,Pat Riley,MIA,8,8,118,0.068,50,33,17,0.66,1999,coy
6T,Gregg Popovich,SAS,4,4,118,0.034,50,37,13,0.74,1999,coy
6T,Paul Silas,CHH,4,4,118,0.034,35,22,13,0.629,1999,coy
8T,Butch Carter,TOR,1,1,118,0.008,50,23,27,0.46,1999,coy
8T,George Karl,MIL,1,1,118,0.008,50,28,22,0.56,1999,coy
8T,Lenny Wilkens,ATL,1,1,118,0.008,50,31,19,0.62,1999,coy
