Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Gregg Popovich,SAS,77,467,595,0.785,66,50,16,0.758,2012,coy
2,Tom Thibodeau,CHI,27,315,595,0.529,66,50,16,0.758,2012,coy
3,Frank Vogel,IND,7,161,595,0.271,66,42,24,0.636,2012,coy
4,Lionel Hollins,MEM,6,50,595,0.084,66,41,25,0.621,2012,coy
5,Doc Rivers,BOS,1,26,595,0.044,66,39,27,0.591,2012,coy
6T,Scott Brooks,OKC,0,9,595,0.015,66,47,19,0.712,2012,coy
6T,Tyrone Corbin,UTA,0,9,595,0.015,66,36,30,0.545,2012,coy
8,George Karl,DEN,1,7,595,0.012,66,38,28,0.576,2012,coy
9T,Mike Brown,LAL,0,4,595,0.007,66,41,25,0.621,2012,coy
9T,Stan Van Gundy,ORL,0,4,595,0.007,66,37,29,0.561,2012,coy
11,Larry Drew,ATL,0,3,595,0.005,66,40,26,0.606,2012,coy
12T,Vinny Del Negro,LAC,0,2,595,0.003,66,40,26,0.606,2012,coy
12T,Kevin McHale,HOU,0,2,595,0.003,66,34,32,0.515,2012,coy
12T,Monty Williams,NOH,0,2,595,0.003,66,21,45,0.318,2012,coy
15,Alvin Gentry,PHO,0,1,595,0.002,66,33,33,0.5,2012,coy
