Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Dick Motta,CHI,30,30,51,0.588,82,51,31,0.622,1971,coy
2,Larry Costello,MIL,11,11,51,0.216,82,66,16,0.805,1971,coy
3,Al Attles,SFW,3,3,51,0.059,82,41,41,0.5,1971,coy
4,Red Holzman,NYK,2,2,51,0.039,82,52,30,0.634,1971,coy
5T,Bob Cousy,CIN,1,1,51,0.02,82,33,49,0.402,1971,coy
5T,Joe Mullaney,LAL,1,1,51,0.02,82,48,34,0.585,1971,coy
5T,Jack Ramsay,PHI,1,1,51,0.02,82,47,35,0.573,1971,coy
5T,Rolland Todd,POR,1,1,51,0.02,82,29,53,0.354,1971,coy
5T,Lenny Wilkens,SEA,1,1,51,0.02,82,38,44,0.463,1971,coy
