# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,G,Tony Allen,31.0,MEM,53.0,60.0,0.883,79.0,26.7,8.9,4.6,1.2,1.5,0.6,0.445,0.125,0.717,5.1,0.115,4.1,2.4,98.0,2013,all-defensive
1st,F,LeBron James,28.0,MIA,52.0,60.0,0.867,76.0,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,4.7,2.4,101.0,2013,all-defensive
1st,F,Serge Ibaka,23.0,OKC,46.0,60.0,0.767,80.0,31.1,13.2,7.7,0.5,0.4,3.0,0.573,0.351,0.749,9.4,0.181,4.1,0.7,101.0,2013,all-defensive
1st,G,Chris Paul,27.0,LAC,37.0,60.0,0.617,70.0,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,3.4,2.4,102.0,2013,all-defensive
1st,C,Tyson Chandler,30.0,NYK,24.0,60.0,0.4,66.0,32.8,10.4,10.7,0.9,0.6,1.1,0.638,,0.694,9.3,0.207,2.6,-0.3,104.0,2013,all-defensive
1st,C,Joakim Noah,27.0,CHI,24.0,60.0,0.4,66.0,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.0,0.751,7.3,0.145,4.7,2.7,99.0,2013,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,2013,all-defensive
2nd,F,Paul George,22.0,IND,27.0,60.0,0.45,79.0,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9.0,0.145,6.3,2.3,97.0,2013,all-defensive
2nd,G,Avery Bradley,22.0,BOS,25.0,60.0,0.417,50.0,28.7,9.2,2.2,2.1,1.3,0.4,0.402,0.317,0.755,0.4,0.012,1.6,0.3,105.0,2013,all-defensive
2nd,F,Tim Duncan,36.0,SAS,20.0,60.0,0.333,69.0,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,4.9,2.9,95.0,2013,all-defensive
2nd,G,Mike Conley,25.0,MEM,19.0,60.0,0.317,80.0,34.5,14.6,2.8,6.1,2.2,0.3,0.44,0.362,0.83,9.9,0.172,4.7,2.3,100.0,2013,all-defensive
2nd,C,Marc Gasol,28.0,MEM,12.0,60.0,0.2,80.0,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5,0.197,5.4,3.1,98.0,2013,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,2013,all-defensive
ORV,F,Andre Iguodala,29.0,DEN,16.0,60.0,0.267,80.0,34.7,13.0,5.3,5.4,1.7,0.7,0.451,0.317,0.574,5.6,0.097,3.2,1.4,105.0,2013,all-defensive
