Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Kevin Love,22,MIN,66,400,580,0.69,73,35.8,20.2,15.2,2.5,0.6,0.4,0.47,0.417,0.85,11.4,0.21,2011,mip
2,LaMarcus Aldridge,25,POR,11,157,580,0.271,81,39.6,21.8,8.8,2.1,1.0,1.2,0.5,0.174,0.791,11.1,0.166,2011,mip
3,Dorell Wright,25,GSW,16,124,580,0.214,82,38.4,16.4,5.3,3.0,1.5,0.8,0.423,0.376,0.789,5.8,0.088,2011,mip
4,Derrick Rose,22,CHI,11,69,580,0.119,81,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.208,2011,mip
5,Kris Humphries,25,NJN,1,63,580,0.109,74,27.9,10.0,10.4,1.1,0.4,1.1,0.527,0.0,0.665,5.4,0.125,2011,mip
6,Kyle Lowry,24,HOU,3,48,580,0.083,75,34.2,13.5,4.1,6.7,1.4,0.3,0.426,0.376,0.765,7.0,0.13,2011,mip
7,Russell Westbrook,22,OKC,3,46,580,0.079,82,34.7,21.9,4.6,8.2,1.9,0.4,0.442,0.33,0.842,9.4,0.159,2011,mip
8,Wesley Matthews,24,POR,2,32,580,0.055,82,33.6,15.9,3.1,2.0,1.2,0.1,0.449,0.407,0.844,7.2,0.126,2011,mip
9,Jrue Holiday,20,PHI,1,15,580,0.026,82,35.4,14.0,4.0,6.5,1.5,0.4,0.446,0.365,0.823,5.7,0.094,2011,mip
10,Mike Conley,23,MEM,0,14,580,0.024,81,35.5,13.7,3.0,6.5,1.8,0.2,0.444,0.369,0.733,6.6,0.111,2011,mip
11,Arron Afflalo,25,DEN,0,13,580,0.022,69,33.7,12.6,3.6,2.4,0.5,0.4,0.498,0.423,0.847,6.2,0.128,2011,mip
12,Roy Hibbert,24,IND,1,9,580,0.016,81,27.7,12.7,7.5,2.0,0.4,1.8,0.461,0.0,0.745,3.6,0.077,2011,mip
13,DeMar DeRozan,21,TOR,1,6,580,0.01,82,34.8,17.2,3.8,1.8,1.0,0.4,0.467,0.096,0.813,3.2,0.055,2011,mip
14T,Eric Gordon,22,LAC,0,5,580,0.009,56,37.7,22.3,2.9,4.4,1.3,0.3,0.45,0.364,0.825,5.3,0.12,2011,mip
14T,Tyler Hansbrough,25,IND,0,5,580,0.009,70,21.9,11.0,5.2,0.6,0.5,0.2,0.465,0.0,0.779,3.8,0.118,2011,mip
14T,Nick Young,25,WAS,0,5,580,0.009,64,31.8,17.4,2.7,1.2,0.7,0.3,0.441,0.387,0.816,2.8,0.065,2011,mip
17T,Darrell Arthur,22,MEM,0,4,580,0.007,80,20.1,9.1,4.3,0.7,0.7,0.8,0.497,0.0,0.813,3.8,0.113,2011,mip
17T,Serge Ibaka,21,OKC,0,4,580,0.007,82,27.0,9.9,7.6,0.3,0.4,2.4,0.543,0.0,0.75,7.6,0.164,2011,mip
17T,DeAndre Jordan,22,LAC,0,4,580,0.007,80,25.6,7.1,7.2,0.5,0.5,1.8,0.686,0.0,0.452,5.2,0.122,2011,mip
17T,Thaddeus Young,22,PHI,0,4,580,0.007,82,26.0,12.7,5.3,1.0,1.1,0.3,0.541,0.273,0.707,6.2,0.139,2011,mip
21T,D.J. Augustin,23,CHA,0,3,580,0.005,82,33.6,14.4,2.7,6.1,0.7,0.0,0.416,0.333,0.906,6.2,0.108,2011,mip
21T,Luol Deng,25,CHI,0,3,580,0.005,82,39.1,17.4,5.8,2.8,1.0,0.6,0.46,0.345,0.753,9.9,0.149,2011,mip
21T,Amar'e Stoudemire,28,NYK,0,3,580,0.005,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8.0,0.134,2011,mip
24T,Tony Allen,29,MEM,0,1,580,0.002,72,20.8,8.9,2.7,1.4,1.8,0.6,0.51,0.174,0.753,4.7,0.152,2011,mip
24T,Michael Beasley,22,MIN,0,1,580,0.002,73,32.3,19.2,5.6,2.2,0.7,0.7,0.45,0.366,0.753,1.7,0.035,2011,mip
24T,Elton Brand,31,PHI,0,1,580,0.002,81,34.7,15.0,8.3,1.5,1.1,1.3,0.512,0.0,0.78,9.4,0.161,2011,mip
24T,Tyson Chandler,28,DAL,0,1,580,0.002,74,27.8,10.1,9.4,0.4,0.5,1.1,0.654,,0.732,9.4,0.218,2011,mip
24T,Jared Dudley,25,PHO,0,1,580,0.002,82,26.1,10.6,3.9,1.3,1.1,0.2,0.477,0.415,0.743,5.6,0.126,2011,mip
24T,Marcin Gortat,26,TOT,0,1,580,0.002,80,25.4,10.2,7.9,0.9,0.5,1.1,0.561,0.25,0.725,6.4,0.152,2011,mip
24T,James Harden,21,OKC,0,1,580,0.002,82,26.7,12.2,3.1,2.1,1.1,0.3,0.436,0.349,0.843,7.1,0.156,2011,mip
24T,Jodie Meeks,23,PHI,0,1,580,0.002,74,27.9,10.5,2.3,1.1,0.9,0.1,0.425,0.397,0.894,5.1,0.12,2011,mip
