Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Sam Mitchell,TOR,49,394,640,0.616,82,47,35,0.573,2007,coy
2,Jerry Sloan,UTA,39,301,640,0.47,82,51,31,0.622,2007,coy
3,Avery Johnson,DAL,28,268,640,0.419,82,67,15,0.817,2007,coy
4,Jeff Van Gundy,HOU,10,134,640,0.209,82,52,30,0.634,2007,coy
5,Mike D'Antoni,PHO,2,22,640,0.034,82,61,21,0.744,2007,coy
6,Don Nelson,GSW,0,13,640,0.02,82,42,40,0.512,2007,coy
7,Scott Skiles,CHI,0,12,640,0.019,82,49,33,0.598,2007,coy
8,Pat Riley,MIA,0,3,640,0.005,82,44,38,0.537,2007,coy
9,Gregg Popovich,SAS,0,2,640,0.003,82,58,24,0.707,2007,coy
10T,George Karl,DEN,0,1,640,0.002,82,45,37,0.549,2007,coy
10T,Flip Saunders,DET,0,1,640,0.002,82,53,29,0.646,2007,coy
10T,Isiah Thomas,NYK,0,1,640,0.002,82,33,49,0.402,2007,coy
