Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Bob Cousy,28,BOS,23,23,80,0.288,64,36.9,20.6,4.8,7.5,,,0.378,,0.821,8.8,0.178,1957,mvp
2,Bob Pettit,24,STL,21,21,80,0.263,71,35.1,24.7,14.6,1.9,,,0.415,,0.773,11.6,0.224,1957,mvp
3,Paul Arizin,28,PHW,9,9,80,0.113,71,39.0,25.6,7.9,2.1,,,0.422,,0.829,12.3,0.213,1957,mvp
4,Dolph Schayes,28,SYR,8,8,80,0.1,72,39.6,22.5,14.0,3.2,,,0.379,,0.904,12.5,0.211,1957,mvp
5,George Yardley,28,FTW,7,7,80,0.088,72,37.4,21.5,10.5,2.0,,,0.41,,0.787,10.0,0.179,1957,mvp
6,Maurice Stokes,23,ROC,5,5,80,0.063,72,38.3,15.6,17.4,4.6,,,0.347,,0.665,5.5,0.096,1957,mvp
7,Bill Russell,22,BOS,2,2,80,0.025,48,35.3,14.7,19.6,1.8,,,0.427,,0.492,6.2,0.176,1957,mvp
8T,Ray Felix,26,NYK,1,1,80,0.013,72,22.5,12.0,8.2,0.5,,,0.416,,0.747,5.5,0.162,1957,mvp
8T,Harry Gallatin,29,NYK,1,1,80,0.013,72,27.0,15.0,10.1,1.2,,,0.406,,0.8,8.1,0.199,1957,mvp
8T,Mel Hutchins,28,FTW,1,1,80,0.013,72,36.8,12.4,7.9,2.9,,,0.387,,0.738,2.8,0.05,1957,mvp
8T,Kenny Sears,23,NYK,1,1,80,0.013,72,34.9,14.8,8.5,1.4,,,0.418,,0.79,8.0,0.153,1957,mvp
8T,Jack Twyman,22,ROC,1,1,80,0.013,72,32.5,16.3,4.9,1.7,,,0.439,,0.76,8.8,0.18,1957,mvp
