# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,LaMelo Ball,19.0,CHO,198.0,198.0,1.0,99.0,0.0,51.0,28.8,15.7,5.9,6.1,1.6,0.4,0.436,0.352,0.758,2.8,0.093,2021,all-rookie
1st,Anthony Edwards,19.0,MIN,198.0,198.0,1.0,99.0,0.0,72.0,32.1,19.3,4.7,2.9,1.1,0.5,0.417,0.329,0.776,0.8,0.017,2021,all-rookie
1st,Tyrese Haliburton,20.0,SAC,197.0,198.0,0.995,98.0,1.0,58.0,30.1,13.0,3.0,5.3,1.3,0.5,0.472,0.409,0.857,3.5,0.096,2021,all-rookie
1st,Saddiq Bey,21.0,DET,162.0,198.0,0.818,63.0,36.0,70.0,27.3,12.2,4.5,1.4,0.7,0.2,0.404,0.38,0.844,3.3,0.082,2021,all-rookie
1st,Jae'Sean Tate,25.0,HOU,154.0,198.0,0.778,57.0,40.0,70.0,29.2,11.3,5.3,2.5,1.2,0.5,0.506,0.308,0.694,3.8,0.088,2021,all-rookie
,,,,,,,,,,,,,,,,,,,,,2021,all-rookie
2nd,Immanuel Quickley,21.0,NYK,148.0,198.0,0.747,51.0,46.0,64.0,19.4,11.4,2.1,2.0,0.5,0.2,0.395,0.389,0.891,3.2,0.125,2021,all-rookie
2nd,Desmond Bane,22.0,MEM,88.0,198.0,0.444,9.0,70.0,68.0,22.3,9.2,3.1,1.7,0.6,0.2,0.469,0.432,0.816,2.9,0.093,2021,all-rookie
2nd,Isaiah Stewart,19.0,DET,71.0,198.0,0.359,8.0,55.0,68.0,21.4,7.9,6.7,0.9,0.6,1.3,0.553,0.333,0.696,4.0,0.132,2021,all-rookie
2nd,Isaac Okoro,20.0,CLE,53.0,198.0,0.268,1.0,51.0,67.0,32.4,9.6,3.1,1.9,0.9,0.4,0.42,0.29,0.726,0.9,0.02,2021,all-rookie
2nd,Patrick Williams,19.0,CHI,50.0,198.0,0.253,2.0,46.0,71.0,27.9,9.2,4.6,1.4,0.9,0.6,0.483,0.391,0.728,2.5,0.06,2021,all-rookie
,,,,,,,,,,,,,,,,,,,,,2021,all-rookie
ORV,Facundo Campazzo,29.0,DEN,42.0,198.0,0.212,3.0,36.0,65.0,21.9,6.1,2.1,3.6,1.2,0.2,0.381,0.352,0.879,3.1,0.105,2021,all-rookie
ORV,Cole Anthony,20.0,ORL,40.0,198.0,0.202,1.0,38.0,47.0,27.1,12.9,4.7,4.1,0.6,0.4,0.397,0.337,0.832,0.0,-0.001,2021,all-rookie
ORV,James Wiseman,19.0,GSW,24.0,198.0,0.121,3.0,18.0,39.0,21.4,11.5,5.8,0.7,0.3,0.9,0.519,0.316,0.628,0.7,0.042,2021,all-rookie
ORV,Payton Pritchard,23.0,BOS,20.0,198.0,0.101,0.0,20.0,66.0,19.2,7.7,2.4,1.8,0.6,0.1,0.44,0.411,0.889,2.5,0.095,2021,all-rookie
ORV,Jaden McDaniels,20.0,MIN,15.0,198.0,0.076,1.0,13.0,63.0,24.0,6.8,3.7,1.1,0.6,1.0,0.447,0.364,0.6,1.4,0.046,2021,all-rookie
ORV,Tyrese Maxey,20.0,PHI,9.0,198.0,0.045,0.0,9.0,61.0,15.3,8.0,1.7,2.0,0.4,0.2,0.462,0.301,0.871,1.9,0.099,2021,all-rookie
ORV,Théo Maledon,19.0,OKC,5.0,198.0,0.025,0.0,5.0,65.0,27.4,10.1,3.2,3.5,0.9,0.2,0.368,0.335,0.748,-0.8,-0.021,2021,all-rookie
ORV,Xavier Tillman Sr.,22.0,MEM,4.0,198.0,0.02,0.0,4.0,59.0,18.4,6.6,4.3,1.3,0.7,0.6,0.559,0.338,0.642,2.9,0.127,2021,all-rookie
ORV,KJ Martin,20.0,HOU,3.0,198.0,0.015,0.0,3.0,45.0,23.7,9.3,5.4,1.1,0.7,0.9,0.509,0.365,0.714,2.2,0.099,2021,all-rookie
ORV,Chuma Okeke,22.0,ORL,2.0,198.0,0.01,0.0,2.0,45.0,25.2,7.8,4.0,2.2,1.1,0.5,0.417,0.348,0.75,1.3,0.056,2021,all-rookie
ORV,Aleksej Pokusevski,19.0,OKC,1.0,198.0,0.005,0.0,1.0,45.0,24.2,8.2,4.7,2.2,0.4,0.9,0.341,0.28,0.738,-1.9,-0.084,2021,all-rookie
ORV,Devin Vassell,20.0,SAS,1.0,198.0,0.005,0.0,1.0,62.0,17.0,5.5,2.8,0.9,0.7,0.3,0.406,0.347,0.843,1.5,0.069,2021,all-rookie
