Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Don Chaney,HOU,69,69,96,0.719,82,52,30,0.634,1991,coy
2,Rick Adelman,POR,11,11,96,0.115,82,63,19,0.768,1991,coy
3,Chris Ford,BOS,7,7,96,0.073,82,56,26,0.683,1991,coy
4,Phil Jackson,CHI,4,4,96,0.042,82,61,21,0.744,1991,coy
5T,Larry Brown,SAS,2,2,96,0.021,82,55,27,0.671,1991,coy
5T,Del Harris,MIL,2,2,96,0.021,82,48,34,0.585,1991,coy
7,Chuck Daly,DET,1,1,96,0.01,82,50,32,0.61,1991,coy
