# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,F,Scottie Pippen,30.0,CHI,55.0,58.0,0.948,77.0,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209,5.3,1.7,101.0,1996,all-defensive
1st,G,Michael Jordan,32.0,CHI,53.0,58.0,0.914,82.0,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317,6.2,2.2,100.0,1996,all-defensive
1st,G,Gary Payton,27.0,SEA,48.0,58.0,0.828,81.0,39.0,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174,5.6,1.8,102.0,1996,all-defensive
1st,C,David Robinson,30.0,SAS,42.0,58.0,0.724,82.0,36.8,25.0,12.2,3.0,1.4,3.3,0.516,0.333,0.761,18.3,0.29,7.2,3.1,96.0,1996,all-defensive
1st,F,Dennis Rodman,34.0,CHI,30.0,58.0,0.517,64.0,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143,4.6,0.3,98.0,1996,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1996,all-defensive
2nd,C,Hakeem Olajuwon,33.0,HOU,27.0,58.0,0.466,72.0,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166,5.2,2.0,101.0,1996,all-defensive
2nd,F,Horace Grant,30.0,ORL,25.0,58.0,0.431,63.0,36.3,13.4,9.2,2.7,1.0,1.2,0.513,0.167,0.734,8.0,0.169,3.1,0.6,105.0,1996,all-defensive
2nd,G,Mookie Blaylock,28.0,ATL,22.0,58.0,0.379,81.0,35.7,15.7,4.1,5.9,2.6,0.2,0.405,0.371,0.747,9.0,0.149,3.6,1.5,106.0,1996,all-defensive
2nd,F,Derrick McKey,29.0,IND,15.0,58.0,0.259,75.0,32.5,11.7,4.8,3.5,1.1,0.6,0.486,0.25,0.769,5.7,0.112,2.6,1.2,107.0,1996,all-defensive
2nd,G,Bobby Phills,26.0,CLE,12.0,58.0,0.207,72.0,35.1,14.6,3.6,3.8,1.4,0.4,0.467,0.441,0.775,7.1,0.136,2.7,0.6,107.0,1996,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1996,all-defensive
ORV,C,Dikembe Mutombo,29.0,DEN,13.0,58.0,0.224,74.0,36.7,11.0,11.8,1.5,0.5,4.5,0.499,0.0,0.695,7.6,0.134,5.0,2.8,101.0,1996,all-defensive
