Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Kevin Duckworth,23,POR,33,33,80,0.413,78,28.5,15.8,7.4,0.8,0.4,0.4,0.496,,0.77,5.2,0.112,1988,mip
2,John Stockton,25,UTA,15,15,80,0.188,82,34.7,14.7,2.9,13.8,3.0,0.2,0.574,0.358,0.84,14.1,0.238,1988,mip
3,Mark Price,23,CLE,11,11,80,0.138,80,32.8,16.0,2.3,6.0,1.2,0.2,0.506,0.486,0.877,7.8,0.143,1988,mip
4,Michael Adams,25,DEN,7,7,80,0.088,82,33.9,13.9,2.7,6.1,2.0,0.2,0.449,0.367,0.834,7.5,0.13,1988,mip
5,Jerome Kersey,25,POR,5,5,80,0.063,79,36.6,19.2,8.3,3.1,1.6,0.8,0.499,0.2,0.735,8.6,0.144,1988,mip
6T,Randy Breuer,27,MIL,3,3,80,0.038,81,27.9,12.0,6.8,1.3,0.6,1.3,0.495,,0.657,5.1,0.109,1988,mip
6T,Frank Brickowski,28,SAS,3,3,80,0.038,70,31.8,16.0,6.9,3.8,1.1,0.5,0.528,0.2,0.768,4.1,0.088,1988,mip
8T,John Battle,25,ATL,1,1,80,0.013,67,18.3,10.6,1.7,2.4,0.5,0.1,0.454,0.39,0.75,2.3,0.092,1988,mip
8T,Byron Scott,26,LAL,1,1,80,0.013,81,37.6,21.7,4.1,4.1,1.9,0.3,0.527,0.346,0.858,10.7,0.168,1988,mip
8T,Roy Tarpley,23,DAL,1,1,80,0.013,81,28.5,13.5,11.8,1.1,1.3,1.1,0.5,0.0,0.74,7.8,0.163,1988,mip
