Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Don Nelson,GSW,26,26,96,0.271,82,55,27,0.671,1992,coy
2,Pat Riley,NYK,21,21,96,0.219,82,51,31,0.622,1992,coy
3,Phil Jackson,CHI,17,17,96,0.177,82,67,15,0.817,1992,coy
4,Larry Brown,LAC,7,7,96,0.073,35,23,12,0.657,1992,coy
4,Larry Brown,SAS,7,7,96,0.073,38,21,17,0.553,1992,coy
5,Lenny Wilkens,CLE,6,6,96,0.063,82,57,25,0.695,1992,coy
6,Bill Fitch,NJN,4,4,96,0.042,82,40,42,0.488,1992,coy
7T,Mike Dunleavy,LAL,3,3,96,0.031,82,43,39,0.524,1992,coy
7T,Chris Ford,BOS,3,3,96,0.031,82,51,31,0.622,1992,coy
9T,Rick Adelman,POR,2,2,96,0.021,82,57,25,0.695,1992,coy
9T,Chuck Daly,DET,2,2,96,0.021,82,48,34,0.585,1992,coy
9T,Kevin Loughery,MIA,2,2,96,0.021,82,38,44,0.463,1992,coy
9T,Jerry Sloan,UTA,2,2,96,0.021,82,55,27,0.671,1992,coy
13,George Karl,SEA,1,1,96,0.01,42,27,15,0.643,1992,coy
