Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Phil Johnson,KCO,21,21,54,0.389,82,44,38,0.537,1975,coy
2,Al Attles,GSW,10,10,54,0.185,82,48,34,0.585,1975,coy
3,K.C. Jones,WSB,5,5,54,0.093,82,60,22,0.732,1975,coy
4T,Bill Fitch,CLE,4,4,54,0.074,82,40,42,0.488,1975,coy
4T,Butch van Breda Kolff,NOJ,4,4,54,0.074,66,22,44,0.333,1975,coy
6,Johnny Egan,HOU,3,3,54,0.056,82,41,41,0.5,1975,coy
7T,Tom Heinsohn,BOS,2,2,54,0.037,82,60,22,0.732,1975,coy
7T,Gene Shue,PHI,2,2,54,0.037,82,34,48,0.415,1975,coy
9T,Jack Ramsay,BUF,1,1,54,0.019,82,49,33,0.598,1975,coy
9T,Bill Russell,SEA,1,1,54,0.019,82,43,39,0.524,1975,coy
9T,Lenny Wilkens,POR,1,1,54,0.019,82,38,44,0.463,1975,coy
