Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Willis Reed,27,NYK,61,498,775,0.643,81,38.1,21.7,13.9,2.0,,,0.507,,0.756,14.6,0.227,1970,nbamvp
2,Jerry West,31,LAL,51,457,775,0.59,74,42.0,31.2,4.6,7.5,,,0.497,,0.824,15.2,0.234,1970,nbamvp
3,Kareem Abdul-Jabbar,22,MIL,30,335,775,0.432,82,43.1,28.8,14.5,4.1,,,0.518,,0.653,13.8,0.187,1970,nbamvp
4,Walt Frazier,24,NYK,4,50,775,0.065,77,39.5,20.9,6.0,8.2,,,0.518,,0.748,15.0,0.236,1970,nbamvp
5T,Billy Cunningham,26,PHI,2,27,775,0.035,81,39.4,26.1,13.6,4.3,,,0.469,,0.729,10.3,0.155,1970,nbamvp
5T,Connie Hawkins,27,PHO,2,27,775,0.035,81,40.9,24.6,10.4,4.8,,,0.49,,0.779,10.2,0.147,1970,nbamvp
7,Lou Hudson,25,ATL,2,23,775,0.03,80,38.6,25.4,4.7,3.5,,,0.531,,0.824,11.1,0.172,1970,nbamvp
8T,Bill Bridges,30,ATL,1,12,775,0.015,82,39.9,14.8,14.4,4.2,,,0.475,,0.734,6.6,0.097,1970,nbamvp
8T,Wes Unseld,23,BAL,0,12,775,0.015,82,39.4,16.2,16.7,3.5,,,0.518,,0.638,11.1,0.164,1970,nbamvp
10,John Havlicek,29,BOS,1,9,775,0.012,81,41.6,24.2,7.8,6.8,,,0.464,,0.844,10.6,0.151,1970,nbamvp
11,Nate Thurmond,28,SFW,1,5,775,0.006,43,44.6,21.9,17.7,3.5,,,0.414,,0.754,3.7,0.093,1970,nbamvp
12T,Walt Bellamy,30,TOT,0,3,775,0.004,79,25.7,11.6,8.9,1.8,,,0.523,,0.576,4.9,0.115,1970,nbamvp
12T,Joe Caldwell,28,ATL,0,3,775,0.004,82,34.8,21.1,5.0,3.5,,,0.507,,0.688,7.9,0.132,1970,nbamvp
12T,Walt Hazzard,27,ATL,0,3,775,0.004,82,33.6,15.3,4.0,6.8,,,0.467,,0.809,5.0,0.088,1970,nbamvp
15,Elgin Baylor,35,LAL,0,2,775,0.003,54,41.0,24.0,10.4,5.4,,,0.486,,0.773,7.8,0.168,1970,nbamvp
16T,Bob Love,27,CHI,0,1,775,0.001,82,38.1,21.0,8.7,1.8,,,0.466,,0.842,8.6,0.132,1970,nbamvp
16T,Earl Monroe,25,BAL,0,1,775,0.001,82,37.2,23.4,3.1,4.9,,,0.446,,0.83,8.3,0.13,1970,nbamvp
16T,Otto Moore,23,DET,0,1,775,0.001,81,31.1,11.9,11.1,1.3,,,0.476,,0.636,3.5,0.067,1970,nbamvp
16T,Oscar Robertson,31,CIN,0,1,775,0.001,69,41.5,25.3,6.1,8.1,,,0.511,,0.809,11.4,0.191,1970,nbamvp
