Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Rick Carlisle,DET,73,73,126,0.579,82,50,32,0.61,2002,coy
2,Rick Adelman,SAC,21,21,126,0.167,82,61,21,0.744,2002,coy
3,Byron Scott,NJN,15,15,126,0.119,82,52,30,0.634,2002,coy
4,Nate McMillan,SEA,7,7,126,0.056,82,45,37,0.549,2002,coy
5,Maurice Cheeks,POR,4,4,126,0.032,82,49,33,0.598,2002,coy
6,Jim O'Brien,BOS,2,2,126,0.016,82,49,33,0.598,2002,coy
7T,Doug Collins,WAS,1,1,126,0.008,82,37,45,0.451,2002,coy
7T,Alvin Gentry,LAC,1,1,126,0.008,82,39,43,0.476,2002,coy
7T,Don Nelson,DAL,1,1,126,0.008,82,57,25,0.695,2002,coy
7T,Isiah Thomas,IND,1,1,126,0.008,82,42,40,0.512,2002,coy
