Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Aaron Brooks,25,HOU,62,403,615,0.655,82,35.6,19.6,2.6,5.3,0.8,0.2,0.432,0.398,0.822,5.5,0.091,2010,mip
2T,Kevin Durant,21,OKC,17,101,615,0.164,82,39.5,30.1,7.6,2.8,1.4,1.0,0.476,0.365,0.9,16.1,0.238,2010,mip
2T,Marc Gasol,25,MEM,9,101,615,0.164,69,35.8,14.6,9.3,2.4,1.0,1.6,0.581,0.0,0.67,8.4,0.164,2010,mip
2T,George Hill,23,SAS,7,101,615,0.164,78,29.2,12.4,2.6,2.9,0.9,0.3,0.478,0.399,0.772,6.7,0.142,2010,mip
5,Andrew Bogut,25,MIL,7,93,615,0.151,69,32.3,15.9,10.2,1.8,0.6,2.5,0.52,0.0,0.629,7.5,0.161,2010,mip
6,Russell Westbrook,21,OKC,5,67,615,0.109,82,34.3,16.1,4.9,8.0,1.3,0.4,0.418,0.221,0.78,6.1,0.105,2010,mip
7,Joakim Noah,24,CHI,7,64,615,0.104,64,30.1,10.7,11.0,2.1,0.5,1.6,0.504,,0.744,6.2,0.154,2010,mip
8,Gerald Wallace,27,CHA,3,29,615,0.047,76,41.0,18.2,10.0,2.1,1.5,1.1,0.484,0.371,0.776,11.5,0.177,2010,mip
9T,Brook Lopez,21,NJN,1,19,615,0.031,82,36.9,18.8,8.6,2.3,0.7,1.7,0.499,0.0,0.817,7.9,0.125,2010,mip
9T,Corey Brewer,23,MIN,0,19,615,0.031,82,30.3,13.0,3.4,2.4,1.4,0.4,0.431,0.346,0.648,1.0,0.02,2010,mip
11,Carl Landry,26,TOT,0,18,615,0.029,80,30.9,16.8,5.9,0.8,0.7,0.8,0.536,0.333,0.806,7.7,0.15,2010,mip
12T,Rajon Rondo,23,BOS,2,12,615,0.02,81,36.6,13.7,4.4,9.8,2.3,0.1,0.508,0.213,0.621,9.6,0.156,2010,mip
12T,Andray Blatche,23,WAS,1,12,615,0.02,81,27.9,14.1,6.3,2.1,1.0,0.9,0.478,0.295,0.744,3.4,0.073,2010,mip
14T,Channing Frye,26,PHO,1,10,615,0.016,81,27.0,11.2,5.3,1.4,0.8,0.9,0.451,0.439,0.81,6.4,0.141,2010,mip
14T,Danilo Gallinari,21,NYK,0,10,615,0.016,81,33.9,15.1,4.9,1.7,0.9,0.7,0.423,0.381,0.818,5.6,0.098,2010,mip
16,Josh Smith,24,ATL,0,8,615,0.013,81,35.4,15.7,8.7,4.2,1.6,2.1,0.505,0.0,0.618,9.3,0.155,2010,mip
17,David Lee,26,NYK,0,7,615,0.011,81,37.3,20.2,11.7,3.6,1.0,0.5,0.545,0.0,0.812,10.3,0.163,2010,mip
18,Dwight Howard,24,ORL,1,5,615,0.008,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.592,13.2,0.223,2010,mip
19T,Ersan İlyasova,22,MIL,0,4,615,0.007,81,23.4,10.4,6.4,1.0,0.7,0.3,0.443,0.336,0.715,5.8,0.146,2010,mip
19T,Chris Kaman,27,LAC,0,4,615,0.007,76,34.3,18.5,9.3,1.6,0.5,1.2,0.49,0.0,0.749,2.4,0.044,2010,mip
19T,JJ Redick,25,ORL,0,4,615,0.007,82,22.0,9.6,1.9,1.9,0.3,0.0,0.439,0.405,0.86,6.5,0.173,2010,mip
22T,Chris Douglas-Roberts,23,NJN,0,3,615,0.005,67,25.8,9.8,3.0,1.4,0.8,0.3,0.445,0.259,0.847,0.7,0.02,2010,mip
22T,Nenê,27,DEN,0,3,615,0.005,82,33.6,13.8,7.6,2.5,1.4,1.0,0.587,0.0,0.704,10.8,0.188,2010,mip
22T,Paul Millsap,24,UTA,0,3,615,0.005,82,27.8,11.6,6.8,1.6,0.8,1.2,0.538,0.111,0.693,7.2,0.151,2010,mip
25,Robin Lopez,21,PHO,0,2,615,0.003,51,19.3,8.4,4.9,0.1,0.2,1.0,0.588,,0.704,3.2,0.158,2010,mip
26T,Monta Ellis,24,GSW,0,1,615,0.002,64,41.4,25.5,4.0,5.3,2.2,0.4,0.449,0.338,0.753,1.3,0.023,2010,mip
26T,J.J. Hickson,21,CLE,0,1,615,0.002,81,20.9,8.5,4.9,0.5,0.4,0.5,0.554,0.0,0.681,4.3,0.123,2010,mip
26T,Zach Randolph,28,MEM,0,1,615,0.002,81,37.7,20.8,11.7,1.8,1.0,0.4,0.488,0.288,0.778,9.7,0.153,2010,mip
26T,John Salmons,30,TOT,0,1,615,0.002,81,34.9,15.4,3.3,2.8,1.2,0.3,0.441,0.382,0.83,7.1,0.121,2010,mip
26T,Ben Wallace,35,DET,0,1,615,0.002,69,28.6,5.5,8.7,1.5,1.2,1.2,0.541,0.0,0.406,4.7,0.115,2010,mip
