Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Tom Nissalke,HOU,26,26,59,0.441,82,49,33,0.598,1977,coy
2,Jerry West,LAL,21,21,59,0.356,82,53,29,0.646,1977,coy
3,Larry Brown,DEN,3,3,59,0.051,82,50,32,0.61,1977,coy
4,Ed Badger,CHI,2,2,59,0.034,82,44,38,0.537,1977,coy
5T,Hubie Brown,ATL,1,1,59,0.017,82,31,51,0.378,1977,coy
5T,Tom Heinsohn,BOS,1,1,59,0.017,82,44,38,0.537,1977,coy
5T,Phil Johnson,KCK,1,1,59,0.017,82,40,42,0.488,1977,coy
5T,Slick Leonard,IND,1,1,59,0.017,82,36,46,0.439,1977,coy
5T,Kevin Loughery,NYN,1,1,59,0.017,82,22,60,0.268,1977,coy
5T,Doug Moe,SAS,1,1,59,0.017,82,44,38,0.537,1977,coy
5T,Jack Ramsay,POR,1,1,59,0.017,82,49,33,0.598,1977,coy
